sample_id	tmb	n_variants
TCGA-05-4244	5.2647	180
TCGA-05-4249	8.0	273
TCGA-05-4250	8.6765	296
TCGA-05-4382	40.6176	1404
TCGA-05-4384	3.0294	103
TCGA-05-4389	5.0882	177
TCGA-05-4390	13.1176	450
TCGA-05-4395	5.9412	203
TCGA-05-4396	5.9706	205
TCGA-05-4397	20.5294	703
TCGA-05-4398	16.5	563
TCGA-05-4402	2.7059	99
TCGA-05-4403	3.2647	111
TCGA-05-4405	8.5294	297
TCGA-05-4410	25.3529	869
TCGA-05-4415	4.7059	162
TCGA-05-4417	7.3529	251
TCGA-05-4418	6.6176	225
TCGA-05-4420	6.6176	225
TCGA-05-4422	1.0	34
TCGA-05-4424	15.6765	552
TCGA-05-4425	0.9412	33
TCGA-05-4426	1.1765	40
TCGA-05-4427	24.7059	844
TCGA-05-4430	6.3235	216
TCGA-05-4432	13.2353	459
TCGA-05-4433	0.8824	30
TCGA-05-4434	1.0294	36
TCGA-05-5420	1.8235	62
TCGA-05-5423	3.6765	125
TCGA-05-5425	13.0588	451
TCGA-05-5428	8.8235	303
TCGA-05-5429	0.7941	27
TCGA-05-5715	2.6471	92
TCGA-17-Z000	3.0	102
TCGA-17-Z001	4.7353	163
TCGA-17-Z002	0.2353	8
TCGA-17-Z003	5.5294	191
TCGA-17-Z004	0.4118	14
TCGA-17-Z005	1.8824	65
TCGA-17-Z007	1.4412	50
TCGA-17-Z009	0.8529	33
TCGA-17-Z010	6.4706	222
TCGA-17-Z011	2.4412	83
TCGA-17-Z013	1.4706	50
TCGA-17-Z015	12.3824	426
TCGA-17-Z016	7.2647	248
TCGA-17-Z017	5.3235	183
TCGA-17-Z018	6.0294	205
TCGA-17-Z019	0.0588	2
TCGA-17-Z020	2.5882	90
TCGA-17-Z021	2.7059	95
TCGA-17-Z022	28.9706	994
TCGA-17-Z023	9.8235	335
TCGA-17-Z025	5.7059	197
TCGA-17-Z026	21.7647	761
TCGA-17-Z027	2.2059	75
TCGA-17-Z028	11.2353	385
TCGA-17-Z032	2.4706	85
TCGA-17-Z033	3.5588	124
TCGA-17-Z036	1.8235	62
TCGA-17-Z037	3.1176	108
TCGA-17-Z041	1.1176	38
TCGA-17-Z042	11.2941	386
TCGA-17-Z043	4.5294	156
TCGA-17-Z044	2.5294	86
TCGA-17-Z045	16.2059	552
TCGA-17-Z047	0.3824	15
TCGA-17-Z048	0.7059	24
TCGA-17-Z049	11.7647	401
TCGA-17-Z050	3.7353	131
TCGA-17-Z051	3.1765	110
TCGA-17-Z052	2.6765	96
TCGA-17-Z053	5.7353	197
TCGA-17-Z054	0.1176	4
TCGA-17-Z055	12.5882	497
TCGA-17-Z056	10.3235	378
TCGA-17-Z057	9.4706	324
TCGA-17-Z058	1.7941	61
TCGA-17-Z059	3.6471	128
TCGA-17-Z061	4.0	138
TCGA-17-Z062	9.5588	344
TCGA-35-4122	7.3235	254
TCGA-35-4123	6.5	222
TCGA-35-5375	10.2353	350
TCGA-38-4625	13.8824	473
TCGA-38-4626	4.4118	170
TCGA-38-4627	0.7353	25
TCGA-38-4628	3.0294	103
TCGA-38-4629	6.6176	225
TCGA-38-4630	2.6765	94
TCGA-38-4631	17.4412	597
TCGA-38-4632	12.4118	428
TCGA-38-6178	1.2353	43
TCGA-38-7271	1.1471	44
TCGA-38-A44F	0.2353	8
TCGA-44-2655	4.1765	142
TCGA-44-2656	19.7353	673
TCGA-44-2656_3	20.5882	715
TCGA-44-2656_4	18.0294	637
TCGA-44-2656_5	18.9706	652
TCGA-44-2657	9.5882	328
TCGA-44-2661	0.8235	28
TCGA-44-2662	4.8235	166
TCGA-44-2662_3	4.0588	139
TCGA-44-2662_4	4.6471	160
TCGA-44-2665	1.0294	38
TCGA-44-2665_3	0.9118	31
TCGA-44-2666	0.7353	28
TCGA-44-2666_3	0.6765	23
TCGA-44-2666_4	0.7647	26
TCGA-44-2668	9.1176	312
TCGA-44-2668_3	8.2647	282
TCGA-44-3396	4.4412	153
TCGA-44-3398	4.0	142
TCGA-44-3917	5.2059	177
TCGA-44-3918	22.5294	770
TCGA-44-3918_3	22.1765	757
TCGA-44-3919	0.7941	28
TCGA-44-4112	10.2353	350
TCGA-44-4112_3	10.8824	372
TCGA-44-4112_4	11.3235	388
TCGA-44-4112_5	10.5294	360
TCGA-44-4112_6	10.0588	343
TCGA-44-5643	3.0588	105
TCGA-44-5644	23.4118	798
TCGA-44-5645	0.9118	31
TCGA-44-5645_3	0.8824	30
TCGA-44-5645_4	0.9412	32
TCGA-44-5645_5	0.9706	34
TCGA-44-6144	5.1765	177
TCGA-44-6145	7.4118	255
TCGA-44-6146	1.0	34
TCGA-44-6146_3	1.0588	36
TCGA-44-6146_4	0.9706	33
TCGA-44-6146_5	0.9706	33
TCGA-44-6147	3.0294	106
TCGA-44-6147_3	3.7647	131
TCGA-44-6147_4	4.5294	157
TCGA-44-6147_5	2.3235	85
TCGA-44-6148	0.1471	5
TCGA-44-6774	6.8529	233
TCGA-44-6775	1.3824	48
TCGA-44-6775_3	1.2647	45
TCGA-44-6775_4	1.2941	50
TCGA-44-6775_5	1.2353	45
TCGA-44-6776	4.7353	161
TCGA-44-6777	8.6176	294
TCGA-44-6778	9.0882	309
TCGA-44-6779	2.2647	78
TCGA-44-7659	3.5294	121
TCGA-44-7660	7.8529	274
TCGA-44-7661	6.0294	207
TCGA-44-7662	13.6765	469
TCGA-44-7667	10.9706	374
TCGA-44-7669	11.2941	386
TCGA-44-7670	26.5	904
TCGA-44-7671	5.5294	189
TCGA-44-8117	18.5882	634
TCGA-44-8119	15.2941	524
TCGA-44-8120	14.5	494
TCGA-44-A479	7.0	242
TCGA-44-A47A	5.0	182
TCGA-44-A47B	1.1471	39
TCGA-44-A47G	1.6176	57
TCGA-44-A4SS	11.2059	387
TCGA-44-A4SU	3.1765	113
TCGA-49-4486	2.9706	105
TCGA-49-4487	7.8824	276
TCGA-49-4488	6.9412	237
TCGA-49-4490	0.8824	31
TCGA-49-4494	4.3235	149
TCGA-49-4501	0.9706	33
TCGA-49-4505	4.8529	169
TCGA-49-4506	2.6471	91
TCGA-49-4507	4.7353	161
TCGA-49-4507_3	4.7353	161
TCGA-49-4510	1.1176	40
TCGA-49-4512	0.8824	32
TCGA-49-4514	7.3824	251
TCGA-49-6742	6.0588	210
TCGA-49-6743	17.2647	590
TCGA-49-6744	4.7647	166
TCGA-49-6745	2.8235	99
TCGA-49-6761	4.1765	142
TCGA-49-6767	10.7941	371
TCGA-49-AAQV	1.3824	54
TCGA-49-AAR0	2.8529	102
TCGA-49-AAR2	9.6176	329
TCGA-49-AAR3	2.6765	96
TCGA-49-AAR4	12.9706	453
TCGA-49-AAR9	15.3824	529
TCGA-49-AARE	29.5	1006
TCGA-49-AARN	17.3824	632
TCGA-49-AARO	14.0882	482
TCGA-49-AARQ	17.2059	590
TCGA-49-AARR	0.0294	1
TCGA-4B-A93V	3.4118	117
TCGA-50-5044	2.5588	88
TCGA-50-5045	6.8824	236
TCGA-50-5049	18.3235	625
TCGA-50-5051	2.5882	88
TCGA-50-5066	6.3529	217
TCGA-50-5068	2.1471	73
TCGA-50-5072	3.9118	135
TCGA-50-5930	26.4118	898
TCGA-50-5931	7.4118	253
TCGA-50-5932	2.0	68
TCGA-50-5933	11.7059	399
TCGA-50-5935	1.9412	71
TCGA-50-5936	2.8235	96
TCGA-50-5939	1.7353	59
TCGA-50-5941	8.6176	304
TCGA-50-5942	1.2941	45
TCGA-50-5944	1.3529	46
TCGA-50-5946	15.6471	532
TCGA-50-6590	20.5	703
TCGA-50-6591	1.2059	42
TCGA-50-6592	7.0	241
TCGA-50-6593	7.2059	245
TCGA-50-6594	13.2647	451
TCGA-50-6595	1.8235	64
TCGA-50-6597	1.0882	38
TCGA-50-6673	1.3529	46
TCGA-50-7109	5.7941	198
TCGA-50-8457	1.3235	47
TCGA-50-8459	1.8235	62
TCGA-50-8460	0.7353	26
TCGA-53-7624	19.3529	658
TCGA-53-7626	8.5294	290
TCGA-53-7813	3.8824	132
TCGA-53-A4EZ	12.0294	409
TCGA-55-1592	12.2941	426
TCGA-55-1594	3.5	124
TCGA-55-1595	7.4118	252
TCGA-55-1596	4.6765	161
TCGA-55-5899	10.5294	359
TCGA-55-6543	0.5294	19
TCGA-55-6642	2.9118	99
TCGA-55-6712	2.9118	100
TCGA-55-6968	11.4412	394
TCGA-55-6970	4.3235	147
TCGA-55-6971	2.0294	70
TCGA-55-6972	6.2941	215
TCGA-55-6975	1.7647	60
TCGA-55-6978	0.6765	24
TCGA-55-6979	2.7353	94
TCGA-55-6980	0.2353	9
TCGA-55-6981	1.2941	45
TCGA-55-6982	4.8824	168
TCGA-55-6983	2.7059	92
TCGA-55-6984	0.5	17
TCGA-55-6985	10.5	357
TCGA-55-6986	0.4412	15
TCGA-55-6987	4.1765	143
TCGA-55-7227	3.8529	131
TCGA-55-7281	10.9412	373
TCGA-55-7283	5.2059	178
TCGA-55-7284	0.8824	30
TCGA-55-7570	9.2353	316
TCGA-55-7573	1.2353	42
TCGA-55-7574	5.3235	186
TCGA-55-7576	8.7353	301
TCGA-55-7724	4.7647	168
