ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5256	-0.9252205735033867	-9.9408	0.4273	-9.966	287.0	21.099	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	30.9102	4.9500577568623605	-9.8007	0.8388	-9.966	287.0	17.586	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	8.4164	3.073374676716888	-9.8805	0.8416	-9.966	287.0	15.392	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	20.5567	4.36160695940906	-9.8209	0.9975	-9.966	287.0	14.218	100.0	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	11.9127	3.5745496308993814	-9.654	1.0271	-9.966	287.0	12.88	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.477	-1.0649174766813385	-9.8795	0.7304	-9.966	287.0	12.068	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	1.0139	0.021337582965694914	-9.8339	0.8384	-9.966	287.0	11.755	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.2306	-2.110292841560213	-9.8875	0.6628	-9.966	287.0	11.734	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	2.3356	1.2244107818707533	-9.7475	0.9772	-9.966	287.0	11.228	100.0	OVER
ENSG00000173335	CST9	128822	cystatin 9	protein_coding	0.0837	-3.561494220217251	-9.9083	0.5686	-9.966	287.0	11.162	100.0	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	15.3583	3.9410405616273523	-9.709	1.2335	-9.966	287.0	11.066	99.9	OVER
ENSG00000161807	OR7G1	125962	olfactory receptor family 7 subfamily G member 1	protein_coding	0.073	-3.7563309190331373	-9.9055	0.5914	-9.966	287.0	10.398	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.0785	-3.6529013293777317	-9.9005	0.639	-9.966	287.0	9.777	99.9	OVER
ENSG00000213822	CEACAM18	729767	CEA cell adhesion molecule 18	protein_coding	4.8132	2.2672960780431115	-9.6383	1.2778	-9.966	287.0	9.317	99.9	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	0.0931	-3.4096614668209124	-9.873	0.7006	-9.966	287.0	9.225	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0588	-4.063710705351345	-9.8885	0.6541	-9.966	287.0	8.905	99.9	OVER
