ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	32.8043	5.035857009304485	-9.9402	0.4379	-9.966	287.0	34.2	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.3647	-1.451267468208081	-9.9507	0.2593	-9.966	287.0	32.778	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	4.2543	2.089260845954796	-9.9423	0.4011	-9.966	287.0	29.996	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	3.3891	1.761327830109779	-9.9162	0.4864	-9.966	287.0	24.008	100.0	OVER
ENSG00000188877	POTEA	340441	POTE ankyrin domain family member A	protein_coding	0.061	-4.011587974275212	-9.9507	0.2593	-9.966	287.0	22.904	100.0	OVER
ENSG00000176567	OR4X1	390113	olfactory receptor family 4 subfamily X member 1	protein_coding	0.3012	-1.7264244343846202	-9.9354	0.366	-9.966	287.0	22.429	100.0	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.2226	-2.1610079067062595	-9.9439	0.3742	-9.966	287.0	20.799	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4769	-1.0652193273029835	-9.9408	0.4273	-9.966	287.0	20.771	100.0	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.1834	-2.4390894391201114	-9.9353	0.3759	-9.966	287.0	19.942	100.0	OVER
ENSG00000203733	GJE1	100126572	gap junction protein epsilon 1	protein_coding	0.9057	-0.1413028099616662	-9.9247	0.4942	-9.966	287.0	19.796	100.0	OVER
