ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	2.5187	1.3332519740915714	-9.9162	0.4864	-9.966	287.0	23.128	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1736	-2.517874535920009	-9.9453	0.3501	-9.966	287.0	21.215	100.0	OVER
ENSG00000180205	WFDC9	259240	WAP four-disulfide core domain 9	protein_coding	0.2652	-1.9094175236375577	-9.9433	0.3842	-9.966	287.0	20.911	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.1101	-3.170069278160357	-9.9453	0.3501	-9.966	287.0	19.352	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2849	-1.8064174749183515	-9.9408	0.4273	-9.966	287.0	19.037	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0296	-5.0303245368567975	-9.9462	0.3349	-9.966	287.0	14.679	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.424	-1.234465253637023	-9.8885	0.6541	-9.966	287.0	13.23	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	8.6991	3.121031983567683	-9.8209	0.9975	-9.966	287.0	12.974	100.0	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.1858	-2.4204336398397874	-9.8955	0.594	-9.966	287.0	12.584	100.0	OVER
ENSG00000124089	MC3R	4159	melanocortin 3 receptor	protein_coding	1.0733	0.10339692449223101	-9.8605	0.8169	-9.966	287.0	12.197	100.0	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	17.7412	4.149113007136325	-9.7132	1.1408	-9.966	287.0	12.151	99.9	OVER
ENSG00000187714	SLC18A3	6572	solute carrier family 18 member A3	protein_coding	56.0496	5.808657911493291	-9.5629	1.2861	-9.966	287.0	11.952	99.9	OVER
