ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	11.5056	3.524389700054915	-9.8937	0.4959	-9.966	287.0	27.058	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	1.7831	0.8351964815479105	-9.9408	0.4273	-9.966	287.0	25.219	100.0	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	174.7675	7.449301368955341	-9.873	0.7006	-9.966	287.0	24.725	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0951	-3.379319758775699	-9.9453	0.3501	-9.966	287.0	18.755	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0255	-5.237863830098888	-9.9507	0.2593	-9.966	287.0	18.175	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.2455	-2.0203404482841756	-9.9162	0.4864	-9.966	287.0	16.233	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.1358	-2.8698598646635514	-9.9402	0.4379	-9.966	287.0	16.146	100.0	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	116.8047	6.867966867769058	2.6615	0.2775	2.678	287.0	15.158	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	4.4268	2.1465900582701853	-9.8805	0.8416	-9.966	287.0	14.291	100.0	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.1498	-2.729291666280785	-9.923	0.5154	-9.966	287.0	13.958	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0441	-4.4707287562940685	-9.9408	0.4273	-9.966	287.0	12.801	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1996	-2.3176064889372685	-9.8885	0.6541	-9.966	287.0	11.575	99.9	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	9.9549	3.3155517395366436	-9.7132	1.1408	-9.966	287.0	11.421	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.1147	-3.1115392304419593	-9.905	0.5987	-9.966	287.0	11.347	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0128	-6.1791879227712805	-9.9462	0.3349	-9.966	287.0	11.248	99.9	OVER
ENSG00000176230	OR4K17	390436	olfactory receptor family 4 subfamily K member 17	protein_coding	0.0457	-4.420433639839787	-9.9248	0.493	-9.966	287.0	11.165	99.9	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	3.5416	1.8248085779048633	-9.7483	1.1059	-9.966	287.0	10.465	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	170.1769	7.4108998846682885	3.8348	0.3454	3.88	287.0	10.354	99.9	OVER
ENSG00000255223	OR5M11	219487	olfactory receptor family 5 subfamily M member 11	protein_coding	1.2117	0.27822269799152827	-9.8017	0.9735	-9.966	287.0	10.354	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0411	-4.5700359564830535	-9.9225	0.5205	-9.966	287.0	10.283	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.0888	-3.4771407448083025	-9.9005	0.639	-9.966	287.0	10.052	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	52.768	5.7216187388559385	1.5417	0.421	1.566	287.0	9.929	99.9	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.0531	-4.208227595722634	-9.8975	0.5786	-9.966	287.0	9.833	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	1.1976	0.2613502790209806	-9.8146	1.0421	-9.966	287.0	9.669	99.9	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	101.0799	6.659366604636576	3.4319	0.3368	3.446	287.0	9.583	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	471.9334	8.882442525268567	3.5934	0.5726	3.541	287.0	9.237	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.1079	-3.1989241408325424	-9.8795	0.7304	-9.966	287.0	9.146	99.9	OVER
ENSG00000148943	LIN7C	55327	lin-7 homolog C, crumbs cell polarity complex component	protein_coding	53.4127	5.7391379189557306	2.7826	0.3265	2.808	287.0	9.055	99.9	OVER
ENSG00000198964	SGMS1	259230	sphingomyelin synthase 1	protein_coding	250.9006	7.970977860620277	3.9889	0.4411	4.016	287.0	9.028	99.9	OVER
ENSG00000101193	GID8	54994	GID complex subunit 8 homolog	protein_coding	120.5287	6.913244877832771	3.8782	0.3377	3.922	287.0	8.987	99.8	OVER
ENSG00000111707	SUDS3	64426	SDS3 homolog, SIN3A corepressor complex component	protein_coding	97.7892	6.611617988287629	3.745	0.3196	3.756	287.0	8.969	99.8	OVER
ENSG00000141946	ZIM3	114026	zinc finger imprinted 3	protein_coding	0.0588	-4.063710705351345	-9.8634	0.6548	-9.966	287.0	8.857	99.8	OVER
ENSG00000125257	ABCC4	10257	ATP binding cassette subfamily C member 4 (PEL blood group)	protein_coding	132.3384	7.048098833570166	2.6941	0.4949	2.701	287.0	8.798	99.8	OVER
ENSG00000152332	UHMK1	127933	U2AF homology motif kinase 1	protein_coding	123.5724	6.949224416689319	3.845	0.3549	3.851	287.0	8.747	99.8	OVER
ENSG00000073711	PPP2R3A	5523	protein phosphatase 2 regulatory subunit B''alpha	protein_coding	32.4568	5.020493311758691	1.0325	0.4575	1.064	287.0	8.717	99.8	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	0.4155	-1.2636115992965395	-9.7475	0.9772	-9.966	287.0	8.682	99.8	OVER
ENSG00000165476	REEP3	221035	receptor accessory protein 3	protein_coding	191.452	7.580846456654951	3.6409	0.4539	3.625	287.0	8.68	99.8	OVER
ENSG00000121351	IAPP	3375	islet amyloid polypeptide	protein_coding	2.2984	1.201257456843241	-9.647	1.2618	-9.966	287.0	8.597	99.8	OVER
ENSG00000172150	OR1A2	26189	olfactory receptor family 1 subfamily A member 2	protein_coding	0.0831	-3.5717503892943054	-9.8685	0.7343	-9.966	287.0	8.575	99.8	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.4114	-1.277883762181341	-9.8209	0.9975	-9.966	287.0	8.564	99.8	OVER
