ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3536	-1.4957355586507606	-9.9408	0.4273	-9.966	287.0	19.764	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	8.2095	3.0374700813886855	-9.8805	0.8416	-9.966	287.0	15.349	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	1.2441	0.3162616167595755	-9.8007	0.8388	-9.966	287.0	12.061	100.0	OVER
ENSG00000172208	OR4X2	119764	olfactory receptor family 4 subfamily X member 2	protein_coding	0.065	-3.9213901653036336	-9.9237	0.5099	-9.966	287.0	11.772	100.0	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.7448	0.8038882923378247	-9.7749	1.215	-9.966	287.0	8.707	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1483	-2.743713929414908	-9.8339	0.8384	-9.966	287.0	8.457	100.0	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	103.2132	6.689497657244092	2.9104	0.4736	2.917	287.0	7.98	100.0	OVER
ENSG00000057019	DCBLD2	131566	discoidin, CUB and LCCL domain containing 2	protein_coding	92.869	6.537140729804997	3.1534	0.4262	3.183	287.0	7.939	100.0	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0261	-5.205563338195578	-9.9063	0.5927	-9.966	287.0	7.931	100.0	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	0.8944	-0.15939577664590515	-9.709	1.2335	-9.966	287.0	7.742	100.0	OVER
ENSG00000170925	TEX13B	56156	testis expressed 13B	protein_coding	0.3737	-1.416192117220336	-9.7397	1.0882	-9.966	287.0	7.649	99.9	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.0635	-3.954557029238833	-9.8634	0.7734	-9.966	287.0	7.64	99.9	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	0.4855	-1.0394882898809756	-9.7132	1.1408	-9.966	287.0	7.603	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.2583	-1.947305888696155	-9.8146	1.0421	-9.966	287.0	7.549	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.7425	0.8019863641146173	-9.5576	1.3755	-9.966	287.0	7.532	99.9	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.0308	-4.974829424265094	-9.8732	0.6551	-9.966	287.0	7.477	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	24.9164	4.639081633441955	1.5417	0.421	1.566	287.0	7.357	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	0.5906	-0.7573060424503817	-9.6296	1.2076	-9.966	287.0	7.347	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.3128	-1.6720827425813518	-9.8303	1.1477	-9.966	287.0	7.108	99.9	OVER
ENSG00000173302	GPR148	344561	G protein-coupled receptor 148	protein_coding	0.0526	-4.221623189091677	-9.8498	0.8006	-9.966	287.0	7.03	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	194.2402	7.601705429314057	3.5934	0.5726	3.541	287.0	7.0	99.9	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	1.7591	0.8156573978430718	-9.5635	1.498	-9.966	287.0	6.929	99.9	OVER
ENSG00000176253	OR4K13	390433	olfactory receptor family 4 subfamily K member 13	protein_coding	0.0111	-6.368849142274855	-9.9225	0.5205	-9.966	287.0	6.827	99.9	OVER
ENSG00000204021	LIPK	643414	lipase family member K	protein_coding	0.6108	-0.7088679879912468	-9.6277	1.3151	-9.966	287.0	6.782	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.1179	-3.0721793798037935	-9.8325	1.006	-9.966	287.0	6.72	99.9	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	4.1539	2.0548137546754726	-9.3977	1.7056	-9.966	287.0	6.715	99.9	OVER
ENSG00000069206	ADAM7	8756	ADAM metallopeptidase domain 7	protein_coding	0.0297	-5.02561753417927	-9.8515	0.7321	-9.966	287.0	6.592	99.9	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.1281	-2.953439094242259	-9.8093	1.0747	-9.966	287.0	6.379	99.9	OVER
ENSG00000186895	FGF3	2248	fibroblast growth factor 3	protein_coding	0.0829	-3.575185379109626	-9.7998	0.9871	-9.966	287.0	6.306	99.9	OVER
ENSG00000046604	DSG2	1829	desmoglein 2	protein_coding	293.8404	8.198893864657741	1.9753	0.9874	2.128	287.0	6.303	99.8	OVER
ENSG00000184349	EFNA5	1946	ephrin A5	protein_coding	40.7437	5.348540503163523	1.3493	0.6413	1.379	287.0	6.236	99.8	OVER
ENSG00000157064	NMNAT2	23057	nicotinamide nucleotide adenylyltransferase 2	protein_coding	27.7731	4.7956682577501955	-1.0702	0.9407	-1.056	287.0	6.236	99.8	OVER
ENSG00000198691	ABCA4	24	ATP binding cassette subfamily A member 4	protein_coding	33.2567	5.055616494621096	-1.3043	1.0232	-1.283	287.0	6.216	99.8	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	53.1738	5.732670796847625	3.3747	0.3823	3.377	287.0	6.168	99.8	OVER
ENSG00000143320	CRABP2	1382	cellular retinoic acid binding protein 2	protein_coding	691.675	9.433952587961263	2.1308	1.1849	1.997	287.0	6.164	99.8	OVER
ENSG00000163235	TGFA	7039	transforming growth factor alpha	protein_coding	38.512	5.267273602248397	1.2391	0.659	1.299	287.0	6.113	99.8	OVER
ENSG00000204140	CLPSL1	340204	colipase like 1	protein_coding	1.102	0.14143279092929553	-9.574	1.6254	-9.966	287.0	5.977	99.8	OVER
ENSG00000155066	PROM2	150696	prominin 2	protein_coding	87.6398	6.4535307484391975	1.176	0.8864	1.19	287.0	5.954	99.8	OVER
ENSG00000163568	AIM2	9447	absent in melanoma 2	protein_coding	43.2706	5.435348561369124	0.5708	0.8197	0.5069	287.0	5.935	99.8	OVER
ENSG00000113583	C5orf15	56951	chromosome 5 open reading frame 15	protein_coding	155.2103	7.278089785060757	4.7684	0.423	4.801	287.0	5.933	99.8	OVER
ENSG00000166922	SCG5	6447	secretogranin V	protein_coding	74.7923	6.224837133854489	-0.3338	1.1095	-0.3566	287.0	5.911	99.8	OVER
ENSG00000144015	TRIM43	129868	tripartite motif containing 43	protein_coding	0.0392	-4.636660688370521	-9.8272	0.8819	-9.966	287.0	5.886	99.8	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	81.5275	6.349232566761208	4.2061	0.3668	4.212	287.0	5.843	99.8	OVER
ENSG00000138071	ACTR2	10097	actin related protein 2	protein_coding	275.1902	8.104290526386873	5.7912	0.4009	5.82	287.0	5.77	99.8	OVER
ENSG00000125815	CST8	10047	cystatin 8	protein_coding	0.0732	-3.7524370029286462	-9.7787	1.0476	-9.966	287.0	5.752	99.8	OVER
ENSG00000135318	NT5E	4907	5'-nucleotidase ecto	protein_coding	90.6044	6.501525131042551	2.1341	0.7634	2.199	287.0	5.721	99.8	OVER
