ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	1.1723	0.2305719419046518	-9.9439	0.3742	-9.966	287.0	27.19	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.89	-0.16650266314016504	-9.9408	0.4273	-9.966	287.0	22.875	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.3018	-1.7235628895637176	-9.9423	0.4011	-9.966	287.0	20.49	100.0	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	1.6245	0.7008835560282688	-9.9063	0.5927	-9.966	287.0	17.896	100.0	OVER
ENSG00000224659	GAGE12J	729396	G antigen 12J	protein_coding	7.9953	2.9993325991952533	-9.8714	0.807	-9.966	287.0	15.949	100.0	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.2798	-1.8323851592448888	-9.9225	0.5205	-9.966	287.0	15.543	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	7.5138	2.9097347085531164	-9.8007	0.8388	-9.966	287.0	15.153	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0343	-4.824188006278269	-9.9453	0.3501	-9.966	287.0	14.628	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	15.1631	3.922587970424964	-9.8209	0.9975	-9.966	287.0	13.778	100.0	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0655	-3.910501849160897	-9.929	0.4438	-9.966	287.0	13.561	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0504	-4.282087830355572	-9.9408	0.4273	-9.966	287.0	13.243	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.3041	-1.7126459149707933	-9.8885	0.6541	-9.966	287.0	12.499	99.9	OVER
ENSG00000198573	SPANXC	64663	SPANX family member C	protein_coding	27.6941	4.7915588426048314	-9.7767	1.2009	-9.966	287.0	12.131	99.9	OVER
ENSG00000173335	CST9	128822	cystatin 9	protein_coding	0.1081	-3.196276993225842	-9.9083	0.5686	-9.966	287.0	11.804	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0146	-6.002310160687201	-9.9462	0.3349	-9.966	287.0	11.776	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.3699	-1.4308978270464396	-9.8795	0.7304	-9.966	287.0	11.567	99.9	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.098	-3.3364276645824775	-9.9182	0.5714	-9.966	287.0	11.519	99.9	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.2141	-2.2169205701263883	-9.8693	0.673	-9.966	287.0	11.371	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0566	-4.1177873781071375	-9.9225	0.5205	-9.966	287.0	11.152	99.9	OVER
ENSG00000141736	ERBB2	2064	erb-b2 receptor tyrosine kinase 2	protein_coding	2601.2173	11.344971763186287	5.1807	0.566	5.264	287.0	10.891	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.5568	-0.8421801605211374	-9.8339	0.8384	-9.966	287.0	10.725	99.9	OVER
ENSG00000205409	OR52E6	390078	olfactory receptor family 52 subfamily E member 6	protein_coding	0.6293	-0.6658894321552473	-9.8403	0.8656	-9.966	287.0	10.599	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.5059	-0.9802269309599728	-9.8805	0.8416	-9.966	287.0	10.575	99.9	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	83.5442	6.384485037056233	-0.6859	0.674	-0.6643	287.0	10.49	99.9	OVER
ENSG00000104827	CGB3	1082	chorionic gonadotropin subunit beta 3	protein_coding	2.4157	1.2730383935111245	-9.7861	1.066	-9.966	287.0	10.374	99.9	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	37.248	5.219129789874073	-9.5635	1.498	-9.966	287.0	9.868	99.9	OVER
ENSG00000002834	LASP1	3927	LIM and SH3 protein 1	protein_coding	1063.3756	10.054436909500543	6.1689	0.3967	6.202	287.0	9.795	99.9	OVER
ENSG00000188021	UBQLN2	29978	ubiquilin 2	protein_coding	132.3501	7.048226375223451	3.6439	0.3543	3.657	287.0	9.609	99.9	OVER
ENSG00000242366	UGT1A8	54576	UDP glucuronosyltransferase family 1 member A8	protein_coding	78.2996	6.290951457495734	-9.5324	1.6519	-9.966	287.0	9.579	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	45.6699	5.51320331492426	1.5417	0.421	1.566	287.0	9.433	99.8	OVER
ENSG00000196406	SPANXD	64648	SPANX family member D	protein_coding	1.1649	0.22144405295439856	-9.7839	1.0794	-9.966	287.0	9.269	99.8	OVER
ENSG00000111726	CMAS	55907	cytidine monophosphate N-acetylneuraminic acid synthetase	protein_coding	229.6313	7.84318177504775	4.3094	0.3829	4.356	287.0	9.229	99.8	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.6246	-0.676687582242097	-9.7497	1.0005	-9.966	287.0	9.068	99.8	OVER
ENSG00000256229	ZNF486	90649	zinc finger protein 486	protein_coding	53.5063	5.741663826688021	0.8526	0.5448	0.8726	287.0	8.974	99.8	OVER
ENSG00000160211	G6PD	2539	glucose-6-phosphate dehydrogenase	protein_coding	1279.1751	10.320999173673028	5.5743	0.532	5.584	287.0	8.922	99.8	OVER
ENSG00000146072	TNFRSF21	27242	TNF receptor superfamily member 21	protein_coding	737.1392	9.525795227831283	4.0284	0.6167	3.991	287.0	8.914	99.8	OVER
ENSG00000123569	H2BW1	158983	H2B.W histone 1	protein_coding	0.8887	-0.1686091424868863	-9.7806	1.1011	-9.966	287.0	8.729	99.8	OVER
ENSG00000145545	SRD5A1	6715	steroid 5 alpha-reductase 1	protein_coding	81.8317	6.3546055480897286	1.3809	0.5721	1.401	287.0	8.694	99.8	OVER
ENSG00000143412	ANXA9	8416	annexin A9	protein_coding	107.9347	6.754028308488028	0.1371	0.7636	0.2522	287.0	8.665	99.8	OVER
ENSG00000161395	PGAP3	93210	post-GPI attachment to proteins phospholipase 3	protein_coding	539.3581	9.075102314862592	4.1123	0.5832	4.221	287.0	8.51	99.8	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	82.0586	6.358600216709538	3.2377	0.367	3.254	287.0	8.504	99.8	OVER
ENSG00000112378	PERP	64065	p53 apoptosis effector related to PMP22	protein_coding	602.1331	9.233941012075732	4.2827	0.5835	4.378	287.0	8.485	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.4448	0.5318679956055548	-9.7749	1.215	-9.966	287.0	8.483	99.8	OVER
ENSG00000064419	TNPO3	23534	transportin 3	protein_coding	81.0446	6.34066195823054	3.7777	0.3035	3.793	287.0	8.445	99.8	OVER
ENSG00000277791	PSMB3	5691	proteasome 20S subunit beta 3	protein_coding	1727.1064	10.75414208416451	6.9253	0.4541	6.916	287.0	8.432	99.8	OVER
ENSG00000168679	SLC16A4	9122	solute carrier family 16 member 4	protein_coding	129.6783	7.018804398194589	2.8634	0.4929	2.866	287.0	8.431	99.8	OVER
ENSG00000069018	TRPC7	57113	transient receptor potential cation channel subfamily C member 7	protein_coding	0.0703	-3.809954113105561	-9.8548	0.7175	-9.966	287.0	8.425	99.8	OVER
ENSG00000255855	KDM4F	100129053	lysine demethylase 4F	protein_coding	0.2302	-2.1127866970487705	-9.8027	0.9145	-9.966	287.0	8.409	99.8	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	0.475	-1.0709665213541435	-9.7782	1.0515	-9.966	287.0	8.281	99.7	OVER
ENSG00000237110	TAAR9	134860	trace amine associated receptor 9	protein_coding	0.0843	-3.5513104482311593	-9.8646	0.7632	-9.966	287.0	8.272	99.7	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	1.218	0.2856981259581248	-9.654	1.2021	-9.966	287.0	8.269	99.7	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	102.6061	6.680986752887238	3.4078	0.4011	3.416	287.0	8.161	99.7	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.0393	-4.633076351021482	-9.8891	0.648	-9.966	287.0	8.111	99.7	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	0.5747	-0.796610882632913	-9.7483	1.1059	-9.966	287.0	8.094	99.7	OVER
