ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.3647	-1.451267468208081	-9.9439	0.3742	-9.966	287.0	22.695	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0362	-4.748553568441418	-9.9507	0.2593	-9.966	287.0	20.062	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3061	-1.703219582573575	-9.9408	0.4273	-9.966	287.0	19.278	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.5735	-0.7996212020159738	-9.9162	0.4864	-9.966	287.0	18.743	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.6881	-0.5372147374503693	-9.9036	0.5342	-9.966	287.0	17.533	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	20.4614	4.354903461135644	-9.8805	0.8416	-9.966	287.0	16.915	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.7097	-0.49268739558806196	-9.8885	0.6541	-9.966	287.0	14.364	100.0	OVER
ENSG00000205884	DEFB136	613210	defensin beta 136	protein_coding	0.2318	-2.1028370366411653	-9.9296	0.617	-9.966	287.0	12.685	100.0	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.0871	-3.5047141706290357	-9.9225	0.5205	-9.966	287.0	12.33	100.0	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0408	-4.580353247468566	-9.929	0.4438	-9.966	287.0	12.052	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0313	-4.952322024855524	-9.9408	0.4273	-9.966	287.0	11.674	99.9	OVER
