ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	12.2049	3.6095067708065955	-9.9162	0.4864	-9.966	287.0	27.808	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.3127	-1.6725425657058466	-9.9462	0.3349	-9.966	287.0	24.705	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.6704	-0.5747555578518992	-9.9423	0.4011	-9.966	287.0	23.355	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.2537	-1.973129135275255	-9.9453	0.3501	-9.966	287.0	22.771	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.2919	-1.7715199016700827	-9.9354	0.366	-9.966	287.0	22.306	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.2155	-2.207561069935362	-9.9446	0.363	-9.966	287.0	21.314	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2891	-1.785377799351452	-9.9408	0.4273	-9.966	287.0	19.086	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.1367	-2.8603995354144853	-9.9408	0.4273	-9.966	287.0	16.57	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.1254	-2.9839316313723465	-9.9309	0.4228	-9.966	287.0	16.431	100.0	OVER
ENSG00000187754	SSX7	280658	SSX family member 7	protein_coding	0.1301	-2.931260409327695	-9.9123	0.5267	-9.966	287.0	13.254	100.0	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	22.91	4.51796852444028	-9.709	1.2335	-9.966	287.0	11.534	99.9	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	2.6011	1.3796764066106195	-9.7345	0.9741	-9.966	287.0	11.41	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.7492	-0.4146528318879797	-9.8805	0.8416	-9.966	287.0	11.247	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	11.6968	3.5481653231976695	-9.7749	1.215	-9.966	287.0	10.965	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1314	-2.9170249727422317	-9.8885	0.6541	-9.966	287.0	10.658	99.9	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	1638.4587	10.678124473059901	6.4366	0.4079	6.482	287.0	10.398	99.9	OVER
ENSG00000170255	MRGPRX1	259249	MAS related GPR family member X1	protein_coding	0.0307	-4.979373349410042	-9.9259	0.4806	-9.966	287.0	10.292	99.9	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.3877	-1.3632709872102522	-9.7933	0.8383	-9.966	287.0	10.056	99.9	OVER
ENSG00000160131	VMA21	203547	vacuolar ATPase assembly factor VMA21	protein_coding	85.1168	6.411388957543815	3.0417	0.3484	3.046	287.0	9.672	99.9	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.0116	-6.310432456049533	-9.9353	0.3759	-9.966	287.0	9.643	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.6963	-0.520148613262651	-9.8209	0.9975	-9.966	287.0	9.324	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0416	-4.553002759323611	-9.8895	0.5756	-9.966	287.0	9.271	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0279	-5.1127866970487705	-9.9225	0.5205	-9.966	287.0	9.241	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2264	-2.1366958406572016	-9.8339	0.8384	-9.966	287.0	9.181	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	3.5359	1.8224854297983566	-9.619	1.2528	-9.966	287.0	9.133	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0072	-6.930160374931366	-9.9462	0.3349	-9.966	287.0	9.006	99.9	OVER
ENSG00000123569	H2BW1	158983	H2B.W histone 1	protein_coding	1.0236	0.03506079690511427	-9.7806	1.1011	-9.966	287.0	8.914	99.9	OVER
ENSG00000175766	EIF4E1B	253314	eukaryotic translation initiation factor 4E family member 1B	protein_coding	50.9172	5.670109514578844	-9.455	1.6995	-9.966	287.0	8.9	99.9	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.0165	-5.836501267717121	-9.9276	0.4598	-9.966	287.0	8.898	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0388	-4.651087759005801	-9.905	0.5987	-9.966	287.0	8.776	99.8	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.5912	-0.7558436043718957	-9.8146	1.0421	-9.966	287.0	8.693	99.8	OVER
