ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	4.341	2.1183597259530575	-9.9162	0.4864	-9.966	287.0	24.742	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0618	-3.9930916306578226	-9.9507	0.2593	-9.966	287.0	22.976	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2322	-2.100360306348953	-9.9408	0.4273	-9.966	287.0	18.349	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.2197	-2.1798414652698352	-9.9402	0.4379	-9.966	287.0	17.722	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.0561	-4.130365444186607	-9.9462	0.3349	-9.966	287.0	17.366	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.9547	-0.06537027630033682	-9.8895	0.5756	-9.966	287.0	17.068	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.083	-3.5734668618833267	-9.9439	0.3742	-9.966	287.0	17.024	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1068	-3.213570916796944	-9.9423	0.4011	-9.966	287.0	16.776	100.0	OVER
ENSG00000236396	SLC35G4	646000	solute carrier family 35 member G4	protein_coding	0.0615	-4.0	-9.9423	0.4011	-9.966	287.0	14.815	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.0477	-4.359934417467107	-9.9415	0.4152	-9.966	287.0	13.443	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.3283	1.2198964620646604	-9.8805	0.8416	-9.966	287.0	13.19	99.9	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.0637	-3.950090477556942	-9.9384	0.4671	-9.966	287.0	12.82	99.9	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.0991	-3.320486120713456	-9.9225	0.5205	-9.966	287.0	12.684	99.9	OVER
