ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	1.0197	0.029558897449116415	-9.9453	0.3501	-9.966	287.0	28.491	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5727	-0.8016315768974807	-9.9408	0.4273	-9.966	287.0	21.388	100.0	OVER
ENSG00000176774	MAGEB18	286514	MAGE family member B18	protein_coding	0.0518	-4.243318260190996	-9.9487	0.2924	-9.966	287.0	19.512	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1604	-2.6312875162716693	-9.9423	0.4011	-9.966	287.0	18.227	100.0	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.4446	-1.1661788622094176	-9.9187	0.567	-9.966	287.0	15.437	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.1007	-3.297608415691949	-9.9405	0.4327	-9.966	287.0	15.352	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.8824	0.913339434753822	-9.8805	0.8416	-9.966	287.0	12.825	100.0	OVER
ENSG00000205883	DEFB135	613209	defensin beta 135	protein_coding	0.2005	-2.3111482561341194	-9.9306	0.5995	-9.966	287.0	12.71	100.0	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.1754	-2.5030775339919287	-9.8955	0.594	-9.966	287.0	12.445	100.0	OVER
ENSG00000275663	H4C7	8369	H4 clustered histone 7	protein_coding	0.3647	-1.451267468208081	-9.9088	0.6848	-9.966	287.0	12.35	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.2021	-2.2997378552532965	-9.8885	0.6541	-9.966	287.0	11.602	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	16.9731	4.085263176870846	-9.7749	1.215	-9.966	287.0	11.408	99.9	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.1786	-2.4771407448083025	-9.8422	0.6548	-9.966	287.0	11.248	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.6965	-0.5197348779455371	-9.8339	0.8384	-9.966	287.0	11.109	99.9	OVER
