ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	41.8074	5.385720927644342	-9.9162	0.4864	-9.966	287.0	31.46	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1727	-2.525330340839057	-9.9453	0.3501	-9.966	287.0	21.194	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1771	-2.4892405784478306	-9.9408	0.4273	-9.966	287.0	17.439	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0685	-3.8468432119385794	-9.9453	0.3501	-9.966	287.0	17.419	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.412	-1.2757863132426417	-9.9357	0.5125	-9.966	287.0	16.897	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	6.0473	2.5965297000381993	-9.8007	0.8388	-9.966	287.0	14.78	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	5.4183	2.438106513618204	-9.8805	0.8416	-9.966	287.0	14.637	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	3.467	1.794103898559748	-9.8339	0.8384	-9.966	287.0	13.869	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	8.803	3.13815914522947	-9.7475	0.9772	-9.966	287.0	13.186	100.0	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.1079	-3.1989241408325424	-9.923	0.5154	-9.966	287.0	13.046	100.0	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	10.5119	3.3940887887839764	-9.654	1.0271	-9.966	287.0	12.704	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	4.7397	2.2451000996227504	-9.8209	0.9975	-9.966	287.0	12.096	99.9	OVER
ENSG00000183269	OR52E8	390079	olfactory receptor family 52 subfamily E member 8	protein_coding	0.4194	-1.250165425587271	-9.8813	0.7144	-9.966	287.0	12.082	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.2395	-2.055891200892045	-9.8885	0.6541	-9.966	287.0	11.975	99.9	OVER
ENSG00000106331	PAX4	5078	paired box 4	protein_coding	0.704	-0.5043048373759312	-9.8424	0.7868	-9.966	287.0	11.868	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0448	-4.448508591452505	-9.9259	0.4806	-9.966	287.0	11.397	99.9	OVER
