ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.1263	-2.9736956756480915	-9.9507	0.2593	-9.966	287.0	26.907	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.6843	-0.5451924078881503	-9.9354	0.366	-9.966	287.0	25.656	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.8132	-0.296544873409439	-9.9408	0.4273	-9.966	287.0	22.57	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.0947	-3.385337265063424	-9.9446	0.363	-9.966	287.0	18.07	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.4559	-1.1300496523410009	-9.8937	0.4959	-9.966	287.0	17.672	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0874	-3.499809820158018	-9.9408	0.4273	-9.966	287.0	15.074	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	4.83	2.27232185276999	-9.8805	0.8416	-9.966	287.0	14.44	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.0585	-4.070966521354143	-9.9415	0.4152	-9.966	287.0	14.139	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.462	-1.1109159014018506	-9.8885	0.6541	-9.966	287.0	13.419	100.0	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0569	-4.110292841560213	-9.929	0.4438	-9.966	287.0	13.111	100.0	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.21	-2.244685095954902	-9.9063	0.5927	-9.966	287.0	12.927	99.9	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0441	-4.4707287562940685	-9.9309	0.4228	-9.966	287.0	12.914	99.9	OVER
ENSG00000181698	OR5T1	390155	olfactory receptor family 5 subfamily T member 1	protein_coding	0.1042	-3.248793390257147	-9.9041	0.6033	-9.966	287.0	11.032	99.9	OVER
ENSG00000185177	ZNF479	90827	zinc finger protein 479	protein_coding	3.5818	1.841087511295934	-9.7573	1.0521	-9.966	287.0	11.024	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	13.5417	3.75944349172384	-9.709	1.2335	-9.966	287.0	10.919	99.9	OVER
ENSG00000184735	DDX53	168400	DEAD-box helicase 53	protein_coding	5.9313	2.568591557598408	-9.6065	1.1359	-9.966	287.0	10.718	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.214	-2.217591435072627	-9.8795	0.7304	-9.966	287.0	10.49	99.9	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	46.5172	5.539723368368422	-9.623	1.5205	-9.966	287.0	9.972	99.9	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	0.2533	-1.975396632859343	-9.872	0.7923	-9.966	287.0	9.967	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.0203	0.030406710426045442	-9.8209	0.9975	-9.966	287.0	9.876	99.9	OVER
ENSG00000170848	PSG6	5675	pregnancy specific beta-1-glycoprotein 6	protein_coding	1.0598	0.08515268056313831	-9.7764	1.0167	-9.966	287.0	9.7	99.9	OVER
ENSG00000280236	OR12D2	26529	olfactory receptor family 12 subfamily D member 2	protein_coding	0.2805	-1.8287931725818574	-9.8453	0.8316	-9.966	287.0	9.64	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	3.1351	1.6489715630258004	-9.7749	1.215	-9.966	287.0	9.402	99.9	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	0.4781	-1.0616012814170606	-9.7382	0.9316	-9.966	287.0	9.314	99.9	OVER
ENSG00000174564	IL20RB	53833	interleukin 20 receptor subunit beta	protein_coding	104.2222	6.703532645888424	0.0531	0.7212	0.0718	287.0	9.221	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2274	-2.1303654441866064	-9.8339	0.8384	-9.966	287.0	9.188	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0647	-3.92796281922712	-9.8875	0.6628	-9.966	287.0	8.991	99.9	OVER
ENSG00000117148	ACTL8	81569	actin like 8	protein_coding	13.546	3.759901495225386	-9.511	1.4896	-9.966	287.0	8.909	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1373	-2.8541269383989554	-9.8844	0.7965	-9.966	287.0	8.826	99.9	OVER
ENSG00000204701	OR2J3	442186	olfactory receptor family 2 subfamily J member 3	protein_coding	0.4012	-1.3140150132440975	-9.8027	0.9678	-9.966	287.0	8.771	99.8	OVER
ENSG00000166908	PIP4K2C	79837	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma	protein_coding	267.608	8.063982826071841	4.2301	0.4382	4.27	287.0	8.749	99.8	OVER
ENSG00000163235	TGFA	7039	transforming growth factor alpha	protein_coding	124.7426	6.962821989424518	1.2391	0.659	1.299	287.0	8.685	99.8	OVER
