ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.3402	-1.5513104482311593	-9.9453	0.3501	-9.966	287.0	23.976	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.051	-4.265344566520995	-9.9507	0.2593	-9.966	287.0	21.926	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.9129	-0.12989178233582188	-9.9162	0.4864	-9.966	287.0	20.12	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3147	-1.6633738342364643	-9.9408	0.4273	-9.966	287.0	19.371	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.1275	-2.960159735468209	-9.9446	0.363	-9.966	287.0	19.241	100.0	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	1.0831	0.11649784050174805	-9.8864	0.6718	-9.966	287.0	14.89	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0593	-4.0516981876493645	-9.9309	0.4228	-9.966	287.0	13.905	100.0	OVER
ENSG00000183862	CNGA2	1260	cyclic nucleotide gated channel subunit alpha 2	protein_coding	0.4367	-1.1919857109104024	-9.8654	0.6409	-9.966	287.0	13.533	100.0	OVER
ENSG00000112462	OR12D3	81797	olfactory receptor family 12 subfamily D member 3	protein_coding	0.0276	-5.12784104277106	-9.9354	0.366	-9.966	287.0	13.135	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0324	-4.904008087075397	-9.9315	0.4128	-9.966	287.0	12.179	100.0	OVER
ENSG00000221954	OR4C12	283093	olfactory receptor family 4 subfamily C member 12	protein_coding	0.0485	-4.3364276645824775	-9.9273	0.4654	-9.966	287.0	12.013	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	27.6812	4.790886698373743	-9.7749	1.215	-9.966	287.0	11.988	99.9	OVER
ENSG00000226372	DCAF8L1	139425	DDB1 and CUL4 associated factor 8 like 1	protein_coding	0.1044	-3.2460532279122347	-9.8778	0.6204	-9.966	287.0	10.689	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.4432	-1.1707187020024687	-9.8805	0.8416	-9.966	287.0	10.349	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	5.464	2.45022149589718	-9.6296	1.2076	-9.966	287.0	10.003	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	6.8439	2.7750294647033455	-9.619	1.2528	-9.966	287.0	9.893	99.9	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	1.0337	0.04921253463256027	-9.7497	1.0005	-9.966	287.0	9.794	99.9	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	143.275	7.162653155405558	3.1724	0.4162	3.227	287.0	9.587	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.8239	-0.2777088582542445	-9.8209	0.9975	-9.966	287.0	9.567	99.9	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	0.9406	-0.08681377451100519	-9.7503	1.0434	-9.966	287.0	9.262	99.9	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0147	-5.993091630657823	-9.9408	0.4273	-9.966	287.0	9.239	99.9	OVER
