ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	1.153	0.20664322398339532	-9.9408	0.4273	-9.966	287.0	23.748	100.0	OVER
ENSG00000186980	KRTAP23-1	337963	keratin associated protein 23-1	protein_coding	0.3425	-1.5416179958439868	-9.9337	0.5477	-9.966	287.0	15.322	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.7566	2.955610389056505	-9.8805	0.8416	-9.966	287.0	15.252	100.0	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0529	-4.213570916796944	-9.929	0.4438	-9.966	287.0	12.878	100.0	OVER
ENSG00000275663	H4C7	8369	H4 clustered histone 7	protein_coding	0.1846	-2.4297313844218773	-9.9088	0.6848	-9.966	287.0	10.922	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0203	-5.553002759323611	-9.9408	0.4273	-9.966	287.0	10.269	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.0434	0.06267436276339249	-9.8209	0.9975	-9.966	287.0	9.908	100.0	OVER
ENSG00000177468	OLIG3	167826	oligodendrocyte transcription factor 3	protein_coding	1.0381	0.0553345017510994	-9.75	0.9957	-9.966	287.0	9.848	100.0	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.049	-4.321928094887363	-9.8975	0.5786	-9.966	287.0	9.636	100.0	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.0416	-4.553002759323611	-9.9055	0.5914	-9.966	287.0	9.051	100.0	OVER
ENSG00000183862	CNGA2	1260	cyclic nucleotide gated channel subunit alpha 2	protein_coding	0.0503	-4.284897363942395	-9.8654	0.6409	-9.966	287.0	8.707	99.9	OVER
ENSG00000228607	CLDN25	644672	claudin 25	protein_coding	2.0786	1.0563060603318761	-9.7177	1.2483	-9.966	287.0	8.631	99.9	OVER
ENSG00000163982	OTOP1	133060	otopetrin 1	protein_coding	0.0719	-3.7779373752225123	-9.8737	0.7068	-9.966	287.0	8.624	99.9	OVER
