ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000181939	OR4C15	81309	olfactory receptor family 4 subfamily C member 15	protein_coding	0.2681	-1.893785703909032	-9.9453	0.3501	-9.966	287.0	22.998	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1715	-2.5353317329965557	-9.9408	0.4273	-9.966	287.0	17.331	100.0	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.7328	-0.44654119030090655	-9.9187	0.567	-9.966	287.0	16.706	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.0615	-4.0	-9.9446	0.363	-9.966	287.0	16.376	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0386	-4.658355759469839	-9.9453	0.3501	-9.966	287.0	15.101	100.0	OVER
ENSG00000214415	GNAT3	346562	G protein subunit alpha transducin 3	protein_coding	44.9924	5.491641485538507	-9.761	1.0309	-9.966	287.0	14.795	100.0	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.1576	-2.656535323845471	-9.9225	0.5205	-9.966	287.0	13.96	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.2611	-1.931810741221032	-9.8895	0.5756	-9.966	287.0	13.825	100.0	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	360.3895	8.493417171560115	4.2061	0.3668	4.212	287.0	11.688	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1679	-2.5657587667480635	-9.8875	0.6628	-9.966	287.0	11.047	100.0	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.163	-2.608232280044003	-9.884	0.6921	-9.966	287.0	10.513	99.9	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	82.2927	6.36271008414116	-0.6859	0.674	-0.6643	287.0	10.458	99.9	OVER
ENSG00000167822	OR8J3	81168	olfactory receptor family 8 subfamily J member 3	protein_coding	0.0131	-6.148161027150656	-9.9439	0.3742	-9.966	287.0	10.144	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0591	-4.056491198838264	-9.905	0.5987	-9.966	287.0	9.769	99.9	OVER
ENSG00000152127	MGAT5	4249	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein_coding	100.3702	6.649201558887861	3.1757	0.3556	3.189	287.0	9.768	99.9	OVER
