ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	1.386	0.4719677876615155	-9.9408	0.4273	-9.966	287.0	24.369	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	1.4646	0.5514914085474943	-9.9162	0.4864	-9.966	287.0	21.521	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.2626	-1.9235777245413976	-9.9423	0.4011	-9.966	287.0	19.992	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.6848	-0.544140190613815	-9.9036	0.5342	-9.966	287.0	17.521	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0473	-4.371833000713676	-9.9453	0.3501	-9.966	287.0	15.92	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	9.6855	3.275975474228282	-9.8805	0.8416	-9.966	287.0	15.633	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0298	-5.020925838854548	-9.9453	0.3501	-9.966	287.0	14.066	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0442	-4.467533417134262	-9.9309	0.4228	-9.966	287.0	12.922	100.0	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.0204	-5.546245393148302	-9.9353	0.3759	-9.966	287.0	11.676	100.0	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0492	-4.316168825598678	-9.9225	0.5205	-9.966	287.0	10.771	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.5062	-0.9793733494100422	-9.8007	0.8388	-9.966	287.0	10.517	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.031	-4.965784284662087	-9.9259	0.4806	-9.966	287.0	10.321	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.2567	-1.9562355576898298	-9.8195	0.7757	-9.966	287.0	10.137	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0684	-3.8489205269711886	-9.905	0.5987	-9.966	287.0	10.115	99.9	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.2778	-1.8426975336810263	-9.8689	0.8183	-9.966	287.0	9.808	99.9	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.1665	-2.5777669993169523	-9.8999	0.7903	-9.966	287.0	9.265	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.8933	-0.16116921883712443	-9.8146	1.0421	-9.966	287.0	9.263	99.9	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.0449	-4.445362036135641	-9.9055	0.5914	-9.966	287.0	9.233	99.9	OVER
