ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.1664	-2.5786285669991056	-9.9507	0.2593	-9.966	287.0	28.431	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1339	-2.8900377466011817	-9.9408	0.4273	-9.966	287.0	16.501	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.5942	2.9250879548799826	-9.8805	0.8416	-9.966	287.0	15.216	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.6169	-0.6945547214464474	-9.8795	0.7304	-9.966	287.0	12.575	100.0	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	1026.6161	10.00368248098728	0.3222	0.7761	0.4125	287.0	12.475	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.7493	-0.4144605366473233	-9.8339	0.8384	-9.966	287.0	11.235	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	1.9637	0.9743090368836539	-9.7475	0.9772	-9.966	287.0	10.972	100.0	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.6871	-0.5393098511512646	-9.7845	0.8461	-9.966	287.0	10.927	100.0	OVER
ENSG00000173473	SMARCC1	6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	protein_coding	154.3423	7.269999047093999	3.8499	0.3249	3.838	287.0	10.527	100.0	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	8.0559	3.010224849309626	-9.7749	1.215	-9.966	287.0	10.523	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.9626	1.5673507388181744	-9.8303	1.1477	-9.966	287.0	9.931	99.9	OVER
ENSG00000172742	OR4D9	390199	olfactory receptor family 4 subfamily D member 9	protein_coding	0.0302	-5.002310160687201	-9.9232	0.5116	-9.966	287.0	9.619	99.9	OVER
ENSG00000255223	OR5M11	219487	olfactory receptor family 5 subfamily M member 11	protein_coding	0.6805	-0.5532144378568775	-9.8017	0.9735	-9.966	287.0	9.5	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	771.8187	9.592120057610346	4.8475	0.5091	4.859	287.0	9.32	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	137.7136	7.105537706626163	3.0556	0.4353	3.052	287.0	9.304	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	192.5513	7.589106545725912	4.2061	0.3668	4.212	287.0	9.223	99.9	OVER
ENSG00000116711	PLA2G4A	5321	phospholipase A2 group IVA	protein_coding	373.6941	8.545717836575943	2.3367	0.6891	2.319	287.0	9.01	99.9	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	102.8477	6.684379748193661	3.3747	0.3823	3.377	287.0	8.657	99.9	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	16.6949	4.061421959509719	-9.2982	1.5632	-9.966	287.0	8.546	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0301	-5.006941609418847	-9.8895	0.5756	-9.966	287.0	8.483	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	1.3729	0.4582770006958051	-9.6296	1.2076	-9.966	287.0	8.354	99.9	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	0.7008	-0.5108681471472828	-9.7483	1.1059	-9.966	287.0	8.353	99.9	OVER
ENSG00000176746	MAGEB6	158809	MAGE family member B6	protein_coding	0.1295	-2.9378782880922025	-9.8262	0.8314	-9.966	287.0	8.285	99.9	OVER
ENSG00000165476	REEP3	221035	receptor accessory protein 3	protein_coding	167.1931	7.385380127798037	3.6409	0.4539	3.625	287.0	8.25	99.9	OVER
ENSG00000088992	TESC	54997	tescalcin	protein_coding	918.2232	9.842702644869997	3.5002	0.7739	3.51	287.0	8.196	99.9	OVER
ENSG00000203668	CHML	1122	CHM like Rab escort protein	protein_coding	44.6144	5.479469869354805	1.444	0.4973	1.455	287.0	8.115	99.9	OVER
ENSG00000101928	MOSPD1	56180	motile sperm domain containing 1	protein_coding	62.511	5.966061255521586	2.5124	0.4283	2.559	287.0	8.064	99.9	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.0437	-4.4835813583661315	-9.8693	0.673	-9.966	287.0	8.003	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	288.3597	8.171730746244778	3.5934	0.5726	3.541	287.0	7.996	99.9	OVER
ENSG00000105131	EPHX3	79852	epoxide hydrolase 3	protein_coding	94.6872	6.565112743789179	0.8536	0.7253	0.8805	287.0	7.875	99.8	OVER
