ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	7.172	2.842576630770697	-9.9162	0.4864	-9.966	287.0	26.231	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	1.4487	0.5357543807286665	-9.9309	0.4228	-9.966	287.0	24.756	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.3344	-1.5760454059851032	-9.9439	0.3742	-9.966	287.0	22.362	100.0	OVER
ENSG00000244057	LCE3C	353144	late cornified envelope 3C	protein_coding	0.1481	-2.745647837266007	-9.9419	0.4084	-9.966	287.0	17.621	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0208	-5.519528054772523	-9.9507	0.2593	-9.966	287.0	17.089	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1076	-3.202903991745088	-9.9423	0.4011	-9.966	287.0	16.802	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0489	-4.324816374212189	-9.9453	0.3501	-9.966	287.0	16.054	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	9.5594	3.25707098075246	-9.8805	0.8416	-9.966	287.0	15.61	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1002	-3.3047188048551392	-9.9408	0.4273	-9.966	287.0	15.53	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	1.1386	0.18852752677440168	-9.8885	0.6541	-9.966	287.0	15.406	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	3.837	1.9403547115332933	-9.8007	0.8388	-9.966	287.0	13.997	99.9	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.182	-2.4500844463780447	-9.9036	0.5342	-9.966	287.0	13.953	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.1988	-2.323371511757031	-9.9187	0.567	-9.966	287.0	13.396	99.9	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.1745	-2.5104570643575266	-9.8693	0.673	-9.966	287.0	10.934	99.9	OVER
ENSG00000180053	NKX2-6	137814	NK2 homeobox 6	protein_coding	1.1117	0.1540646736747162	-9.8186	0.9356	-9.966	287.0	10.659	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.5087	0.5942618929197678	-9.8209	0.9975	-9.966	287.0	10.441	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	10.4011	3.378802907267955	-9.619	1.2528	-9.966	287.0	10.375	99.9	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.018	-5.717856771218502	-9.9408	0.4273	-9.966	287.0	9.883	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0254	-5.243318260190996	-9.9259	0.4806	-9.966	287.0	9.743	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.0523	-4.229720656790273	-9.8955	0.594	-9.966	287.0	9.538	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	3.0907	1.6284003355919463	-9.7749	1.215	-9.966	287.0	9.385	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.4777	0.5643293868429373	-9.8303	1.1477	-9.966	287.0	9.057	99.9	OVER
ENSG00000187714	SLC18A3	6572	solute carrier family 18 member A3	protein_coding	3.838	1.9407305601848623	-9.5629	1.2861	-9.966	287.0	8.945	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	666.7528	9.381010331861436	4.8475	0.5091	4.859	287.0	8.905	99.9	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	1.3472	0.4310345303516139	-9.7132	1.1408	-9.966	287.0	8.892	99.9	OVER
ENSG00000204887	KRTAP1-4	728255	keratin associated protein 1-4	protein_coding	0.3086	-1.6915226234050391	-9.8569	0.9194	-9.966	287.0	8.881	99.9	OVER
ENSG00000160131	VMA21	203547	vacuolar ATPase assembly factor VMA21	protein_coding	69.2564	6.113896323059034	3.0417	0.3484	3.046	287.0	8.818	99.9	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.0368	-4.725469955328377	-9.9055	0.5914	-9.966	287.0	8.759	99.9	OVER
ENSG00000185515	BRCC3	79184	BRCA1/BRCA2-containing complex subunit 3	protein_coding	101.6062	6.666858826493605	2.6695	0.4575	2.772	287.0	8.737	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	1.8514	0.8893956621542438	-9.6296	1.2076	-9.966	287.0	8.711	99.8	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	2.0419	1.0306185858454775	-9.709	1.2335	-9.966	287.0	8.707	99.8	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	168.0302	7.392585326981734	4.2061	0.3668	4.212	287.0	8.687	99.8	OVER
ENSG00000254004	ZNF260	339324	zinc finger protein 260	protein_coding	53.3437	5.737273035786211	1.5588	0.4816	1.581	287.0	8.676	99.8	OVER
ENSG00000124333	VAMP7	6845	vesicle associated membrane protein 7	protein_coding	181.8391	7.506526572429971	4.2218	0.3839	4.288	287.0	8.556	99.8	OVER
ENSG00000141946	ZIM3	114026	zinc finger imprinted 3	protein_coding	0.0479	-4.3540217245972155	-9.8634	0.6548	-9.966	287.0	8.414	99.8	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	102.7946	6.683634703391799	3.0556	0.4353	3.052	287.0	8.335	99.8	OVER
ENSG00000112238	PRDM13	59336	PR/SET domain 13	protein_coding	0.7401	-0.43225986980540265	-9.6705	1.1241	-9.966	287.0	8.218	99.8	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	89.2182	6.47928230687234	3.3747	0.3823	3.377	287.0	8.121	99.8	OVER
ENSG00000177689	MAGEB10	139422	MAGE family member B10	protein_coding	0.0322	-4.912672948202524	-9.893	0.6158	-9.966	287.0	8.088	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.6199	-0.6875671631907814	-9.83	1.1479	-9.966	287.0	7.964	99.8	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0168	-5.811978948583052	-9.9225	0.5205	-9.966	287.0	7.897	99.8	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	86.7832	6.439360503265413	3.1724	0.4162	3.227	287.0	7.849	99.8	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	7.4982	2.9067366999295747	-9.2982	1.5632	-9.966	287.0	7.808	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	28.2097	4.818170559251088	1.5417	0.421	1.566	287.0	7.783	99.8	OVER
ENSG00000186803	IFNA10	3446	interferon alpha 10	protein_coding	0.1307	-2.924672749292935	-9.8367	0.8899	-9.966	287.0	7.767	99.8	OVER
ENSG00000125788	DEFB126	81623	defensin beta 126	protein_coding	1.5955	0.6749125529080063	-9.6861	1.3458	-9.966	287.0	7.699	99.8	OVER
ENSG00000143320	CRABP2	1382	cellular retinoic acid binding protein 2	protein_coding	2423.324	11.242772186952646	2.1308	1.1849	1.997	287.0	7.69	99.8	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	760.6094	9.571013855177423	6.4366	0.4079	6.482	287.0	7.684	99.8	OVER
ENSG00000056277	ZNF280C	55609	zinc finger protein 280C	protein_coding	9.8942	3.3067288670597716	0.3395	0.3866	0.3346	287.0	7.675	99.7	OVER
ENSG00000101856	PGRMC1	10857	progesterone receptor membrane component 1	protein_coding	555.5433	9.117758148809514	5.8601	0.4303	5.884	287.0	7.571	99.7	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	0.5782	-0.787866492466244	-9.6021	1.1741	-9.966	287.0	7.507	99.7	OVER
ENSG00000164983	TMEM65	157378	transmembrane protein 65	protein_coding	28.7167	4.84386830325906	1.751	0.4121	1.762	287.0	7.505	99.7	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.244	-2.0291463456595165	-9.8146	1.0421	-9.966	287.0	7.471	99.7	OVER
ENSG00000167635	ZNF146	7705	zinc finger protein 146	protein_coding	180.3659	7.494790796731123	4.4895	0.4044	4.52	287.0	7.431	99.7	OVER
ENSG00000101457	DNTTIP1	116092	deoxynucleotidyltransferase terminal interacting protein 1	protein_coding	304.6198	8.250870644509739	4.7232	0.4759	4.784	287.0	7.413	99.7	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	1.6532	0.7261336731818974	-9.4554	1.3777	-9.966	287.0	7.39	99.7	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.1856	-2.4219791086976907	-9.8325	1.006	-9.966	287.0	7.366	99.7	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	224.3555	7.80964917179176	3.5934	0.5726	3.541	287.0	7.363	99.7	OVER
ENSG00000196406	SPANXD	64648	SPANX family member D	protein_coding	0.2769	-1.8473622603488875	-9.7839	1.0794	-9.966	287.0	7.353	99.7	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	39.236	5.294142834442022	-0.5099	0.7959	-0.4131	287.0	7.292	99.7	OVER
ENSG00000183709	IFNL2	282616	interferon lambda 2	protein_coding	0.5295	-0.9145753437473223	-9.7358	1.2156	-9.966	287.0	7.257	99.7	OVER
ENSG00000243729	OR5V1	81696	olfactory receptor family 5 subfamily V member 1	protein_coding	0.0422	-4.5328248773859805	-9.8684	0.7379	-9.966	287.0	7.231	99.7	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.2421	-2.0403782015207206	-9.8093	1.0747	-9.966	287.0	7.229	99.7	OVER
ENSG00000149679	CABLES2	81928	Cdk5 and Abl enzyme substrate 2	protein_coding	27.0252	4.756286771889432	1.6027	0.4377	1.623	287.0	7.205	99.7	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.0701	-3.8140066299300344	-9.8339	0.8384	-9.966	287.0	7.18	99.7	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	79.5785	6.314324929458262	3.8348	0.3454	3.88	287.0	7.179	99.7	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.0287	-5.073393258748683	-9.8864	0.6718	-9.966	287.0	7.164	99.7	OVER
ENSG00000105738	SIPA1L3	23094	signal induced proliferation associated 1 like 3	protein_coding	76.4412	6.256297394440524	2.7528	0.4894	2.776	287.0	7.159	99.7	OVER
ENSG00000198443	KRTAP4-1	85285	keratin associated protein 4-1	protein_coding	7.5578	2.9181572170570442	-9.458	1.7368	-9.966	287.0	7.126	99.6	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.1532	0.20689323612177143	-9.5576	1.3755	-9.966	287.0	7.099	99.6	OVER
ENSG00000177504	VCX2	51480	variable charge X-linked 2	protein_coding	0.2317	-2.103456884144101	-9.7831	1.0856	-9.966	287.0	7.074	99.6	OVER
ENSG00000166351	POTED	317754	POTE ankyrin domain family member D	protein_coding	0.0239	-5.327710447481368	-9.8797	0.6493	-9.966	287.0	7.011	99.6	OVER
ENSG00000069018	TRPC7	57113	transient receptor potential cation channel subfamily C member 7	protein_coding	0.0334	-4.861447624847352	-9.8548	0.7175	-9.966	287.0	6.959	99.6	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	54.0716	5.756825822805778	3.4319	0.3368	3.446	287.0	6.903	99.6	OVER
ENSG00000075702	WDR62	284403	WD repeat domain 62	protein_coding	57.9643	5.857117607210446	0.1029	0.8348	0.0158	287.0	6.893	99.6	OVER
ENSG00000131724	IL13RA1	3597	interleukin 13 receptor subunit alpha 1	protein_coding	236.3867	7.885011159255217	5.1996	0.3928	5.252	287.0	6.837	99.6	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	0.1159	-3.096653165017793	-9.7345	0.9741	-9.966	287.0	6.814	99.6	OVER
