ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	2.6847	1.4252981608024695	-9.9507	0.2593	-9.966	287.0	43.872	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	1.9972	0.9987009898208966	-9.9453	0.3501	-9.966	287.0	31.26	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.8968	-0.15553399863390446	-9.9408	0.4273	-9.966	287.0	22.9	100.0	OVER
ENSG00000163982	OTOP1	133060	otopetrin 1	protein_coding	15.3946	3.944446188327697	-9.8737	0.7068	-9.966	287.0	19.55	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.27	-1.8836352433082153	-9.9402	0.4379	-9.966	287.0	18.398	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.221	-2.1713684183119812	-9.9309	0.4228	-9.966	287.0	18.353	100.0	OVER
ENSG00000204612	FOXB2	442425	forkhead box B2	protein_coding	1.2419	0.31371022615091376	-9.893	0.6158	-9.966	287.0	16.575	100.0	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.6469	-0.6261569370816914	-9.9187	0.567	-9.966	287.0	16.389	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0966	-3.356975041986563	-9.9315	0.4128	-9.966	287.0	15.927	100.0	OVER
ENSG00000185069	KRT76	51350	keratin 76	protein_coding	10.2667	3.3600411440984628	-9.799	0.8406	-9.966	287.0	15.654	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.7038	2.945757507972628	-9.8805	0.8416	-9.966	287.0	15.24	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	2.3603	1.2395813456822826	-9.8795	0.7304	-9.966	287.0	15.223	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	1.0372	0.05408439284237886	-9.8875	0.6628	-9.966	287.0	14.999	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.5298	-0.9137597241792559	-9.9005	0.639	-9.966	287.0	14.064	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.7844	-0.34850049688305246	-9.8822	0.7085	-9.966	287.0	13.456	99.9	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.1217	-3.0267928458865443	-9.9225	0.5205	-9.966	287.0	13.248	99.9	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.4021	-1.3107903116983697	-9.8422	0.6548	-9.966	287.0	13.029	99.9	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	1.2697	0.3456234641751285	-9.872	0.7923	-9.966	287.0	12.896	99.9	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	42.4763	5.408620161396514	-9.654	1.2021	-9.966	287.0	12.53	99.9	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.0697	-3.8221459747400504	-9.9162	0.4864	-9.966	287.0	12.529	99.9	OVER
ENSG00000123584	MAGEA9	4108	MAGE family member A9	protein_coding	0.4235	-1.2361635411090486	-9.8752	0.6914	-9.966	287.0	12.495	99.9	OVER
ENSG00000176900	OR51T1	401665	olfactory receptor family 51 subfamily T member 1	protein_coding	0.0721	-3.773984783597012	-9.9239	0.5035	-9.966	287.0	12.214	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.1597	-2.6375581658743554	-9.905	0.5987	-9.966	287.0	12.139	99.9	OVER
ENSG00000268988	SPANXN2	494119	SPANX family member N2	protein_coding	0.3902	-1.3540217245972157	-9.8726	0.7074	-9.966	287.0	12.042	99.9	OVER
ENSG00000256229	ZNF486	90649	zinc finger protein 486	protein_coding	163.6311	7.354311981869227	0.8526	0.5448	0.8726	287.0	11.934	99.9	OVER
ENSG00000196350	ZNF729	100287226	zinc finger protein 729	protein_coding	5.8752	2.554883499722958	-9.6555	1.0679	-9.966	287.0	11.434	99.9	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	2.4441	1.2898934699030193	-9.7345	0.9741	-9.966	287.0	11.318	99.9	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	198.1164	7.6302117827296705	3.3747	0.3823	3.377	287.0	11.131	99.9	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.1754	-2.5030775339919287	-9.8864	0.6718	-9.966	287.0	10.99	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	51.018	5.672962716501609	-9.4554	1.3777	-9.966	287.0	10.981	99.8	OVER
