ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	1.1648	0.22132030675705128	-9.9439	0.3742	-9.966	287.0	27.165	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	1.7492	0.8075197920698844	-9.9423	0.4011	-9.966	287.0	26.801	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	4.9103	2.2961049502655055	-9.9162	0.4864	-9.966	287.0	25.108	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0723	-3.7700429914156373	-9.9507	0.2593	-9.966	287.0	23.836	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.6593	-0.598806448936736	-9.9408	0.4273	-9.966	287.0	21.863	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.5003	-0.9962538607671053	-9.9408	0.4273	-9.966	287.0	20.933	100.0	OVER
ENSG00000228567	VN1R4	317703	vomeronasal 1 receptor 4	protein_coding	0.0697	-3.8221459747400504	-9.9462	0.3349	-9.966	287.0	18.286	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	14.0317	3.8107207162361716	-9.8805	0.8416	-9.966	287.0	16.268	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.045	-4.442222328605074	-9.9453	0.3501	-9.966	287.0	15.719	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.0558	-4.137965260044767	-9.9415	0.4152	-9.966	287.0	13.978	100.0	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.5825	-0.7771954389547389	-9.8693	0.673	-9.966	287.0	13.51	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	2.1674	1.1166309120363065	-9.8007	0.8388	-9.966	287.0	13.015	99.9	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0235	-5.351074440546879	-9.9439	0.3742	-9.966	287.0	12.274	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	6.8629	2.7790285343999566	-9.8303	1.1477	-9.966	287.0	10.987	99.9	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	576.272	9.170608616789599	5.5015	0.3448	5.526	287.0	10.641	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	7.4818	2.9035782153319407	-9.619	1.2528	-9.966	287.0	9.996	99.9	OVER
ENSG00000173285	OR10K1	391109	olfactory receptor family 10 subfamily K member 1	protein_coding	0.0186	-5.673002535434241	-9.9276	0.4598	-9.966	287.0	9.253	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.063	-3.965784284662087	-9.8885	0.6541	-9.966	287.0	9.055	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1627	-2.610873773075296	-9.8339	0.8384	-9.966	287.0	8.615	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.9815	-0.025470687516118178	-9.83	1.1479	-9.966	287.0	8.541	99.9	OVER
ENSG00000170571	EMB	133418	embigin	protein_coding	314.4136	8.296524401196136	3.5341	0.5605	3.501	287.0	8.497	99.9	OVER
ENSG00000256229	ZNF486	90649	zinc finger protein 486	protein_coding	43.6523	5.448018814347551	0.8526	0.5448	0.8726	287.0	8.435	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0195	-5.608232280044003	-9.9225	0.5205	-9.966	287.0	8.289	99.9	OVER
ENSG00000177888	ZBTB41	360023	zinc finger and BTB domain containing 41	protein_coding	25.3993	4.6667736314893835	1.3324	0.4056	1.34	287.0	8.221	99.9	OVER
ENSG00000164187	LMBRD2	92255	LMBR1 domain containing 2	protein_coding	36.7026	5.197849668785056	1.4434	0.4584	1.506	287.0	8.19	99.9	OVER
ENSG00000198443	KRTAP4-1	85285	keratin associated protein 4-1	protein_coding	25.1487	4.65246928572955	-9.458	1.7368	-9.966	287.0	8.124	99.9	OVER
ENSG00000204887	KRTAP1-4	728255	keratin associated protein 1-4	protein_coding	0.1791	-2.4731299136431732	-9.8569	0.9194	-9.966	287.0	8.031	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	2.4257	1.2789957668062817	-9.5576	1.3755	-9.966	287.0	7.878	99.9	OVER
ENSG00000189299	FOXR2	139628	forkhead box R2	protein_coding	0.0262	-5.20024953829911	-9.895	0.6009	-9.966	287.0	7.813	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	132.5356	7.050247004900354	4.2061	0.3668	4.212	287.0	7.754	99.8	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	86.2847	6.4310495784106605	3.0556	0.4353	3.052	287.0	7.754	99.8	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.014	-6.058893689053568	-9.8937	0.4959	-9.966	287.0	7.733	99.8	OVER
