ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	4.0006	2.000576962631521	-9.9309	0.4228	-9.966	287.0	28.22	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.5771	-0.7906090225325723	-9.9439	0.3742	-9.966	287.0	24.461	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.4297	-1.215244771307591	-9.9446	0.363	-9.966	287.0	24.048	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0573	-4.100360306348953	-9.9507	0.2593	-9.966	287.0	22.562	100.0	OVER
ENSG00000176774	MAGEB18	286514	MAGE family member B18	protein_coding	0.0959	-3.3673595241343683	-9.9487	0.2924	-9.966	287.0	22.508	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.1559	-2.6720827425813516	-9.9462	0.3349	-9.966	287.0	21.72	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.3471	-1.5224262808257667	-9.9408	0.4273	-9.966	287.0	19.701	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.3055	-1.7060410209713055	-9.9402	0.4379	-9.966	287.0	18.804	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0675	-3.86775220170156	-9.9453	0.3501	-9.966	287.0	17.359	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	1.8208	0.8653645865572381	-9.8795	0.7304	-9.966	287.0	14.711	100.0	OVER
ENSG00000221826	PSG3	5671	pregnancy specific beta-1-glycoprotein 3	protein_coding	386.0443	8.592626338435842	-9.6514	1.2619	-9.966	287.0	14.458	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	18.1973	4.185731781788241	-9.7475	0.9772	-9.966	287.0	14.258	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.9884	1.5798559513506845	-9.8805	0.8416	-9.966	287.0	13.617	99.9	OVER
ENSG00000123576	ESX1	80712	ESX homeobox 1	protein_coding	5.116	2.3552982333479546	-9.8159	0.8945	-9.966	287.0	13.607	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	579.4605	9.178569000093228	4.2061	0.3668	4.212	287.0	13.556	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.2527	-1.9788045754855104	-9.8955	0.594	-9.966	287.0	13.328	99.9	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	8.5473	3.095637539831783	-9.7345	0.9741	-9.966	287.0	13.171	99.9	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0461	-4.4081291299366665	-9.9408	0.4273	-9.966	287.0	12.948	99.9	OVER
ENSG00000163530	DPPA2	151871	developmental pluripotency associated 2	protein_coding	38.3976	5.2629818066182485	-9.7063	1.1566	-9.966	287.0	12.942	99.9	OVER
ENSG00000249156	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12	protein_coding	0.2396	-2.055291452373373	-9.9145	0.6167	-9.966	287.0	12.744	99.9	OVER
ENSG00000176925	OR51F2	119694	olfactory receptor family 51 subfamily F member 2	protein_coding	0.0765	-3.6896598793878495	-9.9248	0.493	-9.966	287.0	12.647	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	1038.0028	10.019596009890751	0.3222	0.7761	0.4125	287.0	12.495	99.9	OVER
ENSG00000224659	GAGE12J	729396	G antigen 12J	protein_coding	0.9639	-0.051548662330177145	-9.8714	0.807	-9.966	287.0	12.168	99.9	OVER
ENSG00000203668	CHML	1122	CHM like Rab escort protein	protein_coding	167.3004	7.386305707862325	1.444	0.4973	1.455	287.0	11.949	99.9	OVER
ENSG00000242221	PSG2	5670	pregnancy specific beta-1-glycoprotein 2	protein_coding	2.8531	1.5130358838594546	-9.8174	0.9488	-9.966	287.0	11.942	99.9	OVER
ENSG00000187857	OR6C75	390323	olfactory receptor family 6 subfamily C member 75	protein_coding	0.0571	-4.1053180261449205	-9.9247	0.4942	-9.966	287.0	11.775	99.9	OVER
ENSG00000230268	SSU72L6	136157	SSU72 like 6	protein_coding	0.1486	-2.7408179196618128	-9.915	0.6102	-9.966	287.0	11.757	99.9	OVER
ENSG00000170848	PSG6	5675	pregnancy specific beta-1-glycoprotein 6	protein_coding	4.25	2.0878022589770877	-9.7764	1.0167	-9.966	287.0	11.669	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.9546	-0.06552124109311715	-9.8007	0.8388	-9.966	287.0	11.606	99.9	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	0.1463	-2.7631706645136	-9.9132	0.6361	-9.966	287.0	11.24	99.8	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	162.4354	7.343731148745885	3.2377	0.367	3.254	287.0	11.188	99.8	OVER
ENSG00000161807	OR7G1	125962	olfactory receptor family 7 subfamily G member 1	protein_coding	0.0929	-3.412731031895675	-9.9055	0.5914	-9.966	287.0	10.979	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	68.5675	6.099474057134433	1.5417	0.421	1.566	287.0	10.826	99.8	OVER
ENSG00000197674	OR51C1P	401661	olfactory receptor family 51 subfamily C member 1 pseudogene	protein_coding	0.0602	-4.0303245368567975	-9.9205	0.5455	-9.966	287.0	10.798	99.8	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	8.1431	3.025755276126078	-9.6021	1.1741	-9.966	287.0	10.755	99.8	OVER
ENSG00000260734	TLE7	102723796	TLE family member 7	protein_coding	0.7283	-0.4554157007995645	-9.8495	0.8779	-9.966	287.0	10.701	99.8	OVER
ENSG00000099942	CRKL	1399	CRK like proto-oncogene, adaptor protein	protein_coding	276.9438	8.113454640048328	4.2306	0.363	4.245	287.0	10.697	99.8	OVER
ENSG00000102038	SMARCA1	6594	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein_coding	389.4254	8.605206880350774	3.8804	0.4421	3.881	287.0	10.687	99.8	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	431.0335	8.75165953701704	3.8461	0.4636	3.897	287.0	10.581	99.8	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	1.0375	0.05450121618256057	-9.7382	0.9316	-9.966	287.0	10.512	99.8	OVER
ENSG00000100030	MAPK1	5594	mitogen-activated protein kinase 1	protein_coding	436.8721	8.77107046586729	4.7846	0.3869	4.785	287.0	10.304	99.8	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.3115	-1.6780719051126376	-9.8844	0.7965	-9.966	287.0	10.303	99.8	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	1.8527	0.8904077792747087	-9.7782	1.0515	-9.966	287.0	10.146	99.8	OVER
ENSG00000187772	LIN28B	389421	lin-28 homolog B	protein_coding	25.505	4.672764759698244	-9.3296	1.3812	-9.966	287.0	10.138	99.8	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	1.5854	0.6657565826793983	-9.7503	1.0434	-9.966	287.0	9.983	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	4.6942	2.231186613227865	-9.7749	1.215	-9.966	287.0	9.882	99.8	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.3225	-1.6281623826695795	-9.8339	0.8384	-9.966	287.0	9.787	99.8	OVER
ENSG00000173285	OR10K1	391109	olfactory receptor family 10 subfamily K member 1	protein_coding	0.0221	-5.435963338133392	-9.9276	0.4598	-9.966	287.0	9.769	99.8	OVER
ENSG00000122126	OCRL	4952	OCRL inositol polyphosphate-5-phosphatase	protein_coding	104.2528	6.703956159931394	3.4807	0.3323	3.497	287.0	9.7	99.7	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	32.127	5.005759269288685	-9.623	1.5205	-9.966	287.0	9.621	99.7	OVER
ENSG00000106799	TGFBR1	7046	transforming growth factor beta receptor 1	protein_coding	291.0734	8.185244149753686	3.7698	0.4598	3.738	287.0	9.603	99.7	OVER
ENSG00000174970	OR10AG1	282770	olfactory receptor family 10 subfamily AG member 1	protein_coding	0.0309	-4.97029976578458	-9.9227	0.5188	-9.966	287.0	9.546	99.7	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.0402	1.0294175468350917	-9.8303	1.1477	-9.966	287.0	9.462	99.7	OVER
ENSG00000254004	ZNF260	339324	zinc finger protein 260	protein_coding	68.5351	6.098792193503382	1.5588	0.4816	1.581	287.0	9.427	99.7	OVER
