ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2747	-1.8588288275392586	-9.9408	0.4273	-9.966	287.0	18.914	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	0.5078	-0.9748294242650939	-9.8236	0.7189	-9.966	287.0	12.309	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.3483	0.4322111491712192	-9.8805	0.8416	-9.966	287.0	12.254	100.0	OVER
ENSG00000233701	PRR23C	389152	proline rich 23C	protein_coding	0.0337	-4.848920526971188	-9.9201	0.4475	-9.966	287.0	11.332	100.0	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.8878	-0.17006927816035733	-9.8325	1.006	-9.966	287.0	9.605	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0794	-3.6366606883705206	-9.8875	0.6628	-9.966	287.0	9.431	100.0	OVER
ENSG00000168679	SLC16A4	9122	solute carrier family 16 member 4	protein_coding	181.4704	7.503598386318705	2.8634	0.4929	2.866	287.0	9.414	100.0	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.2645	-1.9132162338579333	-9.7845	0.8461	-9.966	287.0	9.303	100.0	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	9.5812	3.260356925763869	-9.4554	1.3777	-9.966	287.0	9.23	100.0	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.2392	-2.0576919438438153	-9.7933	0.8383	-9.966	287.0	9.228	100.0	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	457.5721	8.837858430620654	3.5934	0.5726	3.541	287.0	9.159	99.9	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	124.4937	6.95994051482733	3.1724	0.4162	3.227	287.0	9.1	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.2067	-2.2674268787048018	-9.8007	0.8388	-9.966	287.0	8.981	99.9	OVER
ENSG00000086619	ERO1B	56605	endoplasmic reticulum oxidoreductase 1 beta	protein_coding	113.9643	6.8324508111956455	2.3814	0.504	2.404	287.0	8.831	99.9	OVER
ENSG00000101928	MOSPD1	56180	motile sperm domain containing 1	protein_coding	75.7774	6.243714773709514	2.5124	0.4283	2.559	287.0	8.712	99.9	OVER
ENSG00000173572	NLRP13	126204	NLR family pyrin domain containing 13	protein_coding	0.4732	-1.0764324320674414	-9.7168	1.0038	-9.966	287.0	8.608	99.9	OVER
ENSG00000101213	PTK6	5753	protein tyrosine kinase 6	protein_coding	183.2507	7.51768277187293	1.2556	0.7439	1.373	287.0	8.418	99.9	OVER
ENSG00000139508	SLC46A3	283537	solute carrier family 46 member 3	protein_coding	165.5171	7.370845179329422	3.2295	0.4981	3.296	287.0	8.314	99.9	OVER
ENSG00000109445	ZNF330	27309	zinc finger protein 330	protein_coding	394.2576	8.622998414776639	5.1122	0.423	5.118	287.0	8.3	99.9	OVER
ENSG00000165731	RET	5979	ret proto-oncogene	protein_coding	60.9655	5.929944820189917	-1.6063	0.9289	-1.595	287.0	8.113	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0405	-4.5907448533151625	-9.8885	0.6541	-9.966	287.0	8.099	99.9	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	59.2955	5.889875046510874	3.1803	0.3367	3.199	287.0	8.047	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	0.2531	-1.9765317194960947	-9.7475	0.9772	-9.966	287.0	7.952	99.9	OVER
ENSG00000101457	DNTTIP1	116092	deoxynucleotidyltransferase terminal interacting protein 1	protein_coding	352.69	8.46226095118949	4.7232	0.4759	4.784	287.0	7.857	99.9	OVER
ENSG00000162482	AKR7A3	22977	aldo-keto reductase family 7 member A3	protein_coding	141.2055	7.141662689870575	-0.2963	0.9642	-0.3022	287.0	7.714	99.9	OVER
ENSG00000229637	PRAC2	360205	PRAC2 small nuclear protein	protein_coding	2.6469	1.4048486386752366	-9.6655	1.4451	-9.966	287.0	7.661	99.9	OVER
ENSG00000177504	VCX2	51480	variable charge X-linked 2	protein_coding	0.3464	-1.5253303408390566	-9.7831	1.0856	-9.966	287.0	7.607	99.9	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	182.6347	7.512824987839682	0.6538	0.9122	0.6425	287.0	7.519	99.9	OVER
ENSG00000109586	GALNT7	51809	polypeptide N-acetylgalactosaminyltransferase 7	protein_coding	73.8013	6.20559387251299	2.5235	0.4915	2.592	287.0	7.492	99.9	OVER
ENSG00000164638	SLC29A4	222962	solute carrier family 29 member 4	protein_coding	158.9088	7.312064288504155	-0.1041	1.0157	-0.1031	287.0	7.302	99.8	OVER
ENSG00000214336	FOXI3	344167	forkhead box I3	protein_coding	18.2525	4.190101213593049	-9.1158	1.8231	-9.966	287.0	7.299	99.8	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	662.5786	9.3719499750954	6.4366	0.4079	6.482	287.0	7.196	99.8	OVER
ENSG00000101210	EEF1A2	1917	eukaryotic translation elongation factor 1 alpha 2	protein_coding	319.4632	8.319510457797422	-0.057	1.1645	-0.0725	287.0	7.193	99.8	OVER
ENSG00000182968	SOX1	6656	SRY-box transcription factor 1	protein_coding	1.1976	0.2613502790209806	-9.4664	1.379	-9.966	287.0	7.054	99.8	OVER
ENSG00000108679	LGALS3BP	3959	galectin 3 binding protein	protein_coding	2633.0234	11.362505175433032	7.7432	0.515	7.815	287.0	7.028	99.8	OVER
ENSG00000105438	KDELR1	10945	KDEL endoplasmic reticulum protein retention receptor 1	protein_coding	476.2178	8.895480765719789	6.8414	0.2969	6.869	287.0	6.918	99.8	OVER
ENSG00000204511	MCCD1	401250	mitochondrial coiled-coil domain 1	protein_coding	10.4715	3.3885339790917985	-9.3042	1.846	-9.966	287.0	6.876	99.8	OVER
ENSG00000253368	TRNP1	388610	TMF1 regulated nuclear protein 1	protein_coding	278.339	8.120704441796267	3.2143	0.7146	3.321	287.0	6.866	99.8	OVER
ENSG00000101193	GID8	54994	GID complex subunit 8 homolog	protein_coding	73.3182	6.196119139325863	3.8782	0.3377	3.922	287.0	6.864	99.8	OVER
ENSG00000125901	MRPS26	64949	mitochondrial ribosomal protein S26	protein_coding	465.7393	8.863381912161984	4.8866	0.5899	5.019	287.0	6.741	99.8	OVER
ENSG00000163527	STT3B	201595	STT3 oligosaccharyltransferase complex catalytic subunit B	protein_coding	220.3886	7.783912335723571	5.5507	0.3332	5.556	287.0	6.702	99.8	OVER
ENSG00000189056	RELN	5649	reelin	protein_coding	131.2654	7.036353869472301	0.5113	0.9761	0.5763	287.0	6.685	99.8	OVER
