ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4021	-1.3107903116983697	-9.9408	0.4273	-9.966	287.0	20.197	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.06	-4.035046947099201	-9.9462	0.3349	-9.966	287.0	17.651	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0227	-5.39896913065119	-9.9507	0.2593	-9.966	287.0	17.554	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.0915	-3.434402824145775	-9.9439	0.3742	-9.966	287.0	17.396	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	6.7109	2.7467212213530026	-9.8805	0.8416	-9.966	287.0	15.004	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.6823	-0.5494089680748112	-9.8885	0.6541	-9.966	287.0	14.278	100.0	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.145	-2.77595972578207	-9.9187	0.567	-9.966	287.0	12.597	100.0	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	297.9145	8.21875937610605	2.9104	0.4736	2.917	287.0	11.209	100.0	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	9.8086	3.294194309759318	-9.7749	1.215	-9.966	287.0	10.756	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0196	-5.601211852366231	-9.9408	0.4273	-9.966	287.0	10.156	100.0	OVER
