ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0388	-4.651087759005801	-9.9507	0.2593	-9.966	287.0	20.438	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.9352	-0.09511132983749522	-9.9162	0.4864	-9.966	287.0	20.191	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.15	-2.727379545337008	-9.9433	0.3842	-9.966	287.0	18.782	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1718	-2.532824877385981	-9.9408	0.4273	-9.966	287.0	17.337	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0513	-4.257045243302508	-9.9462	0.3349	-9.966	287.0	16.988	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	11.3001	3.4983913000329894	-9.8805	0.8416	-9.966	287.0	15.897	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.1007	-3.297608415691949	-9.9408	0.4273	-9.966	287.0	15.547	100.0	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	75.7657	6.243492007918842	2.6615	0.2775	2.678	287.0	12.908	100.0	OVER
ENSG00000054796	SPO11	23626	SPO11 initiator of meiotic double strand breaks	protein_coding	0.0323	-4.908334012478187	-9.9276	0.4598	-9.966	287.0	10.916	100.0	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	779.1648	9.60578654423139	3.5934	0.5726	3.541	287.0	10.5	100.0	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0699	-3.8180705623099334	-9.905	0.5987	-9.966	287.0	10.167	99.9	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	163.6407	7.354396619700893	3.1724	0.4162	3.227	287.0	10.048	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.3556	-1.4876213919244543	-9.8007	0.8388	-9.966	287.0	9.911	99.9	OVER
ENSG00000101193	GID8	54994	GID complex subunit 8 homolog	protein_coding	146.783	7.197550907419874	3.8782	0.3377	3.922	287.0	9.829	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.076	-3.6989977439671855	-9.8885	0.6541	-9.966	287.0	9.463	99.9	OVER
ENSG00000175073	VCPIP1	80124	valosin containing protein interacting protein 1	protein_coding	39.8778	5.317550092885853	1.7101	0.3841	1.723	287.0	9.392	99.9	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.0287	-5.073393258748683	-9.9351	0.5242	-9.966	287.0	9.275	99.9	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.0513	-4.257045243302508	-9.9034	0.6108	-9.966	287.0	9.244	99.9	OVER
ENSG00000101166	PRELID3B	51012	PRELI domain containing 3B	protein_coding	342.4911	8.41992690070258	4.502	0.4408	4.51	287.0	8.888	99.9	OVER
ENSG00000169894	MUC3A	4584	mucin 3A, cell surface associated	protein_coding	479.1123	8.904223052457546	0.1452	0.9987	0.2029	287.0	8.77	99.9	OVER
ENSG00000101152	DNAJC5	80331	DnaJ heat shock protein family (Hsp40) member C5	protein_coding	298.4183	8.221197033390249	4.698	0.4056	4.758	287.0	8.686	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	132.57	7.050621409177599	0.3222	0.7761	0.4125	287.0	8.67	99.9	OVER
ENSG00000101577	LPIN2	9663	lipin 2	protein_coding	178.5745	7.480390350563798	4.0786	0.3925	4.074	287.0	8.667	99.9	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	358.9026	8.487452584024004	5.5015	0.3448	5.526	287.0	8.66	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.0822	-3.5872726614083574	-9.8795	0.7304	-9.966	287.0	8.615	99.9	OVER
ENSG00000104343	UBE2W	55284	ubiquitin conjugating enzyme E2 W	protein_coding	106.7619	6.738266588816058	3.0764	0.4362	3.05	287.0	8.395	99.9	OVER
ENSG00000101213	PTK6	5753	protein tyrosine kinase 6	protein_coding	179.6352	7.488934298750895	1.2556	0.7439	1.373	287.0	8.379	99.9	OVER
ENSG00000185015	CA13	377677	carbonic anhydrase 13	protein_coding	68.2637	6.093067841777461	1.7986	0.5161	1.812	287.0	8.321	99.9	OVER
ENSG00000170881	RNF139	11236	ring finger protein 139	protein_coding	150.7094	7.235635165507578	3.9291	0.3986	3.989	287.0	8.295	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.1447	-2.7789272174849367	-9.7845	0.8461	-9.966	287.0	8.28	99.8	OVER
ENSG00000149679	CABLES2	81928	Cdk5 and Abl enzyme substrate 2	protein_coding	37.2144	5.217827837352769	1.6027	0.4377	1.623	287.0	8.259	99.8	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.3135	-1.6688680777827978	-9.8209	0.9975	-9.966	287.0	8.172	99.8	OVER
ENSG00000109586	GALNT7	51809	polypeptide N-acetylgalactosaminyltransferase 7	protein_coding	92.6553	6.533817167953245	2.5235	0.4915	2.592	287.0	8.159	99.8	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	60.5039	5.918980078918267	3.1803	0.3367	3.199	287.0	8.134	99.8	OVER
ENSG00000155100	OTUD6B	51633	OTU deubiquitinase 6B	protein_coding	42.1224	5.396549983415594	2.173	0.3971	2.199	287.0	8.118	99.8	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	264.5893	8.047616362508437	0.6538	0.9122	0.6425	287.0	8.105	99.8	OVER
ENSG00000149658	YTHDF1	54915	YTH N6-methyladenosine RNA binding protein F1	protein_coding	229.3334	7.8413089641748295	4.6444	0.401	4.653	287.0	7.972	99.8	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	84.6646	6.403704010250961	3.3747	0.3823	3.377	287.0	7.923	99.8	OVER
ENSG00000067167	TRAM1	23471	translocation associated membrane protein 1	protein_coding	1650.9238	10.689058691322753	6.5283	0.5275	6.493	287.0	7.888	99.8	OVER
ENSG00000264364	DYNLL2	140735	dynein light chain LC8-type 2	protein_coding	127.2529	6.991566061591921	4.2313	0.3521	4.264	287.0	7.839	99.8	OVER
ENSG00000040341	STAU2	27067	staufen double-stranded RNA binding protein 2	protein_coding	124.0143	6.954374309358339	3.9433	0.3846	3.922	287.0	7.829	99.8	OVER
ENSG00000165156	ZHX1	11244	zinc fingers and homeoboxes 1	protein_coding	103.5611	6.694352314942579	3.6088	0.3947	3.608	287.0	7.817	99.8	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	233.4176	7.866775716795098	0.9907	0.887	1.112	287.0	7.752	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	2.0238	1.0177794125612347	-9.5576	1.3755	-9.966	287.0	7.688	99.8	OVER
