ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0726	-3.7641504234924366	-9.9507	0.2593	-9.966	287.0	23.859	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	2.3319	1.2221244673752163	-9.9162	0.4864	-9.966	287.0	22.9	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.1474	-2.7524370029286462	-9.9453	0.3501	-9.966	287.0	20.545	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	1.3591	0.44371272809349915	-9.9357	0.5125	-9.966	287.0	20.253	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1752	-2.5047141706290357	-9.9408	0.4273	-9.966	287.0	17.402	100.0	OVER
ENSG00000188324	OR6C6	283365	olfactory receptor family 6 subfamily C member 6	protein_coding	0.0483	-4.342268543171538	-9.9462	0.3349	-9.966	287.0	16.733	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.4741	-1.0736968881386055	-9.8885	0.6541	-9.966	287.0	13.476	100.0	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	45.1165	5.495615223849099	-9.7132	1.1408	-9.966	287.0	13.332	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.1238	-3.002310160687201	-9.9036	0.5342	-9.966	287.0	12.919	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.472	0.558757430373762	-9.8805	0.8416	-9.966	287.0	12.404	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.1401	-2.825210106952185	-9.8895	0.5756	-9.966	287.0	12.273	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	3.7498	1.907198337725916	-9.7475	0.9772	-9.966	287.0	11.927	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.1149	-3.1090475285429777	-9.9063	0.5927	-9.966	287.0	11.468	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	14.5338	3.8614393148999833	-9.7749	1.215	-9.966	287.0	11.223	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	5.5128	2.463046937960881	-9.8303	1.1477	-9.966	287.0	10.711	99.9	OVER
ENSG00000233701	PRR23C	389152	proline rich 23C	protein_coding	0.0263	-5.194955238629597	-9.9201	0.4475	-9.966	287.0	10.559	99.9	OVER
ENSG00000112238	PRDM13	59336	PR/SET domain 13	protein_coding	4.5187	2.176227015367008	-9.6705	1.1241	-9.966	287.0	10.539	99.9	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.1604	-2.6312875162716693	-9.884	0.6921	-9.966	287.0	10.479	99.9	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.0356	-4.772012541265407	-9.923	0.5154	-9.966	287.0	9.994	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	207.3431	7.695883185550822	4.2061	0.3668	4.212	287.0	9.514	99.9	OVER
ENSG00000113583	C5orf15	56951	chromosome 5 open reading frame 15	protein_coding	442.3143	8.78893133671931	4.7684	0.423	4.801	287.0	9.505	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	2.9864	1.5788904212377561	-9.6296	1.2076	-9.966	287.0	9.282	99.9	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	139.0824	7.1198064301667605	3.4078	0.4011	3.416	287.0	9.255	99.9	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.0429	-4.5096352500140915	-9.9055	0.5914	-9.966	287.0	9.124	99.9	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	116.3109	6.861854897873168	3.3747	0.3823	3.377	287.0	9.122	99.9	OVER
ENSG00000124767	GLO1	2739	glyoxalase I	protein_coding	702.6824	9.456731006906912	5.7223	0.4165	5.761	287.0	8.966	99.9	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	14.2088	3.8288143439762377	-9.5635	1.498	-9.966	287.0	8.94	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	120.8588	6.917190649540808	3.8348	0.3454	3.88	287.0	8.924	99.9	OVER
ENSG00000204703	OR2B3	442184	olfactory receptor family 2 subfamily B member 3	protein_coding	0.0664	-3.891107598367591	-9.8864	0.6718	-9.966	287.0	8.924	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	120.7019	6.915316528380982	3.0556	0.4353	3.052	287.0	8.867	99.8	OVER
ENSG00000137364	TPMT	7172	thiopurine S-methyltransferase	protein_coding	87.7032	6.4545740273416845	2.7065	0.4261	2.727	287.0	8.796	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	36.4351	5.187296640971061	1.5417	0.421	1.566	287.0	8.659	99.8	OVER
ENSG00000172379	ARNT2	9915	aryl hydrocarbon receptor nuclear translocator 2	protein_coding	161.2064	7.332774160056652	1.4417	0.6811	1.444	287.0	8.649	99.8	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	0.1213	-3.0315036910220625	-9.872	0.7923	-9.966	287.0	8.634	99.8	OVER
ENSG00000096401	CDC5L	988	cell division cycle 5 like	protein_coding	74.7183	6.223409034259628	2.7367	0.4075	2.814	287.0	8.556	99.8	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	15.9143	3.992342446610368	-9.2982	1.5632	-9.966	287.0	8.502	99.8	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	77.5036	6.276210033664492	3.4319	0.3368	3.446	287.0	8.445	99.8	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.3894	-1.356975041986563	-9.7497	1.0005	-9.966	287.0	8.389	99.8	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.5645	-0.8224010706722665	-9.8093	1.0747	-9.966	287.0	8.362	99.8	OVER
ENSG00000181961	OR4A16	81327	olfactory receptor family 4 subfamily A member 16	protein_coding	0.1358	-2.8698598646635514	-9.842	0.8525	-9.966	287.0	8.178	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	3.1176	1.6408985206429527	-9.5576	1.3755	-9.966	287.0	8.141	99.8	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	92.2723	6.5278413480663255	3.1724	0.4162	3.227	287.0	8.062	99.8	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0294	-5.0397848661058635	-9.9039	0.6087	-9.966	287.0	7.991	99.8	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	102.777	6.683387673298619	2.9104	0.4736	2.917	287.0	7.967	99.8	OVER
ENSG00000119314	PTBP3	9991	polypyrimidine tract binding protein 3	protein_coding	142.7958	7.157819839478863	3.9673	0.4014	3.977	287.0	7.948	99.8	OVER
ENSG00000204700	OR2J2	26707	olfactory receptor family 2 subfamily J member 2	protein_coding	0.0542	-4.1791879227712805	-9.871	0.7163	-9.966	287.0	7.946	99.8	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.0501	-4.290532898611828	-9.8727	0.7042	-9.966	287.0	7.927	99.8	OVER
ENSG00000100473	COCH	1690	cochlin	protein_coding	70.8042	6.145783411957336	-0.4909	0.8376	-0.5125	287.0	7.923	99.8	OVER
ENSG00000237521	OR7E24	26648	olfactory receptor family 7 subfamily E member 24	protein_coding	0.0785	-3.6529013293777317	-9.8429	0.7815	-9.966	287.0	7.921	99.7	OVER
ENSG00000264364	DYNLL2	140735	dynein light chain LC8-type 2	protein_coding	129.0327	7.011604096302213	4.2313	0.3521	4.264	287.0	7.896	99.7	OVER
ENSG00000163950	SLBP	7884	stem-loop histone mRNA binding protein	protein_coding	258.5772	8.014456840492821	4.8676	0.4008	4.884	287.0	7.851	99.7	OVER
ENSG00000038210	PI4K2B	55300	phosphatidylinositol 4-kinase type 2 beta	protein_coding	90.3577	6.497591609564302	3.1032	0.4341	3.123	287.0	7.819	99.7	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	0.903	-0.1456053222468993	-9.709	1.2335	-9.966	287.0	7.753	99.7	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0141	-6.04930764022437	-9.8937	0.4959	-9.966	287.0	7.752	99.7	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	0.3089	-1.6901253399632337	-9.7503	1.0434	-9.966	287.0	7.725	99.7	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.2845	-1.8084373492992445	-9.8146	1.0421	-9.966	287.0	7.683	99.7	OVER
ENSG00000180233	ZNRF2	223082	zinc and ring finger 2	protein_coding	35.0449	5.131173768919172	2.2056	0.3836	2.233	287.0	7.627	99.7	OVER
ENSG00000132182	NUP210	23225	nucleoporin 210	protein_coding	114.1724	6.835082762033235	2.8785	0.5232	2.884	287.0	7.562	99.7	OVER
ENSG00000144746	ARL6IP5	10550	ADP ribosylation factor like GTPase 6 interacting protein 5	protein_coding	662.0277	9.370749951293874	6.3597	0.4001	6.41	287.0	7.526	99.7	OVER
