ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.2187	-2.186393225126173	-9.9453	0.3501	-9.966	287.0	22.162	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.6195	-0.6884968845317303	-9.9408	0.4273	-9.966	287.0	21.653	100.0	OVER
ENSG00000228567	VN1R4	317703	vomeronasal 1 receptor 4	protein_coding	0.0768	-3.684086034563258	-9.9462	0.3349	-9.966	287.0	18.698	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0701	-3.8140066299300344	-9.9462	0.3349	-9.966	287.0	18.311	100.0	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.3568	-1.4827747074975413	-9.9259	0.4806	-9.966	287.0	17.568	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	1.1145	0.15769051358205344	-9.8895	0.5756	-9.966	287.0	17.455	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0495	-4.307572801910292	-9.9453	0.3501	-9.966	287.0	16.103	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.5895	-0.7599910352649297	-9.8885	0.6541	-9.966	287.0	13.956	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	2.874	1.5235619560570128	-9.8007	0.8388	-9.966	287.0	13.501	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.8996	-0.15104161720760487	-9.8795	0.7304	-9.966	287.0	13.319	100.0	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.2874	-1.793856930308627	-9.8422	0.6548	-9.966	287.0	12.291	99.9	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.097	-3.3510744405468786	-9.9036	0.5342	-9.966	287.0	12.266	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	4.9317	2.3023775472810355	-9.8209	0.9975	-9.966	287.0	12.154	99.9	OVER
ENSG00000275663	H4C7	8369	H4 clustered histone 7	protein_coding	0.2086	-2.254289378011999	-9.9088	0.6848	-9.966	287.0	11.178	99.9	OVER
ENSG00000124227	ANKRD60	140731	ankyrin repeat domain 60	protein_coding	0.1551	-2.6794575575715407	-9.8862	0.6727	-9.966	287.0	10.713	99.9	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.0365	-4.7369655941662066	-9.9162	0.4864	-9.966	287.0	10.648	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	8.4337	3.0763367565734097	-9.7749	1.215	-9.966	287.0	10.577	99.9	OVER
