ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.2778	-1.8426975336810263	-9.9402	0.4379	-9.966	287.0	18.492	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.3588	-1.4747329082979672	-9.9162	0.4864	-9.966	287.0	17.355	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1678	-2.566613190842264	-9.9408	0.4273	-9.966	287.0	17.258	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.1207	-3.038598926835721	-9.9415	0.4152	-9.966	287.0	16.625	100.0	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.7268	-0.4583860437077829	-9.9005	0.639	-9.966	287.0	14.776	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0451	-4.439089439120111	-9.9408	0.4273	-9.966	287.0	12.876	100.0	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	0.2661	-1.9045481189143394	-9.9132	0.6361	-9.966	287.0	12.59	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0607	-4.018585700400031	-9.8937	0.4959	-9.966	287.0	11.847	100.0	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.2113	-2.2358237236440717	-9.8891	0.648	-9.966	287.0	11.811	100.0	OVER
ENSG00000249156	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12	protein_coding	0.1453	-2.7729983254109625	-9.9145	0.6167	-9.966	287.0	11.58	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.6077	-0.7161967290716342	-9.8007	0.8388	-9.966	287.0	10.83	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.453	-1.139235797371172	-9.8805	0.8416	-9.966	287.0	10.386	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0421	-4.536168320460352	-9.9225	0.5205	-9.966	287.0	10.348	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	313.2788	8.291307938802731	0.3222	0.7761	0.4125	287.0	10.268	99.9	OVER
ENSG00000215262	KCNU1	157855	potassium calcium-activated channel subfamily U member 1	protein_coding	18.8932	4.239871529575925	-9.4794	1.3395	-9.966	287.0	10.242	99.9	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	1.8648	0.8997943482088291	-9.7782	1.0515	-9.966	287.0	10.155	99.9	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	0.1078	-3.20024953829911	-9.873	0.7006	-9.966	287.0	9.524	99.9	OVER
ENSG00000086619	ERO1B	56605	endoplasmic reticulum oxidoreductase 1 beta	protein_coding	144.6712	7.17664391209126	2.3814	0.504	2.404	287.0	9.514	99.9	OVER
