ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.4421	-1.174295768063504	-9.9453	0.3501	-9.966	287.0	25.053	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.1045	-3.244685095954902	-9.9462	0.3349	-9.966	287.0	20.01	100.0	OVER
ENSG00000176774	MAGEB18	286514	MAGE family member B18	protein_coding	0.0331	-4.874084450525277	-9.9487	0.2924	-9.966	287.0	17.355	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.138	-2.8468432119385794	-9.9309	0.4228	-9.966	287.0	16.755	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1432	-2.793856930308627	-9.9408	0.4273	-9.966	287.0	16.726	100.0	OVER
ENSG00000112462	OR12D3	81797	olfactory receptor family 12 subfamily D member 3	protein_coding	0.0642	-3.938984225318372	-9.9354	0.366	-9.966	287.0	16.384	100.0	OVER
ENSG00000135413	LACRT	90070	lacritin	protein_coding	0.068	-3.857259827883918	-9.9423	0.4011	-9.966	287.0	15.171	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	2.2614	1.1778540252599494	-9.8795	0.7304	-9.966	287.0	15.139	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	6.1859	2.6292167155953177	-9.8805	0.8416	-9.966	287.0	14.864	100.0	OVER
ENSG00000205884	DEFB136	613210	defensin beta 136	protein_coding	0.5061	-0.9796578204828141	-9.9296	0.617	-9.966	287.0	14.506	100.0	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.1745	-2.5104570643575266	-9.923	0.5154	-9.966	287.0	14.382	99.9	OVER
ENSG00000181927	OR4P4	81300	olfactory receptor family 4 subfamily P member 4	protein_coding	0.0287	-5.073393258748683	-9.9453	0.3501	-9.966	287.0	13.916	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	2.865	1.5190386096000588	-9.8007	0.8388	-9.966	287.0	13.495	99.9	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0513	-4.257045243302508	-9.9408	0.4273	-9.966	287.0	13.302	99.9	OVER
ENSG00000205883	DEFB135	613209	defensin beta 135	protein_coding	0.2563	-1.9584766378156495	-9.9306	0.5995	-9.966	287.0	13.298	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0198	-5.587272661408357	-9.9462	0.3349	-9.966	287.0	13.016	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0725	-3.7661119398257226	-9.9259	0.4806	-9.966	287.0	12.817	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.253	-1.977099597889921	-9.8875	0.6628	-9.966	287.0	11.935	99.9	OVER
ENSG00000125533	BHLHE23	128408	basic helix-loop-helix family member e23	protein_coding	0.0541	-4.181803870978292	-9.9248	0.493	-9.966	287.0	11.649	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	201.5301	7.654858680406995	3.8348	0.3454	3.88	287.0	11.06	99.9	OVER
ENSG00000054796	SPO11	23626	SPO11 initiator of meiotic double strand breaks	protein_coding	0.0329	-4.882570916413106	-9.9276	0.4598	-9.966	287.0	10.972	99.9	OVER
ENSG00000064419	TNPO3	23534	transportin 3	protein_coding	137.4939	7.103234296549006	3.7777	0.3035	3.793	287.0	10.957	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.089	-3.473931188332412	-9.905	0.5987	-9.966	287.0	10.742	99.9	OVER
ENSG00000172324	OR5A2	219981	olfactory receptor family 5 subfamily A member 2	protein_coding	0.0381	-4.676687582242097	-9.9248	0.493	-9.966	287.0	10.645	99.9	OVER
ENSG00000173302	GPR148	344561	G protein-coupled receptor 148	protein_coding	0.3786	-1.39744810252834	-9.8498	0.8006	-9.966	287.0	10.558	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0631	-3.963531832930708	-9.9187	0.567	-9.966	287.0	10.503	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.4673	-1.0944950568503844	-9.8339	0.8384	-9.966	287.0	10.424	99.9	OVER
ENSG00000196350	ZNF729	100287226	zinc finger protein 729	protein_coding	2.7145	1.4412178632621138	-9.6555	1.0679	-9.966	287.0	10.391	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	3.9416	1.9791473479579416	-9.8303	1.1477	-9.966	287.0	10.29	99.9	OVER
ENSG00000223614	ZNF735	730291	zinc finger protein 735	protein_coding	0.0382	-4.673002535434241	-9.9134	0.5152	-9.966	287.0	10.172	99.8	OVER
ENSG00000076716	GPC4	2239	glypican 4	protein_coding	1292.4111	10.335850447441045	4.0168	0.6237	4.081	287.0	10.132	99.8	OVER
ENSG00000176246	OR4L1	122742	olfactory receptor family 4 subfamily L member 1	protein_coding	0.0639	-3.9456377115503107	-9.9049	0.5956	-9.966	287.0	10.005	99.8	OVER
ENSG00000073711	PPP2R3A	5523	protein phosphatase 2 regulatory subunit B''alpha	protein_coding	47.0196	5.55522104331049	1.0325	0.4575	1.064	287.0	9.886	99.8	OVER
ENSG00000189348	FAM90A27P	646508	family with sequence similarity 90 member A27, pseudogene	protein_coding	1.7804	0.8330114991583621	-9.7848	1.0828	-9.966	287.0	9.806	99.8	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	4.9638	2.3117356019792696	-9.709	1.2335	-9.966	287.0	9.745	99.8	OVER
ENSG00000197532	OR6Y1	391112	olfactory receptor family 6 subfamily Y member 1	protein_coding	0.0117	-6.299027692777283	-9.9439	0.3742	-9.966	287.0	9.74	99.8	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.2149	-2.211564851526944	-9.8844	0.7965	-9.966	287.0	9.633	99.8	OVER
ENSG00000181965	NEUROG1	4762	neurogenin 1	protein_coding	0.0713	-3.7898605425983316	-9.8907	0.6355	-9.966	287.0	9.6	99.8	OVER
ENSG00000100341	PNPLA5	150379	patatin like phospholipase domain containing 5	protein_coding	31.8229	4.9920387428090764	-9.4555	1.5167	-9.966	287.0	9.526	99.8	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.0293	-5.044538396076498	-9.9351	0.5242	-9.966	287.0	9.33	99.8	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.0412	-4.566613190842264	-9.8975	0.5786	-9.966	287.0	9.213	99.8	OVER
ENSG00000180233	ZNRF2	223082	zinc and ring finger 2	protein_coding	52.6376	5.718049213901314	2.2056	0.3836	2.233	287.0	9.157	99.8	OVER
ENSG00000255223	OR5M11	219487	olfactory receptor family 5 subfamily M member 11	protein_coding	0.5291	-0.9156635542766762	-9.8017	0.9735	-9.966	287.0	9.128	99.8	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.023	-5.380821783940931	-9.8937	0.4959	-9.966	287.0	9.1	99.8	OVER
ENSG00000105887	MTPN	136319	myotrophin	protein_coding	451.0952	8.817291322730137	5.5547	0.3599	5.565	287.0	9.065	99.8	OVER
ENSG00000158158	CNNM4	26504	cyclin and CBS domain divalent metal cation transport mediator 4	protein_coding	145.7488	7.187350093514691	2.8361	0.4811	2.832	287.0	9.044	99.8	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	2.0198	1.0149265442381028	-9.6021	1.1741	-9.966	287.0	9.043	99.8	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	3.0774	1.6221807042205925	-9.619	1.2528	-9.966	287.0	8.973	99.8	OVER
ENSG00000204612	FOXB2	442425	forkhead box B2	protein_coding	0.0462	-4.405069330187608	-9.893	0.6158	-9.966	287.0	8.912	99.7	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	38.7766	5.2771516106774925	1.5417	0.421	1.566	287.0	8.873	99.7	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.4791	-1.058593158890855	-9.8209	0.9975	-9.966	287.0	8.784	99.7	OVER
ENSG00000128607	KLHDC10	23008	kelch domain containing 10	protein_coding	110.5084	6.7880252811706185	3.4309	0.3829	3.475	287.0	8.768	99.7	OVER
ENSG00000254004	ZNF260	339324	zinc finger protein 260	protein_coding	54.5324	5.769068201018022	1.5588	0.4816	1.581	287.0	8.742	99.7	OVER
ENSG00000096696	DSP	1832	desmoplakin	protein_coding	490.8245	8.939066393477821	2.2317	0.7675	2.281	287.0	8.739	99.7	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.1142	-3.117787378107137	-9.8634	0.7734	-9.966	287.0	8.722	99.7	OVER
ENSG00000181896	ZNF101	94039	zinc finger protein 101	protein_coding	67.0897	6.068040891212036	2.1728	0.4484	2.186	287.0	8.687	99.7	OVER
ENSG00000213965	NUDT19	390916	nudix hydrolase 19	protein_coding	138.8551	7.117446746452141	2.2393	0.5639	2.39	287.0	8.651	99.7	OVER
ENSG00000143320	CRABP2	1382	cellular retinoic acid binding protein 2	protein_coding	5233.8811	12.353665710832312	2.1308	1.1849	1.997	287.0	8.628	99.7	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.4597	-1.1181004969452384	-9.7497	1.0005	-9.966	287.0	8.627	99.7	OVER
ENSG00000204703	OR2B3	442184	olfactory receptor family 2 subfamily B member 3	protein_coding	0.0542	-4.1791879227712805	-9.8864	0.6718	-9.966	287.0	8.495	99.7	OVER
ENSG00000188909	BSX	390259	brain specific homeobox	protein_coding	0.4447	-1.165855133936795	-9.7935	1.0208	-9.966	287.0	8.452	99.7	OVER
ENSG00000175893	ZDHHC21	340481	zinc finger DHHC-type palmitoyltransferase 21	protein_coding	82.1939	6.360976975741168	2.5186	0.456	2.529	287.0	8.426	99.7	OVER
ENSG00000175766	EIF4E1B	253314	eukaryotic translation initiation factor 4E family member 1B	protein_coding	24.7633	4.630189936501665	-9.455	1.6995	-9.966	287.0	8.288	99.7	OVER
ENSG00000256229	ZNF486	90649	zinc finger protein 486	protein_coding	40.3064	5.33297282106614	0.8526	0.5448	0.8726	287.0	8.224	99.7	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0252	-5.2542893780119995	-9.908	0.566	-9.966	287.0	8.222	99.7	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.1084	-3.1923153567568927	-9.8689	0.8183	-9.966	287.0	8.159	99.7	OVER
ENSG00000186103	ARGFX	503582	arginine-fifty homeobox	protein_coding	0.0356	-4.772012541265407	-9.9016	0.629	-9.966	287.0	8.155	99.7	OVER
ENSG00000172457	OR9G4	283189	olfactory receptor family 9 subfamily G member 4	protein_coding	0.046	-4.411195432984449	-9.886	0.6739	-9.966	287.0	8.124	99.7	OVER
ENSG00000171475	WIPF2	147179	WAS/WASL interacting protein family member 2	protein_coding	137.2859	7.1010501589837105	3.3671	0.4638	3.422	287.0	8.051	99.6	OVER
ENSG00000131480	AOC2	314	amine oxidase copper containing 2	protein_coding	61.7381	5.94811254714716	1.172	0.5956	1.19	287.0	8.019	99.6	OVER
ENSG00000268696	ZNF723	646864	zinc finger protein 723	protein_coding	3.7942	1.9241759149965543	-9.4828	1.4348	-9.966	287.0	7.95	99.6	OVER
