ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.8699	-0.19942102220163152	-9.9408	0.4273	-9.966	287.0	22.798	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.053	-4.210896782498619	-9.9453	0.3501	-9.966	287.0	16.379	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0859	-3.524500012735049	-9.9315	0.4128	-9.966	287.0	15.521	100.0	OVER
ENSG00000123576	ESX1	80712	ESX homeobox 1	protein_coding	11.6969	3.548177656190834	-9.8159	0.8945	-9.966	287.0	14.94	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0226	-5.405069330187608	-9.9462	0.3349	-9.966	287.0	13.56	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.7402	1.4548075921118497	-9.8805	0.8416	-9.966	287.0	13.469	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	0.8377	-0.2537732388230622	-9.8236	0.7189	-9.966	287.0	13.312	100.0	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	2.4656	1.302523777735644	-9.7933	0.8383	-9.966	287.0	13.236	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.039	-4.643856189774724	-9.9408	0.4273	-9.966	287.0	12.396	100.0	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	795.407	9.63555126223	0.3222	0.7761	0.4125	287.0	12.0	100.0	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	21.6997	4.4396696753562175	-9.709	1.2335	-9.966	287.0	11.47	99.9	OVER
ENSG00000140564	FURIN	5045	furin, paired basic amino acid cleaving enzyme	protein_coding	5595.1161	12.449952610291176	6.0498	0.6154	6.097	287.0	10.4	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0364	-4.740817919661812	-9.9225	0.5205	-9.966	287.0	9.955	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.2283	-2.124691739968656	-9.8195	0.7757	-9.966	287.0	9.92	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.2448	-2.024443179176788	-9.8844	0.7965	-9.966	287.0	9.868	99.9	OVER
ENSG00000075388	FGF4	2249	fibroblast growth factor 4	protein_coding	4.0143	2.0055077816014664	-9.6226	1.1849	-9.966	287.0	9.814	99.9	OVER
ENSG00000084733	RAB10	10890	RAB10, member RAS oncogene family	protein_coding	680.5762	9.410615010196206	5.2674	0.4375	5.237	287.0	9.47	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.9242	0.9450083284154228	-9.8303	1.1477	-9.966	287.0	9.389	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	200.5094	7.647533257573658	4.2061	0.3668	4.212	287.0	9.382	99.9	OVER
ENSG00000102038	SMARCA1	6594	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein_coding	259.3297	8.018649194716593	3.8804	0.4421	3.881	287.0	9.36	99.9	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	161.3112	7.333711743047617	2.9104	0.4736	2.917	287.0	9.34	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.725	-0.4619585466663364	-9.8325	1.006	-9.966	287.0	9.315	99.9	OVER
ENSG00000137713	PPP2R1B	5519	protein phosphatase 2 scaffold subunit Abeta	protein_coding	151.0625	7.239011308052819	3.2527	0.4293	3.268	287.0	9.286	99.9	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	1.0509	0.07299755979994982	-9.8093	1.0747	-9.966	287.0	9.195	99.9	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.2251	-2.1449671027979202	-9.8007	0.8388	-9.966	287.0	9.127	99.9	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	65.7265	6.0384252068772595	2.3781	0.4186	2.368	287.0	8.744	99.9	OVER
ENSG00000166351	POTED	317754	POTE ankyrin domain family member D	protein_coding	0.0518	-4.243318260190996	-9.8797	0.6493	-9.966	287.0	8.681	99.9	OVER
ENSG00000253719	ATXN7L3B	552889	ataxin 7 like 3B	protein_coding	116.7964	6.867864348848339	3.5934	0.3777	3.632	287.0	8.669	99.9	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	413.1071	8.690375537829484	5.7393	0.3488	5.736	287.0	8.461	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.3416	0.4250295475262853	-9.7749	1.215	-9.966	287.0	8.395	99.8	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.3638	-1.4548223653847077	-9.8209	0.9975	-9.966	287.0	8.387	99.8	OVER
ENSG00000084754	HADHA	3030	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	protein_coding	542.585	9.083708012936073	6.2427	0.3397	6.252	287.0	8.363	99.8	OVER
ENSG00000096696	DSP	1832	desmoplakin	protein_coding	368.0127	8.523615664084629	2.2317	0.7675	2.281	287.0	8.198	99.8	OVER
ENSG00000130741	EIF2S3	1968	eukaryotic translation initiation factor 2 subunit gamma	protein_coding	383.7708	8.584104894286469	6.0195	0.3153	6.029	287.0	8.134	99.8	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	287.0135	8.164979813608326	3.5934	0.5726	3.541	287.0	7.984	99.8	OVER
ENSG00000124374	PAIP2B	400961	poly(A) binding protein interacting protein 2B	protein_coding	91.2076	6.5110979564747575	0.7498	0.7224	0.8647	287.0	7.975	99.8	OVER
ENSG00000067177	PHKA1	5255	phosphorylase kinase regulatory subunit alpha 1	protein_coding	29.3886	4.877233818560398	0.7943	0.5123	0.8488	287.0	7.97	99.8	OVER
ENSG00000138068	SULT6B1	391365	sulfotransferase family 6B member 1	protein_coding	0.1031	-3.2639580262500325	-9.8452	0.8308	-9.966	287.0	7.922	99.8	OVER
ENSG00000125788	DEFB126	81623	defensin beta 126	protein_coding	1.8887	0.9181572170570442	-9.6861	1.3458	-9.966	287.0	7.88	99.8	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0274	-5.137965260044767	-9.9039	0.6087	-9.966	287.0	7.83	99.8	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	93.3305	6.544292177292892	3.4078	0.4011	3.416	287.0	7.82	99.8	OVER
ENSG00000143970	ASXL2	55252	ASXL transcriptional regulator 2	protein_coding	38.5582	5.269003214712357	2.1164	0.4066	2.141	287.0	7.754	99.8	OVER
ENSG00000181192	DHTKD1	55526	dehydrogenase E1 and transketolase domain containing 1	protein_coding	190.8241	7.576107137134342	2.4489	0.6617	2.585	287.0	7.749	99.8	OVER
ENSG00000215262	KCNU1	157855	potassium calcium-activated channel subfamily U member 1	protein_coding	1.8257	0.869239718776284	-9.4794	1.3395	-9.966	287.0	7.726	99.8	OVER
ENSG00000157181	ODR4	54953	odr-4 GPCR localization factor homolog	protein_coding	81.3056	6.34530056158862	3.5822	0.358	3.58	287.0	7.718	99.8	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	79.8001	6.318336727971667	3.3747	0.3823	3.377	287.0	7.7	99.8	OVER
ENSG00000086232	EIF2AK1	27102	eukaryotic translation initiation factor 2 alpha kinase 1	protein_coding	259.7499	8.020984937646416	4.9965	0.3947	5.063	287.0	7.663	99.8	OVER
ENSG00000163053	SLC16A14	151473	solute carrier family 16 member 14	protein_coding	161.4631	7.335069620889882	0.6531	0.8742	0.7233	287.0	7.644	99.8	OVER
ENSG00000151033	LYZL2	119180	lysozyme like 2	protein_coding	5.6784	2.50573852431676	-9.5468	1.5819	-9.966	287.0	7.619	99.7	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.2648	-1.911586990273275	-9.8146	1.0421	-9.966	287.0	7.584	99.7	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0192	-5.629500896797655	-9.908	0.566	-9.966	287.0	7.559	99.7	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.0325	-4.899695094204315	-9.8422	0.6548	-9.966	287.0	7.548	99.7	OVER
ENSG00000101337	TM9SF4	9777	transmembrane 9 superfamily member 4	protein_coding	141.8899	7.1486382566513145	4.8545	0.3043	4.873	287.0	7.539	99.7	OVER
ENSG00000182827	ACBD3	64746	acyl-CoA binding domain containing 3	protein_coding	128.5083	7.005728958364178	4.1803	0.3793	4.184	287.0	7.449	99.7	OVER
ENSG00000120211	INSL4	3641	insulin like 4	protein_coding	174.1297	7.44402676860062	-8.7048	2.1865	-9.966	287.0	7.386	99.7	OVER
ENSG00000136193	SCRN1	9805	secernin 1	protein_coding	114.1857	6.835250811040618	3.6196	0.4388	3.675	287.0	7.328	99.7	OVER
ENSG00000169895	SYAP1	94056	synapse associated protein 1	protein_coding	82.2624	6.362178795485332	3.2997	0.4191	3.297	287.0	7.307	99.7	OVER
ENSG00000198732	SMOC1	64093	SPARC related modular calcium binding 1	protein_coding	57.7234	5.851109367277862	-0.7254	0.9015	-0.7346	287.0	7.295	99.7	OVER
ENSG00000181704	YIPF6	286451	Yip1 domain family member 6	protein_coding	76.5292	6.25795726481718	3.6149	0.3634	3.618	287.0	7.273	99.7	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.3602	0.444879056415559	-9.5576	1.3755	-9.966	287.0	7.272	99.7	OVER
ENSG00000145996	CDKAL1	54901	CDK5 regulatory subunit associated protein 1 like 1	protein_coding	26.688	4.738173345587607	2.4285	0.3199	2.449	287.0	7.22	99.7	OVER
ENSG00000162482	AKR7A3	22977	aldo-keto reductase family 7 member A3	protein_coding	100.4101	6.649774951391973	-0.2963	0.9642	-0.3022	287.0	7.204	99.7	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	23.3232	4.543755693613881	1.5417	0.421	1.566	287.0	7.131	99.7	OVER
ENSG00000068394	GPKOW	27238	G-patch domain and KOW motifs	protein_coding	105.8817	6.726323078792693	3.9202	0.3936	3.975	287.0	7.129	99.7	OVER
ENSG00000105438	KDELR1	10945	KDEL endoplasmic reticulum protein retention receptor 1	protein_coding	494.3511	8.949395150573036	6.8414	0.2969	6.869	287.0	7.1	99.7	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	57.3975	5.842941130205788	3.2377	0.367	3.254	287.0	7.099	99.7	OVER
ENSG00000179918	SEPHS2	22928	selenophosphate synthetase 2	protein_coding	514.9896	9.008402289144076	4.4498	0.6441	4.566	287.0	7.077	99.7	OVER
ENSG00000177732	SOX12	6666	SRY-box transcription factor 12	protein_coding	80.3174	6.327658624944761	1.8874	0.6306	1.941	287.0	7.041	99.7	OVER
ENSG00000177888	ZBTB41	360023	zinc finger and BTB domain containing 41	protein_coding	18.1179	4.179423466788267	1.3324	0.4056	1.34	287.0	7.019	99.6	OVER
ENSG00000170846	MRFAP1L2	93622	Morf4 family associated protein 1 like 2	protein_coding	57.3188	5.840961670650862	2.7709	0.4375	2.822	287.0	7.017	99.6	OVER
ENSG00000064419	TNPO3	23534	transportin 3	protein_coding	59.8353	5.902949063283272	3.7777	0.3035	3.793	287.0	7.002	99.6	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	616.8823	9.268853780550703	6.4366	0.4079	6.482	287.0	6.944	99.6	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	24.0324	4.586968855554745	2.6615	0.2775	2.678	287.0	6.939	99.6	OVER
ENSG00000205864	KRTAP5-6	440023	keratin associated protein 5-6	protein_coding	0.2435	-2.0320936297098533	-9.7902	1.1197	-9.966	287.0	6.929	99.6	OVER
ENSG00000204021	LIPK	643414	lipase family member K	protein_coding	0.6831	-0.5477208648652238	-9.6277	1.3151	-9.966	287.0	6.904	99.6	OVER
ENSG00000154174	TOMM70	9868	translocase of outer mitochondrial membrane 70	protein_coding	80.7645	6.335667254102371	3.7827	0.3709	3.782	287.0	6.883	99.6	OVER
ENSG00000125319	HROB	78995	homologous recombination factor with OB-fold	protein_coding	59.9657	5.906089677585509	-0.312	0.9053	-0.3022	287.0	6.869	99.6	OVER
ENSG00000147123	NDUFB11	54539	NADH:ubiquinone oxidoreductase subunit B11	protein_coding	512.1674	9.000474433398013	5.9835	0.4393	6.038	287.0	6.868	99.6	OVER
ENSG00000111371	SLC38A1	81539	solute carrier family 38 member 1	protein_coding	139.4127	7.123228529681864	3.4209	0.5403	3.433	287.0	6.852	99.6	OVER
ENSG00000203668	CHML	1122	CHM like Rab escort protein	protein_coding	28.6827	4.842159228667615	1.444	0.4973	1.455	287.0	6.833	99.6	OVER
ENSG00000138768	USO1	8615	USO1 vesicle transport factor	protein_coding	152.6992	7.254558141489182	4.7669	0.3656	4.781	287.0	6.804	99.6	OVER
ENSG00000100219	XBP1	7494	X-box binding protein 1	protein_coding	2612.4019	11.351161699542939	7.1579	0.6169	7.179	287.0	6.797	99.6	OVER
ENSG00000139324	TMTC3	160418	transmembrane O-mannosyltransferase targeting cadherins 3	protein_coding	21.5357	4.428725302134172	1.7328	0.3974	1.736	287.0	6.784	99.6	OVER
