SAMPLE_ID	REF_COHORT	REF_COHORT_SIZE	ENSEMBL_GENE_ID	TPM_LOG2_GENE	MEAN	STD	Z_SCORE	Q1	Q2	Q3	IQR	PERCENTILE
TCGA-86-8358	tcga_luad	530	ENSG00000121410	-2.64205	0.138918919	0.189913137	-14.64337	0.05135	0.0993	0.1876	0.13625	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000175899	8.1421	544.128920908	485.345817819	-1.10434	230.47785	402.7202	710.0551	479.57725	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000171428	3.16488	9.096160796	5.683903584	-1.04352	5.24425	7.8472	10.83935	5.5951	5.8
TCGA-86-8358	tcga_luad	530	ENSG00000156006	-1.01042	0.714051177	1.101606571	-1.56541	0.20235	0.4257	0.78855	0.5862	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000196136	-3.69152	0.806713705	2.154778228	-2.08756	0.04235	0.1558	0.5327	0.49035	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000114771	0.02176	10.0874182	31.963523521	-0.31491	0.559	1.786	6.633	6.074	3.2
TCGA-86-8358	tcga_luad	530	ENSG00000127837	7.07362	127.100453337	43.681316051	-2.74778	98.98715	126.3249	154.5957	55.60855	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000129673	-3.06975	0.497323061	0.841199838	-4.24046	0.1493	0.3073	0.5535	0.4042	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000090861	7.60742	57.219476494	27.089319777	-1.83142	39.19455	51.3994	69.4304	30.23585	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000183044	2.14359	6.723371355	7.638388052	-0.59957	2.6397	4.453	7.91185	5.27215	17.1
TCGA-86-8358	tcga_luad	530	ENSG00000165029	3.25601	19.087168577	18.167737549	-0.87139	8.798	14.6537	22.5782	13.7802	3.4
TCGA-86-8358	tcga_luad	530	ENSG00000107331	4.17993	15.707058443	8.889673818	-1.29669	9.5261	14.0875	20.536	11.0099	5.3
TCGA-86-8358	tcga_luad	530	ENSG00000167972	6.21498	110.459448173	129.577542983	-0.80449	26.7447	66.1949	147.0326	120.2879	7.2
TCGA-86-8358	tcga_luad	530	ENSG00000131269	4.07299	15.012679264	5.478539952	-1.99683	11.2139	14.193	18.093	6.8791	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000204574	7.79034	77.978086509	36.903387062	-1.90193	53.75905	71.3195	97.53685	43.7778	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000198691	-1.47995	9.448136431	19.308507561	-0.56597	0.49725	1.7729	8.65715	8.1599	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000097007	6.29034	45.852395935	20.427367784	-1.93672	32.2945	43.5141	57.0169	24.7224	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000002726	5.05431	36.859120735	64.240620755	-0.49509	1.51275	6.774	44.24605	42.7333	45.2
TCGA-86-8358	tcga_luad	530	ENSG00000143322	3.91859	9.937538958	6.69605442	-0.89888	6.5205	8.4945	11.6021	5.0816	7.7
TCGA-86-8358	tcga_luad	530	ENSG00000175164	1.41927	20.132662654	20.322552589	-0.92082	6.19975	14.1204	27.45825	21.2585	8.1
TCGA-86-8358	tcga_luad	530	ENSG00000159842	4.95786	31.834197474	16.415453664	-1.63726	19.2351	29.6049	40.9671	21.732	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000060971	3.25838	18.037157407	7.81732206	-1.89052	12.26995	17.3307	22.32225	10.0523	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000278540	4.84387	25.401539488	13.546068297	-1.51761	16.53265	22.4539	31.59185	15.0592	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000076555	1.94654	3.356020986	2.482880372	-0.56768	1.75985	2.8593	4.19495	2.4351	29.9
TCGA-86-8358	tcga_luad	530	ENSG00000115361	-1.33497	2.443601749	3.498294791	-1.08012	0.37185	1.1357	3.2195	2.84765	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000117054	5.90695	33.759554526	15.754374507	-1.76793	23.48725	30.333	40.7332	17.24595	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000122971	4.20157	34.208141942	20.269003918	-1.48042	20.59035	30.5527	43.8013	23.21095	2.3
TCGA-86-8358	tcga_luad	530	ENSG00000196177	3.61294	22.588559025	19.812534308	-0.95776	10.62395	17.1671	27.7923	17.16835	1.1
