ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.7015	-0.5094298695537985	-9.9162	0.4864	-9.966	287.0	19.34	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.072	-3.77595972578207	-9.9453	0.3501	-9.966	287.0	17.622	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0204	-5.546245393148302	-9.9507	0.2593	-9.966	287.0	16.986	100.0	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.3919	-1.3477659270907625	-9.9225	0.5205	-9.966	287.0	16.474	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0408	-4.580353247468566	-9.9462	0.3349	-9.966	287.0	16.022	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.1086	-3.189680296588923	-9.9402	0.4379	-9.966	287.0	15.416	100.0	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	1.1009	0.13999330190336426	-9.8864	0.6718	-9.966	287.0	14.925	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	5.194	2.377123749129487	-9.8007	0.8388	-9.966	287.0	14.518	100.0	OVER
ENSG00000106331	PAX4	5078	paired box 4	protein_coding	2.78	1.4756037446845998	-9.8424	0.7868	-9.966	287.0	14.385	100.0	OVER
ENSG00000181927	OR4P4	81300	olfactory receptor family 4 subfamily P member 4	protein_coding	0.0296	-5.0303245368567975	-9.9453	0.3501	-9.966	287.0	14.039	100.0	OVER
ENSG00000167822	OR8J3	81168	olfactory receptor family 8 subfamily J member 3	protein_coding	0.0325	-4.899695094204315	-9.9439	0.3742	-9.966	287.0	13.48	99.9	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0492	-4.316168825598678	-9.9408	0.4273	-9.966	287.0	13.163	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	5.1536	2.3658604779509833	-9.7475	0.9772	-9.966	287.0	12.396	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.2399	0.31138685816203876	-9.8805	0.8416	-9.966	287.0	12.11	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.2132	-2.2229696147991933	-9.9005	0.639	-9.966	287.0	12.015	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	1577.9646	10.62385003928446	4.8475	0.5091	4.859	287.0	11.346	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1565	-2.666576266274808	-9.8875	0.6628	-9.966	287.0	10.895	99.9	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	90.9894	6.507642435770272	-0.6859	0.674	-0.6643	287.0	10.673	99.9	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	2.1397	1.0980826290545875	-9.7503	1.0434	-9.966	287.0	10.397	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.3171	0.39845982712238276	-9.8209	0.9975	-9.966	287.0	10.245	99.9	OVER
ENSG00000276240	OR4E1	26687	olfactory receptor family 4 subfamily E member 1	protein_coding	3.9318	1.9755568208232122	-9.7596	1.1571	-9.966	287.0	10.142	99.9	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	15.3248	3.937890478813792	-9.5542	1.3409	-9.966	287.0	10.062	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	20.8197	4.379946668306251	-9.4554	1.3777	-9.966	287.0	10.042	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	268.575	8.06918658080974	0.3222	0.7761	0.4125	287.0	9.982	99.9	OVER
ENSG00000100216	TOMM22	56993	translocase of outer mitochondrial membrane 22	protein_coding	1098.4942	10.101312850416608	4.6132	0.5553	4.7	287.0	9.883	99.9	OVER
ENSG00000213190	MLLT11	10962	MLLT11 transcription factor 7 cofactor	protein_coding	211.5246	7.724688466633136	1.9173	0.5886	1.919	287.0	9.866	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.6121	1.3857623358112243	-9.8303	1.1477	-9.966	287.0	9.773	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0329	-4.882570916413106	-9.9225	0.5205	-9.966	287.0	9.683	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0799	-3.627716487119472	-9.8885	0.6541	-9.966	287.0	9.572	99.9	OVER
ENSG00000164983	TMEM65	157378	transmembrane protein 65	protein_coding	51.7476	5.693447927540324	1.751	0.4121	1.762	287.0	9.567	99.8	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	4.8333	2.27330700456454	-9.619	1.2528	-9.966	287.0	9.493	99.8	OVER
ENSG00000065154	OAT	4942	ornithine aminotransferase	protein_coding	661.0162	9.368544001646661	5.6406	0.3928	5.64	287.0	9.491	99.8	OVER
ENSG00000099942	CRKL	1399	CRK like proto-oncogene, adaptor protein	protein_coding	202.8506	7.664280871677855	4.2306	0.363	4.245	287.0	9.459	99.8	OVER
ENSG00000172238	ATOH1	474	atonal bHLH transcription factor 1	protein_coding	2.096	1.0683268614345056	-9.6681	1.1604	-9.966	287.0	9.252	99.8	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.5832	-0.7754657367202705	-9.8325	1.006	-9.966	287.0	9.003	99.8	OVER
ENSG00000163515	RETNLB	84666	resistin like beta	protein_coding	4.8069	2.2654068896005923	-9.6857	1.3482	-9.966	287.0	8.864	99.8	OVER
ENSG00000185651	UBE2L3	7332	ubiquitin conjugating enzyme E2 L3	protein_coding	325.1868	8.345129322926722	5.1161	0.3667	5.166	287.0	8.806	99.8	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.0863	-3.517874535920009	-9.8795	0.7304	-9.966	287.0	8.71	99.8	OVER
ENSG00000120054	CPN1	1369	carboxypeptidase N subunit 1	protein_coding	12.173	3.605731365815728	-9.5328	1.5288	-9.966	287.0	8.594	99.8	OVER
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	protein_coding	26.2785	4.7158659217507	0.1039	0.5391	0.1257	287.0	8.555	99.8	OVER
ENSG00000100221	JOSD1	9929	Josephin domain containing 1	protein_coding	366.4422	8.517445782597976	5.1423	0.3954	5.13	287.0	8.536	99.8	OVER
ENSG00000172742	OR4D9	390199	olfactory receptor family 4 subfamily D member 9	protein_coding	0.0197	-5.594225422050124	-9.9232	0.5116	-9.966	287.0	8.462	99.8	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	325.4538	8.346313381878717	0.6538	0.9122	0.6425	287.0	8.433	99.8	OVER
ENSG00000166123	GPT2	84706	glutamic--pyruvic transaminase 2	protein_coding	285.4156	8.156925435034193	1.3252	0.8105	1.264	287.0	8.429	99.8	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	334.4485	8.385644578220775	3.5934	0.5726	3.541	287.0	8.369	99.8	OVER
ENSG00000128298	BAIAP2L2	80115	BAR/IMD domain containing adaptor protein 2 like 2	protein_coding	159.4526	7.316992859603954	-0.1524	0.897	-0.1504	287.0	8.327	99.8	OVER
