ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	5.3268	2.4135399261734705	-9.9162	0.4864	-9.966	287.0	25.349	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0541	-4.181803870978292	-9.9462	0.3349	-9.966	287.0	17.212	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0482	-4.34519787421021	-9.9453	0.3501	-9.966	287.0	15.996	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0659	-3.9018499789079883	-9.9408	0.4273	-9.966	287.0	14.133	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0205	-5.539519529959989	-9.9462	0.3349	-9.966	287.0	13.158	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.4233	0.5102530528547914	-9.8805	0.8416	-9.966	287.0	12.346	100.0	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	410.688	8.681902496093455	4.2061	0.3668	4.212	287.0	12.202	100.0	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	24.4904	4.614203339811225	-9.7749	1.215	-9.966	287.0	11.843	100.0	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	10.2788	3.3617402911492102	-9.709	1.2335	-9.966	287.0	10.596	100.0	OVER
ENSG00000112238	PRDM13	59336	PR/SET domain 13	protein_coding	3.5732	1.8376203649152736	-9.6705	1.1241	-9.966	287.0	10.238	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.0449	-4.445362036135641	-9.9036	0.5342	-9.966	287.0	10.218	99.9	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	93.4327	6.545871095077315	2.3781	0.4186	2.368	287.0	9.956	99.9	OVER
