ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5372	-0.893785703909032	-9.9408	0.4273	-9.966	287.0	21.173	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0238	-5.333516069162574	-9.9507	0.2593	-9.966	287.0	17.806	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.0921	-3.4250750219906556	-9.9433	0.3842	-9.966	287.0	16.966	100.0	OVER
ENSG00000196383	OR4Q2	390432	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)	protein_coding	0.026	-5.210896782498619	-9.9446	0.363	-9.966	287.0	13.041	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.4504	0.5374451751516316	-9.8805	0.8416	-9.966	287.0	12.379	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0119	-6.276485124126195	-9.9462	0.3349	-9.966	287.0	10.958	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	3.0555	1.6118805671027587	-9.8303	1.1477	-9.966	287.0	9.97	100.0	OVER
ENSG00000176798	OR51L1	119682	olfactory receptor family 51 subfamily L member 1	protein_coding	0.0099	-6.519528054772523	-9.9453	0.3501	-9.966	287.0	9.785	100.0	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.0497	-4.301870442546109	-9.8975	0.5786	-9.966	287.0	9.671	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.101	-3.2933589426905914	-9.8795	0.7304	-9.966	287.0	9.017	100.0	OVER
ENSG00000181518	OR8D4	338662	olfactory receptor family 8 subfamily D member 4	protein_coding	0.0228	-5.392894616241506	-9.9128	0.5188	-9.966	287.0	8.712	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0192	-5.629500896797655	-9.9225	0.5205	-9.966	287.0	8.248	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.3411	-1.5475099907815495	-9.8325	1.006	-9.966	287.0	8.236	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.4204	-1.2467377807321431	-9.8146	1.0421	-9.966	287.0	8.222	99.9	OVER
