ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.1727	-2.525330340839057	-9.9507	0.2593	-9.966	287.0	28.636	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	1.2354	0.3061455593087739	-9.9408	0.4273	-9.966	287.0	23.981	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	1.2681	0.3438057522523126	-9.9162	0.4864	-9.966	287.0	21.094	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0903	-3.4532413295652273	-9.9453	0.3501	-9.966	287.0	18.543	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	24.0141	4.585869910924846	-9.8805	0.8416	-9.966	287.0	17.189	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0507	-4.273691909234515	-9.9462	0.3349	-9.966	287.0	16.938	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0732	-3.7524370029286462	-9.9315	0.4128	-9.966	287.0	14.969	100.0	OVER
ENSG00000181961	OR4A16	81327	olfactory receptor family 4 subfamily A member 16	protein_coding	3.9303	1.9750064609377638	-9.842	0.8525	-9.966	287.0	13.862	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	0.5425	-0.8796480596347779	-9.8236	0.7189	-9.966	287.0	12.441	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	3.7563	1.9096963119427135	-9.7475	0.9772	-9.966	287.0	11.929	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0332	-4.869859864663551	-9.9408	0.4273	-9.966	287.0	11.867	99.9	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	3.185	1.6717462668632228	-9.7503	1.0434	-9.966	287.0	10.947	99.9	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.0154	-5.930160374931366	-9.9353	0.3759	-9.966	287.0	10.655	99.9	OVER
ENSG00000154646	TMPRSS15	5651	transmembrane serine protease 15	protein_coding	2.0815	1.0583164955908229	-9.6585	1.0276	-9.966	287.0	10.429	99.9	OVER
ENSG00000280204	OR1S1	219959	olfactory receptor family 1 subfamily S member 1	protein_coding	0.0395	-4.625934281777463	-9.9137	0.5129	-9.966	287.0	10.31	99.9	OVER
ENSG00000173572	NLRP13	126204	NLR family pyrin domain containing 13	protein_coding	1.2843	0.3621051360710866	-9.7168	1.0038	-9.966	287.0	10.041	99.9	OVER
ENSG00000188162	OTOG	340990	otogelin	protein_coding	0.5969	-0.7420238839892352	-9.7597	0.9048	-9.966	287.0	9.966	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.1626	-2.611755346607701	-9.8795	0.7304	-9.966	287.0	9.95	99.9	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	8.7365	3.1272205504880737	-9.5542	1.3409	-9.966	287.0	9.457	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.2862	-1.799872345726398	-9.7845	0.8461	-9.966	287.0	9.437	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	199.8572	7.642832956211558	0.3222	0.7761	0.4125	287.0	9.433	99.9	OVER
ENSG00000181214	OR8G2P	26492	olfactory receptor family 8 subfamily G member 2 pseudogene	protein_coding	0.0622	-3.9839316313723465	-9.8994	0.651	-9.966	287.0	9.087	99.9	OVER
ENSG00000268988	SPANXN2	494119	SPANX family member N2	protein_coding	0.0845	-3.547931769776189	-9.8726	0.7074	-9.966	287.0	8.941	99.9	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.1923	-2.3710864573382135	-9.7933	0.8383	-9.966	287.0	8.854	99.9	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	0.4438	-1.168771306825942	-9.7345	0.9741	-9.966	287.0	8.793	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.3875	-1.3640134962543768	-9.8209	0.9975	-9.966	287.0	8.478	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1296	-2.9367731980030185	-9.8339	0.8384	-9.966	287.0	8.227	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.1431	0.19421315631120697	-9.7749	1.215	-9.966	287.0	8.205	99.9	OVER
ENSG00000229637	PRAC2	360205	PRAC2 small nuclear protein	protein_coding	3.8194	1.9337236978958292	-9.6655	1.4451	-9.966	287.0	8.027	99.9	OVER
ENSG00000104827	CGB3	1082	chorionic gonadotropin subunit beta 3	protein_coding	0.3982	-1.3248163742121888	-9.7861	1.066	-9.966	287.0	7.937	99.8	OVER
ENSG00000184735	DDX53	168400	DEAD-box helicase 53	protein_coding	0.6413	-0.6386807984427838	-9.6065	1.1359	-9.966	287.0	7.895	99.8	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.5465	-0.8690691301735514	-9.8303	1.1477	-9.966	287.0	7.808	99.8	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	5.7837	2.532242141746767	-9.2982	1.5632	-9.966	287.0	7.568	99.8	OVER
ENSG00000146618	FERD3L	222894	Fer3 like bHLH transcription factor	protein_coding	0.1819	-2.4508730198007327	-9.8233	0.9787	-9.966	287.0	7.533	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.6843	0.7530054281951998	-9.5576	1.3755	-9.966	287.0	7.496	99.8	OVER
ENSG00000170279	C7orf33	202865	chromosome 7 open reading frame 33	protein_coding	0.101	-3.2933589426905914	-9.8387	0.8852	-9.966	287.0	7.394	99.8	OVER
ENSG00000149305	HTR3B	9177	5-hydroxytryptamine receptor 3B	protein_coding	5.257	2.3945141419559586	-9.4631	1.6162	-9.966	287.0	7.337	99.8	OVER
ENSG00000106331	PAX4	5078	paired box 4	protein_coding	0.0582	-4.0782590139204995	-9.8424	0.7868	-9.966	287.0	7.326	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	1.4116	0.4983530016145118	-9.4554	1.3777	-9.966	287.0	7.225	99.8	OVER
ENSG00000174339	OR2Y1	134083	olfactory receptor family 2 subfamily Y member 1	protein_coding	0.055	-4.158429362604483	-9.8507	0.7908	-9.966	287.0	7.198	99.8	OVER
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	protein_coding	15.5499	3.9589261728614544	0.1039	0.5391	0.1257	287.0	7.151	99.8	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.0486	-4.333516069162574	-9.8195	0.7757	-9.966	287.0	7.072	99.8	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.0266	-5.1791879227712805	-9.8864	0.6718	-9.966	287.0	7.007	99.8	OVER
ENSG00000181733	OR2Z1	284383	olfactory receptor family 2 subfamily Z member 1	protein_coding	0.0995	-3.3147325934831584	-9.8196	0.9285	-9.966	287.0	7.006	99.8	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	0.5473	-0.8669626212526502	-9.619	1.2528	-9.966	287.0	6.986	99.8	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.0639	-3.9456377115503107	-9.8007	0.8388	-9.966	287.0	6.98	99.8	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	337.8631	8.400299253790765	4.8475	0.5091	4.859	287.0	6.979	99.8	OVER
ENSG00000099721	AMELY	266	amelogenin Y-linked	protein_coding	1.2934	0.3722835128805282	-9.6166	1.4499	-9.966	287.0	6.889	99.8	OVER
ENSG00000163530	DPPA2	151871	developmental pluripotency associated 2	protein_coding	0.2946	-1.7582818254032986	-9.7063	1.1566	-9.966	287.0	6.872	99.7	OVER
ENSG00000141946	ZIM3	114026	zinc finger imprinted 3	protein_coding	0.0222	-5.429731384421877	-9.8634	0.6548	-9.966	287.0	6.771	99.7	OVER
ENSG00000197745	SCGB1D4	404552	secretoglobin family 1D member 4	protein_coding	0.1305	-2.9268652953697845	-9.8295	1.029	-9.966	287.0	6.708	99.7	OVER
ENSG00000142538	PTH2	113091	parathyroid hormone 2	protein_coding	0.1282	-2.9523220248555244	-9.8295	1.0329	-9.966	287.0	6.658	99.7	OVER
ENSG00000203795	FAM24A	118670	family with sequence similarity 24 member A	protein_coding	0.0847	-3.5445609854369495	-9.8285	0.9438	-9.966	287.0	6.658	99.7	OVER
