ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.254	-1.9714308478032292	-9.9408	0.4273	-9.966	287.0	18.651	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	12.7127	3.6683120461456773	-9.8007	0.8388	-9.966	287.0	16.057	100.0	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.1052	-3.235144328745296	-9.9259	0.4806	-9.966	287.0	13.922	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.4962	0.5822669533505123	-9.8805	0.8416	-9.966	287.0	12.432	100.0	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0916	-3.432843996289213	-9.9187	0.567	-9.966	287.0	11.439	100.0	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.1207	-3.038598926835721	-9.8732	0.6551	-9.966	287.0	10.433	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1124	-3.1405074546072207	-9.8885	0.6541	-9.966	287.0	10.316	100.0	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.0951	-3.379319758775699	-9.884	0.6921	-9.966	287.0	9.398	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0415	-4.556393348524385	-9.8895	0.5756	-9.966	287.0	9.265	100.0	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.1574	-2.6583557594698397	-9.8689	0.8183	-9.966	287.0	8.812	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1615	-2.62148837674627	-9.8339	0.8384	-9.966	287.0	8.603	99.9	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.0594	-4.04930764022437	-9.8727	0.7042	-9.966	287.0	8.27	99.9	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.0943	-3.3913799756395075	-9.8999	0.7903	-9.966	287.0	8.236	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0167	-5.820106829466452	-9.8937	0.4959	-9.966	287.0	8.215	99.9	OVER
ENSG00000172379	ARNT2	9915	aryl hydrocarbon receptor nuclear translocator 2	protein_coding	110.6966	6.790480133613863	1.4417	0.6811	1.444	287.0	7.853	99.9	OVER
ENSG00000177504	VCX2	51480	variable charge X-linked 2	protein_coding	0.3204	-1.6375581658743554	-9.7831	1.0856	-9.966	287.0	7.503	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.4086	-1.2877123795494494	-9.8303	1.1477	-9.966	287.0	7.443	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.3117	-1.677148875624409	-9.83	1.1479	-9.966	287.0	7.102	99.9	OVER
ENSG00000184349	EFNA5	1946	ephrin A5	protein_coding	58.8076	5.87795524093731	1.3493	0.6413	1.379	287.0	7.062	99.9	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	0.4558	-1.1303654441866067	-9.6296	1.2076	-9.966	287.0	7.038	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	0.4273	-1.223306417658407	-9.7749	1.215	-9.966	287.0	7.038	99.9	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	0.0944	-3.389866923543938	-9.7382	0.9316	-9.966	287.0	6.814	99.9	OVER
ENSG00000280236	OR12D2	26529	olfactory receptor family 12 subfamily D member 2	protein_coding	0.0531	-4.208227595722634	-9.8453	0.8316	-9.966	287.0	6.779	99.9	OVER
ENSG00000172324	OR5A2	219981	olfactory receptor family 5 subfamily A member 2	protein_coding	0.0092	-6.6152870375779536	-9.9248	0.493	-9.966	287.0	6.713	99.9	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	67.0418	6.067010498425802	2.9104	0.4736	2.917	287.0	6.665	99.9	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	559.8018	9.128774892719871	6.4366	0.4079	6.482	287.0	6.6	99.9	OVER
ENSG00000186103	ARGFX	503582	arginine-fifty homeobox	protein_coding	0.0172	-5.779917739350753	-9.9016	0.629	-9.966	287.0	6.553	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.1026	-3.2709040918628953	-9.8325	1.006	-9.966	287.0	6.522	99.9	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	3.1527	1.6570454283283713	-9.3977	1.7056	-9.966	287.0	6.481	99.9	OVER
ENSG00000165502	RPL36AL	6166	ribosomal protein L36a like	protein_coding	1229.102	10.263390104654784	8.0179	0.3486	8.025	287.0	6.441	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	18.0526	4.174214643040504	1.5417	0.421	1.566	287.0	6.253	99.8	OVER
ENSG00000135318	NT5E	4907	5'-nucleotidase ecto	protein_coding	119.7643	6.904066161595381	2.1341	0.7634	2.199	287.0	6.248	99.8	OVER
ENSG00000106331	PAX4	5078	paired box 4	protein_coding	0.029	-5.058893689053568	-9.8424	0.7868	-9.966	287.0	6.08	99.8	OVER
ENSG00000264364	DYNLL2	140735	dynein light chain LC8-type 2	protein_coding	82.7722	6.371091827760508	4.2313	0.3521	4.264	287.0	6.077	99.8	OVER
ENSG00000123892	RAB38	23682	RAB38, member RAS oncogene family	protein_coding	59.8026	5.902160427903072	2.0364	0.6378	2.081	287.0	6.061	99.8	OVER
ENSG00000178343	SHISA3	152573	shisa family member 3	protein_coding	908.4151	9.82720946515498	1.974	1.3053	1.953	287.0	6.016	99.8	OVER
ENSG00000137364	TPMT	7172	thiopurine S-methyltransferase	protein_coding	38.5128	5.267303569896872	2.7065	0.4261	2.727	287.0	6.01	99.8	OVER
ENSG00000183709	IFNL2	282616	interferon lambda 2	protein_coding	0.183	-2.4422223286050744	-9.7358	1.2156	-9.966	287.0	6.0	99.8	OVER
ENSG00000198704	GPX6	257202	glutathione peroxidase 6	protein_coding	0.0431	-4.503077533991929	-9.8181	0.8884	-9.966	287.0	5.983	99.8	OVER
ENSG00000205858	LRRC72	100506049	leucine rich repeat containing 72	protein_coding	0.0604	-4.02561753417927	-9.8037	0.9702	-9.966	287.0	5.956	99.8	OVER
ENSG00000107984	DKK1	22943	dickkopf WNT signaling pathway inhibitor 1	protein_coding	340.6346	8.41208540946392	0.343	1.3619	0.2762	287.0	5.925	99.8	OVER
ENSG00000172320	OR5A1	219982	olfactory receptor family 5 subfamily A member 1	protein_coding	0.0404	-4.594225422050124	-9.827	0.8852	-9.966	287.0	5.911	99.8	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	65.9945	6.044295750433959	0.6538	0.9122	0.6425	287.0	5.909	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	0.3581	-1.4775424418847913	-9.5576	1.3755	-9.966	287.0	5.874	99.8	OVER
ENSG00000115255	REEP6	92840	receptor accessory protein 6	protein_coding	97.6191	6.609106324486509	0.6252	1.0373	0.7146	287.0	5.769	99.8	OVER
ENSG00000146007	ZMAT2	153527	zinc finger matrin-type 2	protein_coding	236.2891	7.884415374820272	5.6619	0.3862	5.68	287.0	5.755	99.8	OVER
ENSG00000176490	DIRAS1	148252	DIRAS family GTPase 1	protein_coding	13.8934	3.796431631065695	-1.1338	0.8615	-1.149	287.0	5.723	99.8	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	49.9152	5.6414362043714785	1.2184	0.7739	1.299	287.0	5.715	99.8	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	175.1069	7.4521003622596425	5.5015	0.3448	5.526	287.0	5.657	99.7	OVER
ENSG00000175766	EIF4E1B	253314	eukaryotic translation initiation factor 4E family member 1B	protein_coding	0.9425	-0.08390557706164166	-9.455	1.6995	-9.966	287.0	5.514	99.7	OVER
ENSG00000197956	S100A6	6277	S100 calcium binding protein A6	protein_coding	11444.6351	13.482383970440267	10.8431	0.4807	10.9	287.0	5.491	99.7	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.0513	-4.257045243302508	-9.7497	1.0005	-9.966	287.0	5.49	99.7	OVER
ENSG00000164626	KCNK5	8645	potassium two pore domain channel subfamily K member 5	protein_coding	102.6965	6.682257251844641	2.346	0.7915	2.382	287.0	5.479	99.7	OVER
ENSG00000257046	SLCO1B3-SLCO1B7	115072896	SLCO1B3-SLCO1B7 readthrough	protein_coding	0.0461	-4.4081291299366665	-9.7748	0.9806	-9.966	287.0	5.473	99.7	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	0.0458	-4.417347659966045	-9.7345	0.9741	-9.966	287.0	5.459	99.7	OVER
ENSG00000145494	NDUFS6	4726	NADH:ubiquinone oxidoreductase subunit S6	protein_coding	280.1239	8.12992641849199	5.3076	0.5246	5.341	287.0	5.38	99.7	OVER
ENSG00000147123	NDUFB11	54539	NADH:ubiquinone oxidoreductase subunit B11	protein_coding	322.7048	8.334075697429268	5.9835	0.4393	6.038	287.0	5.351	99.7	OVER
ENSG00000180992	MRPL14	64928	mitochondrial ribosomal protein L14	protein_coding	564.2837	9.140279422693212	5.9287	0.6141	6.039	287.0	5.23	99.7	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	49.1768	5.619935291389418	0.9907	0.887	1.112	287.0	5.219	99.7	OVER
ENSG00000152778	IFIT5	24138	interferon induced protein with tetratricopeptide repeats 5	protein_coding	37.1966	5.217137636118641	2.952	0.4373	2.958	287.0	5.18	99.7	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	0.2822	-1.820106829466452	-9.5635	1.498	-9.966	287.0	5.169	99.7	OVER
ENSG00000254999	BRK1	55845	BRICK1 subunit of SCAR/WAVE actin nucleating complex	protein_coding	460.1225	8.845877331214078	7.1647	0.3256	7.186	287.0	5.163	99.7	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	0.0973	-3.346664773208869	-9.709	1.2335	-9.966	287.0	5.158	99.7	OVER
ENSG00000126709	IFI6	2537	interferon alpha inducible protein 6	protein_coding	3359.9475	11.714223404760165	7.0777	0.9054	7.047	287.0	5.121	99.7	OVER
ENSG00000127884	ECHS1	1892	enoyl-CoA hydratase, short chain 1	protein_coding	344.098	8.426679889181392	5.6013	0.5548	5.71	287.0	5.093	99.7	OVER
ENSG00000153904	DDAH1	23576	dimethylarginine dimethylaminohydrolase 1	protein_coding	103.6502	6.695593008817591	4.0248	0.5285	4.084	287.0	5.054	99.7	OVER
ENSG00000176495	OR5AN1	390195	olfactory receptor family 5 subfamily AN member 1	protein_coding	0.0614	-4.002310160687201	-9.73	1.1347	-9.966	287.0	5.048	99.7	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	29.1776	4.866838758763071	3.1803	0.3367	3.199	287.0	5.009	99.7	OVER
ENSG00000105976	MET	4233	MET proto-oncogene, receptor tyrosine kinase	protein_coding	211.4423	7.724127036214192	2.4639	1.0542	2.602	287.0	4.99	99.6	OVER
ENSG00000163235	TGFA	7039	transforming growth factor alpha	protein_coding	22.7796	4.509733840424389	1.2391	0.659	1.299	287.0	4.963	99.6	OVER
ENSG00000129625	REEP5	7905	receptor accessory protein 5	protein_coding	205.7923	7.685052203036145	5.8117	0.3782	5.845	287.0	4.953	99.6	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	163.8239	7.356010840870713	4.8475	0.5091	4.859	287.0	4.927	99.6	OVER
ENSG00000166105	GLB1L3	112937	galactosidase beta 1 like 3	protein_coding	74.2647	6.214624143262719	-3.3148	1.9401	-3.308	287.0	4.912	99.6	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	174.1101	7.443864370962936	5.7393	0.3488	5.736	287.0	4.887	99.6	OVER
ENSG00000196800	SPINK14	408187	serine peptidase inhibitor Kazal type 14 (putative)	protein_coding	1.1841	0.24500880040379622	-9.4789	2.014	-9.966	287.0	4.828	99.6	OVER
ENSG00000185043	CIB1	10519	calcium and integrin binding 1	protein_coding	478.7227	8.903049420578785	6.4211	0.5172	6.405	287.0	4.799	99.6	OVER
ENSG00000143412	ANXA9	8416	annexin A9	protein_coding	13.6496	3.7708924598054234	0.1371	0.7636	0.2522	287.0	4.759	99.6	OVER
ENSG00000155066	PROM2	150696	prominin 2	protein_coding	41.9728	5.391417175051545	1.176	0.8864	1.19	287.0	4.756	99.6	OVER
ENSG00000126432	PRDX5	25824	peroxiredoxin 5	protein_coding	1379.5226	10.429954422260654	7.8224	0.5499	7.899	287.0	4.742	99.6	OVER
ENSG00000101856	PGRMC1	10857	progesterone receptor membrane component 1	protein_coding	238.0053	7.8948559517888865	5.8601	0.4303	5.884	287.0	4.729	99.6	OVER
ENSG00000248485	PCP4L1	654790	Purkinje cell protein 4 like 1	protein_coding	68.8315	6.105018004550905	1.2074	1.0404	1.34	287.0	4.707	99.6	OVER
ENSG00000091844	RGS17	26575	regulator of G protein signaling 17	protein_coding	3.8951	1.9620307071052172	-2.0021	0.8428	-2.053	287.0	4.704	99.6	OVER
ENSG00000164120	HPGD	3248	15-hydroxyprostaglandin dehydrogenase	protein_coding	1103.174	10.107445952840635	5.7754	0.9225	5.845	287.0	4.696	99.6	OVER
ENSG00000243364	EFNA4	1945	ephrin A4	protein_coding	30.3254	4.9225023429185795	2.2971	0.5596	2.316	287.0	4.692	99.6	OVER
ENSG00000163344	PMVK	10654	phosphomevalonate kinase	protein_coding	200.8111	7.649702391752938	4.8264	0.6025	4.978	287.0	4.686	99.6	OVER
ENSG00000118640	VAMP8	8673	vesicle associated membrane protein 8	protein_coding	1087.4342	10.086713718337	7.6412	0.5247	7.749	287.0	4.661	99.6	OVER
ENSG00000105852	PON3	5446	paraoxonase 3	protein_coding	183.335	7.5183462921933915	3.3118	0.9027	3.361	287.0	4.66	99.6	OVER
ENSG00000148943	LIN7C	55327	lin-7 homolog C, crumbs cell polarity complex component	protein_coding	19.6275	4.294878021881628	2.7826	0.3265	2.808	287.0	4.632	99.5	OVER
ENSG00000168303	MPLKIP	136647	M-phase specific PLK1 interacting protein	protein_coding	9.2998	3.2173548136824364	1.2106	0.4346	1.227	287.0	4.617	99.5	OVER
ENSG00000266472	MRPS21	54460	mitochondrial ribosomal protein S21	protein_coding	141.9165	7.14890869042424	5.4045	0.3803	5.477	287.0	4.587	99.5	OVER
ENSG00000170860	LSM3	27258	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	protein_coding	37.4391	5.226512383155673	3.0749	0.4705	3.184	287.0	4.573	99.5	OVER
ENSG00000170425	ADORA2B	136	adenosine A2b receptor	protein_coding	33.7748	5.077918035936891	1.1844	0.8542	1.305	287.0	4.558	99.5	OVER
ENSG00000204140	CLPSL1	340204	colipase like 1	protein_coding	0.2214	-2.168771306825942	-9.574	1.6254	-9.966	287.0	4.556	99.5	OVER
ENSG00000116030	SUMO1	7341	small ubiquitin like modifier 1	protein_coding	186.5096	7.543113815605706	5.8891	0.3655	5.897	287.0	4.525	99.5	OVER
ENSG00000105767	CADM4	199731	cell adhesion molecule 4	protein_coding	23.136	4.532129908092247	2.0439	0.552	2.064	287.0	4.508	99.5	OVER
ENSG00000095739	BAMBI	25805	BMP and activin membrane bound inhibitor	protein_coding	115.8362	6.85595482511463	3.697	0.7013	3.731	287.0	4.504	99.5	OVER
ENSG00000169021	UQCRFS1	7386	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein_coding	80.769	6.335747634299736	4.2311	0.4681	4.305	287.0	4.496	99.5	OVER
ENSG00000198967	OR10Z1	128368	olfactory receptor family 10 subfamily Z member 1	protein_coding	0.0138	-6.0782590139204995	-9.8546	0.8403	-9.966	287.0	4.494	99.5	OVER
ENSG00000173227	SYT12	91683	synaptotagmin 12	protein_coding	47.2551	5.562428664892556	-4.0127	2.132	-3.816	287.0	4.491	99.5	OVER
ENSG00000115267	IFIH1	64135	interferon induced with helicase C domain 1	protein_coding	40.6105	5.343816409581169	2.9866	0.5249	2.964	287.0	4.491	99.5	OVER
ENSG00000166329	CCDC182	101927581	coiled-coil domain containing 182	protein_coding	0.1081	-3.196276993225842	-9.6075	1.4418	-9.966	287.0	4.447	99.5	OVER
ENSG00000204952	FBXO47	494188	F-box protein 47	protein_coding	0.0756	-3.706511797624492	-9.5714	1.3213	-9.966	287.0	4.439	99.5	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	59.8761	5.903932444591418	3.8461	0.4636	3.897	287.0	4.439	99.5	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	36.4053	5.186116220924029	3.4078	0.4011	3.416	287.0	4.434	99.5	OVER
ENSG00000151882	CCL28	56477	C-C motif chemokine ligand 28	protein_coding	34.1655	5.09451056123034	1.3776	0.8413	1.537	287.0	4.418	99.5	OVER
ENSG00000176399	DMRTA1	63951	DMRT like family A1	protein_coding	5.7958	2.535256710903838	-1.1884	0.8428	-1.026	287.0	4.418	99.5	OVER
ENSG00000204315	FKBPL	63943	FKBP prolyl isomerase like	protein_coding	16.9909	4.086775275680166	1.6198	0.5593	1.723	287.0	4.411	99.4	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0082	-6.764150423492437	-9.8822	0.7085	-9.966	287.0	4.401	99.4	OVER
ENSG00000124767	GLO1	2739	glyoxalase I	protein_coding	187.6533	7.551933538979626	5.7223	0.4165	5.761	287.0	4.393	99.4	OVER
ENSG00000023318	ERP44	23071	endoplasmic reticulum protein 44	protein_coding	53.6333	5.745084017463687	4.1619	0.3616	4.181	287.0	4.378	99.4	OVER
ENSG00000107201	RIGI	23586	RNA sensor RIG-I	protein_coding	31.9797	4.999129612050706	2.7	0.5275	2.66	287.0	4.359	99.4	OVER
ENSG00000109208	SMR3A	26952	submaxillary gland androgen regulated protein 3A	protein_coding	0.1307	-2.924672749292935	-9.5958	1.5311	-9.966	287.0	4.357	99.4	OVER
ENSG00000101457	DNTTIP1	116092	deoxynucleotidyltransferase terminal interacting protein 1	protein_coding	110.9093	6.793249541468242	4.7232	0.4759	4.784	287.0	4.35	99.4	OVER
ENSG00000165548	TMEM63C	57156	transmembrane protein 63C	protein_coding	8.0971	3.017583458353136	-1.7665	1.0997	-1.685	287.0	4.35	99.4	OVER
ENSG00000177383	MAGEF1	64110	MAGE family member F1	protein_coding	86.8251	6.440056878116294	4.4139	0.4658	4.522	287.0	4.35	99.4	OVER
ENSG00000172238	ATOH1	474	atonal bHLH transcription factor 1	protein_coding	0.0393	-4.633076351021482	-9.6681	1.1604	-9.966	287.0	4.339	99.4	OVER
