ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3258	-1.613520111403766	-9.9408	0.4273	-9.966	287.0	19.488	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1105	-3.1648843847417822	-9.9423	0.4011	-9.966	287.0	16.897	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	11.6673	3.544522479392443	-9.8805	0.8416	-9.966	287.0	15.952	100.0	OVER
ENSG00000203733	GJE1	100126572	gap junction protein epsilon 1	protein_coding	0.0706	-3.803896602285193	-9.9247	0.4942	-9.966	287.0	12.385	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	4.2171	2.076593298022537	-9.8209	0.9975	-9.966	287.0	11.927	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.9938	-0.007521587332542788	-9.8007	0.8388	-9.966	287.0	11.675	100.0	OVER
ENSG00000204007	GLT6D1	360203	glycosyltransferase 6 domain containing 1	protein_coding	0.0421	-4.536168320460352	-9.9267	0.471	-9.966	287.0	11.445	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0107	-6.417347659966045	-9.9462	0.3349	-9.966	287.0	10.537	100.0	OVER
ENSG00000171014	OR4D5	219875	olfactory receptor family 4 subfamily D member 5	protein_coding	0.059	-4.058893689053568	-9.9072	0.5741	-9.966	287.0	10.187	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.731	1.4499574836280034	-9.8303	1.1477	-9.966	287.0	9.829	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	0.7946	-0.3298848187157055	-9.7475	0.9772	-9.966	287.0	9.637	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2878	-1.7918573526622783	-9.8339	0.8384	-9.966	287.0	9.592	99.9	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.0316	-4.938984225318372	-9.9351	0.5242	-9.966	287.0	9.531	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	2.2214	1.152118504431943	-9.7749	1.215	-9.966	287.0	8.993	99.9	OVER
ENSG00000132182	NUP210	23225	nucleoporin 210	protein_coding	184.2857	7.525808144973291	2.8785	0.5232	2.884	287.0	8.882	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0557	-4.140507454607221	-9.8885	0.6541	-9.966	287.0	8.788	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0545	-4.171368418311981	-9.8875	0.6628	-9.966	287.0	8.624	99.9	OVER
ENSG00000197591	OR11L1	391189	olfactory receptor family 11 subfamily L member 1	protein_coding	0.1334	-2.8953949567706894	-9.8584	0.8119	-9.966	287.0	8.576	99.9	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	32.6794	5.030353736708924	2.6615	0.2775	2.678	287.0	8.536	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.4192	-1.2508519328764034	-9.8325	1.006	-9.966	287.0	8.53	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1158	-3.097887820669432	-9.8844	0.7965	-9.966	287.0	8.52	99.9	OVER
ENSG00000162607	USP1	7398	ubiquitin specific peptidase 1	protein_coding	113.5969	6.827792354832203	3.4504	0.3998	3.483	287.0	8.448	99.9	OVER
ENSG00000168411	RFWD3	55159	ring finger and WD repeat domain 3	protein_coding	49.0857	5.6172602753687935	2.505	0.3693	2.521	287.0	8.427	99.9	OVER
ENSG00000149679	CABLES2	81928	Cdk5 and Abl enzyme substrate 2	protein_coding	38.5921	5.2702710282456815	1.6027	0.4377	1.623	287.0	8.379	99.9	OVER
ENSG00000204702	OR2J1	442185	olfactory receptor family 2 subfamily J member 1	protein_coding	0.0282	-5.097887820669432	-9.9069	0.5765	-9.966	287.0	8.342	99.9	OVER
ENSG00000179051	RCC2	55920	regulator of chromosome condensation 2	protein_coding	230.265	7.847157595032365	4.7048	0.3789	4.692	287.0	8.293	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	100.4778	6.650747329375791	3.0556	0.4353	3.052	287.0	8.259	99.9	OVER
ENSG00000145996	CDKAL1	54901	CDK5 regulatory subunit associated protein 1 like 1	protein_coding	32.5273	5.023623520842889	2.4285	0.3199	2.449	287.0	8.112	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	98.8597	6.627325216648816	3.8348	0.3454	3.88	287.0	8.085	99.9	OVER
ENSG00000101193	GID8	54994	GID complex subunit 8 homolog	protein_coding	96.9499	6.599182385891014	3.8782	0.3377	3.922	287.0	8.057	99.8	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	59.5544	5.896160420777223	-0.5099	0.7959	-0.4131	287.0	8.049	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	2.7971	1.484447523233927	-9.5576	1.3755	-9.966	287.0	8.028	99.8	OVER
ENSG00000244020	MT1HL1	645745	metallothionein 1H like 1	protein_coding	0.9533	-0.0674852222887798	-9.788	1.222	-9.966	287.0	7.955	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	2.7559	1.4630469379608806	-9.4554	1.3777	-9.966	287.0	7.925	99.8	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	96.9237	6.5987924594608565	2.9104	0.4736	2.917	287.0	7.788	99.8	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	0.8333	-0.26136184948160623	-9.6296	1.2076	-9.966	287.0	7.758	99.8	OVER
ENSG00000112118	MCM3	4172	minichromosome maintenance complex component 3	protein_coding	312.084	8.285795207250798	4.536	0.4907	4.554	287.0	7.642	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	26.9282	4.751099466458247	1.5417	0.421	1.566	287.0	7.623	99.8	OVER
ENSG00000105767	CADM4	199731	cell adhesion molecule 4	protein_coding	75.6012	6.240356311911876	2.0439	0.552	2.064	287.0	7.602	99.8	OVER
ENSG00000131381	RBSN	64145	rabenosyn, RAB effector	protein_coding	39.2647	5.295197711523147	3.0986	0.2904	3.081	287.0	7.564	99.8	OVER
ENSG00000089050	RBBP9	10741	RB binding protein 9, serine hydrolase	protein_coding	55.6522	5.798392738274953	2.6074	0.4232	2.635	287.0	7.54	99.8	OVER
ENSG00000163840	DTX3L	151636	deltex E3 ubiquitin ligase 3L	protein_coding	168.4186	7.39591623303275	3.8784	0.4667	3.891	287.0	7.537	99.8	OVER
ENSG00000124767	GLO1	2739	glyoxalase I	protein_coding	458.0844	8.839472772095267	5.7223	0.4165	5.761	287.0	7.484	99.8	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0181	-5.710283551513701	-9.908	0.566	-9.966	287.0	7.416	99.8	OVER
ENSG00000012963	UBR7	55148	ubiquitin protein ligase E3 component n-recognin 7	protein_coding	72.2773	6.175490669014447	3.474	0.369	3.501	287.0	7.321	99.8	OVER
ENSG00000101474	APMAP	57136	adipocyte plasma membrane associated protein	protein_coding	354.3798	8.469156631999642	5.8549	0.3588	5.895	287.0	7.286	99.8	OVER
ENSG00000124098	FAM210B	116151	family with sequence similarity 210 member B	protein_coding	180.4331	7.4953282071477725	4.4739	0.4181	4.515	287.0	7.227	99.8	OVER
ENSG00000054793	ATP9A	10079	ATPase phospholipid transporting 9A (putative)	protein_coding	91.7099	6.519021305713303	2.8305	0.5108	2.876	287.0	7.221	99.8	OVER
ENSG00000073711	PPP2R3A	5523	protein phosphatase 2 regulatory subunit B''alpha	protein_coding	19.2447	4.266464240349584	1.0325	0.4575	1.064	287.0	7.069	99.7	OVER
ENSG00000254004	ZNF260	339324	zinc finger protein 260	protein_coding	31.1623	4.961776108824541	1.5588	0.4816	1.581	287.0	7.066	99.7	OVER
ENSG00000124702	KLHDC3	116138	kelch domain containing 3	protein_coding	357.9961	8.483804090581115	5.5638	0.4149	5.613	287.0	7.038	99.7	OVER
ENSG00000146072	TNFRSF21	27242	TNF receptor superfamily member 21	protein_coding	325.8813	8.34820718531335	4.0284	0.6167	3.991	287.0	7.005	99.7	OVER
ENSG00000124214	STAU1	6780	staufen double-stranded RNA binding protein 1	protein_coding	223.2959	7.802819412338286	5.3807	0.3459	5.378	287.0	7.002	99.7	OVER
ENSG00000101407	TTI1	9675	TELO2 interacting protein 1	protein_coding	58.4186	5.868380574930661	3.0214	0.4069	3.084	287.0	6.997	99.7	OVER
ENSG00000100580	TMED8	283578	transmembrane p24 trafficking protein family member 8	protein_coding	24.759	4.62993940943954	2.0628	0.3685	2.078	287.0	6.966	99.7	OVER
ENSG00000101911	PRPS2	5634	phosphoribosyl pyrophosphate synthetase 2	protein_coding	65.6176	6.0360329085760105	3.3747	0.3823	3.377	287.0	6.961	99.7	OVER
ENSG00000101189	MRGBP	55257	MRG domain binding protein	protein_coding	56.6246	5.823382526800116	2.8991	0.4205	2.903	287.0	6.954	99.7	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	142.8767	7.158636951485205	0.9907	0.887	1.112	287.0	6.954	99.7	OVER
ENSG00000182447	OTOL1	131149	otolin 1	protein_coding	0.0451	-4.439089439120111	-9.8528	0.7797	-9.966	287.0	6.943	99.7	OVER
ENSG00000096401	CDC5L	988	cell division cycle 5 like	protein_coding	46.7999	5.548464368564677	2.7367	0.4075	2.814	287.0	6.9	99.7	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	92.3622	6.529246252236685	1.2184	0.7739	1.299	287.0	6.862	99.7	OVER
ENSG00000136715	SAP130	79595	Sin3A associated protein 130	protein_coding	40.7487	5.348717533124195	3.1368	0.3246	3.17	287.0	6.814	99.7	OVER
ENSG00000213064	SFT2D2	375035	SFT2 domain containing 2	protein_coding	45.4801	5.507195242375082	3.2057	0.3386	3.214	287.0	6.797	99.7	OVER
ENSG00000226372	DCAF8L1	139425	DDB1 and CUL4 associated factor 8 like 1	protein_coding	0.0187	-5.665660560093073	-9.8778	0.6204	-9.966	287.0	6.789	99.7	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	127.093	6.989752113315336	3.8461	0.4636	3.897	287.0	6.781	99.7	OVER
ENSG00000055332	EIF2AK2	5610	eukaryotic translation initiation factor 2 alpha kinase 2	protein_coding	61.3875	5.939896513562931	2.861	0.4542	2.82	287.0	6.779	99.7	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	0.1512	-2.715959736045904	-9.7503	1.0434	-9.966	287.0	6.742	99.7	OVER
ENSG00000125871	MGME1	92667	mitochondrial genome maintenance exonuclease 1	protein_coding	81.1465	6.342474743657405	2.9616	0.504	3.046	287.0	6.708	99.7	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	100.9391	6.657355610782991	4.2061	0.3668	4.212	287.0	6.683	99.6	OVER
ENSG00000094975	SUCO	51430	SUN domain containing ossification factor	protein_coding	49.5107	5.629697580431911	3.1264	0.3784	3.149	287.0	6.615	99.6	OVER
ENSG00000205922	ONECUT3	390874	one cut homeobox 3	protein_coding	0.1349	-2.879382638782058	-9.654	1.0271	-9.966	287.0	6.596	99.6	OVER
ENSG00000165417	GTF2A1	2957	general transcription factor IIA subunit 1	protein_coding	34.6365	5.1142629005940545	2.5684	0.386	2.58	287.0	6.595	99.6	OVER
ENSG00000101210	EEF1A2	1917	eukaryotic translation elongation factor 1 alpha 2	protein_coding	195.4668	7.610787157376792	-0.057	1.1645	-0.0725	287.0	6.585	99.6	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	66.0981	6.046558723135059	3.4078	0.4011	3.416	287.0	6.579	99.6	OVER
ENSG00000170454	KRT75	9119	keratin 75	protein_coding	20.1942	4.3359405285034756	-8.9612	2.0217	-9.966	287.0	6.577	99.6	OVER
ENSG00000177888	ZBTB41	360023	zinc finger and BTB domain containing 41	protein_coding	15.9889	3.9990890111943367	1.3324	0.4056	1.34	287.0	6.575	99.6	OVER
ENSG00000101337	TM9SF4	9777	transmembrane 9 superfamily member 4	protein_coding	115.7491	6.854869629648502	4.8545	0.3043	4.873	287.0	6.574	99.6	OVER
ENSG00000101577	LPIN2	9663	lipin 2	protein_coding	100.6209	6.652800526557069	4.0786	0.3925	4.074	287.0	6.558	99.6	OVER
ENSG00000172197	MBOAT1	154141	membrane bound O-acyltransferase domain containing 1	protein_coding	96.524	6.5928307440544955	2.9151	0.5609	2.934	287.0	6.557	99.6	OVER
ENSG00000076003	MCM6	4175	minichromosome maintenance complex component 6	protein_coding	104.7888	6.711354484841119	3.2779	0.5236	3.239	287.0	6.557	99.6	OVER
ENSG00000080839	RBL1	5933	RB transcriptional corepressor like 1	protein_coding	19.0992	4.255515839823649	0.6428	0.5511	0.6425	287.0	6.555	99.6	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.1253	-2.985073455761897	-9.8146	1.0421	-9.966	287.0	6.554	99.6	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	49.0645	5.616637056829781	3.4319	0.3368	3.446	287.0	6.487	99.6	OVER
ENSG00000164305	CASP3	836	caspase 3	protein_coding	62.8497	5.973856907646189	3.5399	0.377	3.553	287.0	6.456	99.6	OVER
ENSG00000136193	SCRN1	9805	secernin 1	protein_coding	87.5563	6.452155561778663	3.6196	0.4388	3.675	287.0	6.455	99.6	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	57.9482	5.856716839570372	3.1724	0.4162	3.227	287.0	6.45	99.6	OVER
ENSG00000081800	SLC13A1	6561	solute carrier family 13 member 1	protein_coding	0.0441	-4.4707287562940685	-9.8102	0.8288	-9.966	287.0	6.442	99.6	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	0.5233	-0.9315355490330942	-9.5542	1.3409	-9.966	287.0	6.431	99.5	OVER
ENSG00000204140	CLPSL1	340204	colipase like 1	protein_coding	1.8091	0.8560694020150498	-9.574	1.6254	-9.966	287.0	6.417	99.5	OVER
ENSG00000096654	ZNF184	7738	zinc finger protein 184	protein_coding	28.466	4.831218557297619	1.352	0.5429	1.39	287.0	6.409	99.5	OVER
ENSG00000125834	STK35	140901	serine/threonine kinase 35	protein_coding	55.4189	5.792332202501455	3.176	0.4084	3.136	287.0	6.406	99.5	OVER
ENSG00000143368	SF3B4	10262	splicing factor 3b subunit 4	protein_coding	239.3025	7.902697687343644	5.0091	0.4521	5.098	287.0	6.4	99.5	OVER
ENSG00000243364	EFNA4	1945	ephrin A4	protein_coding	58.3602	5.866937642575148	2.2971	0.5596	2.316	287.0	6.379	99.5	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.1736	-2.517874535920009	-9.83	1.1479	-9.966	287.0	6.37	99.5	OVER
ENSG00000101126	ADNP	23394	activity dependent neuroprotector homeobox	protein_coding	86.3657	6.432403261381596	4.3475	0.3301	4.377	287.0	6.316	99.5	OVER
ENSG00000088930	XRN2	22803	5'-3' exoribonuclease 2	protein_coding	159.8005	7.320137140170807	4.9264	0.3795	4.918	287.0	6.308	99.5	OVER
ENSG00000169258	GPRIN1	114787	G protein regulated inducer of neurite outgrowth 1	protein_coding	14.2883	3.836863338734372	-1.2749	0.8109	-1.248	287.0	6.304	99.5	OVER
ENSG00000173473	SMARCC1	6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	protein_coding	59.4535	5.893714103882504	3.8499	0.3249	3.838	287.0	6.291	99.5	OVER
ENSG00000163428	LRRC58	116064	leucine rich repeat containing 58	protein_coding	32.2677	5.01206355243544	2.6288	0.3794	2.632	287.0	6.282	99.5	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	145.5585	7.185465190387089	3.5934	0.5726	3.541	287.0	6.273	99.5	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	32.0592	5.002711520320815	2.3781	0.4186	2.368	287.0	6.27	99.5	OVER
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1	protein_coding	80.4802	6.3305799112278995	1.9286	0.7039	2.008	287.0	6.254	99.5	OVER
ENSG00000177732	SOX12	6666	SRY-box transcription factor 12	protein_coding	56.8857	5.830019487543835	1.8874	0.6306	1.941	287.0	6.252	99.5	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	38.9359	5.283066121917899	3.1803	0.3367	3.199	287.0	6.245	99.5	OVER
ENSG00000153904	DDAH1	23576	dimethylarginine dimethylaminohydrolase 1	protein_coding	158.5608	7.308901435037481	4.0248	0.5285	4.084	287.0	6.214	99.5	OVER
ENSG00000112308	C6orf62	81688	chromosome 6 open reading frame 62	protein_coding	357.616	8.482271509161574	5.7905	0.4333	5.823	287.0	6.212	99.5	OVER
ENSG00000159259	CHAF1B	8208	chromatin assembly factor 1 subunit B	protein_coding	16.7408	4.065382742934996	0.1768	0.6265	0.1519	287.0	6.207	99.4	OVER
ENSG00000101413	RPRD1B	58490	regulation of nuclear pre-mRNA domain containing 1B	protein_coding	59.6858	5.899340003259018	3.8634	0.3294	3.879	287.0	6.181	99.4	OVER
ENSG00000170915	PAQR8	85315	progestin and adipoQ receptor family member 8	protein_coding	36.9773	5.208606996266983	1.5469	0.5932	1.609	287.0	6.173	99.4	OVER
ENSG00000143412	ANXA9	8416	annexin A9	protein_coding	28.5051	4.83319876848342	0.1371	0.7636	0.2522	287.0	6.15	99.4	OVER
ENSG00000114520	SNX4	8723	sorting nexin 4	protein_coding	83.5125	6.383937523716969	3.8839	0.4078	3.933	287.0	6.131	99.4	OVER
ENSG00000183709	IFNL2	282616	interferon lambda 2	protein_coding	0.2039	-2.2870081105382027	-9.7358	1.2156	-9.966	287.0	6.128	99.4	OVER
ENSG00000116212	LRRC42	115353	leucine rich repeat containing 42	protein_coding	99.3991	6.6351753980776556	4.0577	0.4217	4.072	287.0	6.112	99.4	OVER
ENSG00000247315	ZCCHC3	85364	zinc finger CCHC-type containing 3	protein_coding	53.2661	5.735172833839636	2.767	0.4858	2.844	287.0	6.11	99.4	OVER
ENSG00000165527	ARF6	382	ADP ribosylation factor 6	protein_coding	143.4609	7.164523832743143	4.8996	0.3716	4.928	287.0	6.095	99.4	OVER
ENSG00000157064	NMNAT2	23057	nicotinamide nucleotide adenylyltransferase 2	protein_coding	25.2743	4.659656310890774	-1.0702	0.9407	-1.056	287.0	6.091	99.4	OVER
ENSG00000105866	SP4	6671	Sp4 transcription factor	protein_coding	17.9	4.161968277613969	0.9023	0.5365	0.9115	287.0	6.076	99.4	OVER
ENSG00000163558	PRKCI	5584	protein kinase C iota	protein_coding	78.6719	6.297794859354556	3.6931	0.4296	3.686	287.0	6.063	99.4	OVER
