ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3246	-1.6188273952832024	-9.9408	0.4273	-9.966	287.0	19.476	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.4573	-1.1256358091751368	-9.9162	0.4864	-9.966	287.0	18.073	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	5.567	2.4771592111866414	-9.8805	0.8416	-9.966	287.0	14.684	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0414	-4.55979192498625	-9.9309	0.4228	-9.966	287.0	12.704	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1822	-2.4485085914525055	-9.8875	0.6628	-9.966	287.0	11.224	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.5874	-0.7651308482946192	-9.8339	0.8384	-9.966	287.0	10.817	100.0	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0845	-3.547931769776189	-9.9063	0.5927	-9.966	287.0	10.728	100.0	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0855	-3.5311560570253624	-9.905	0.5987	-9.966	287.0	10.646	100.0	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0461	-4.4081291299366665	-9.9225	0.5205	-9.966	287.0	10.594	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.124	-3.0	-9.8885	0.6541	-9.966	287.0	10.531	100.0	OVER
ENSG00000204887	KRTAP1-4	728255	keratin associated protein 1-4	protein_coding	0.8818	-0.17984146526983533	-9.8569	0.9194	-9.966	287.0	10.525	99.9	OVER
ENSG00000233701	PRR23C	389152	proline rich 23C	protein_coding	0.0258	-5.221623189091677	-9.9201	0.4475	-9.966	287.0	10.499	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.2579	-1.9495331296493381	-9.8844	0.7965	-9.966	287.0	9.962	99.9	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.0351	-4.791857352662278	-9.9351	0.5242	-9.966	287.0	9.812	99.9	OVER
ENSG00000198674	OR10G6	79490	olfactory receptor family 10 subfamily G member 6	protein_coding	0.072	-3.77595972578207	-9.9002	0.6421	-9.966	287.0	9.538	99.9	OVER
ENSG00000138131	LOXL4	84171	lysyl oxidase like 4	protein_coding	208.4346	7.703457895208638	2.1029	0.6043	2.125	287.0	9.268	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.6892	0.7571939695466374	-9.8303	1.1477	-9.966	287.0	9.225	99.9	OVER
ENSG00000170279	C7orf33	202865	chromosome 7 open reading frame 33	protein_coding	0.3121	-1.6753045864107794	-9.8387	0.8852	-9.966	287.0	9.222	99.9	OVER
ENSG00000163982	OTOP1	133060	otopetrin 1	protein_coding	0.0726	-3.7641504234924366	-9.8737	0.7068	-9.966	287.0	8.644	99.9	OVER
ENSG00000146072	TNFRSF21	27242	TNF receptor superfamily member 21	protein_coding	654.9756	9.355299554948484	4.0284	0.6167	3.991	287.0	8.638	99.9	OVER
ENSG00000212659	KRTAP9-6	100507608	keratin associated protein 9-6	protein_coding	0.1105	-3.1648843847417822	-9.8534	0.775	-9.966	287.0	8.63	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.4184	-1.2536012334528568	-9.8146	1.0421	-9.966	287.0	8.215	99.9	OVER
