ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.5246	-0.9279628192271199	-9.9507	0.2593	-9.966	287.0	34.797	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.3522	-1.5014427519009834	-9.9439	0.3742	-9.966	287.0	22.561	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1801	-2.4651415485992816	-9.9453	0.3501	-9.966	287.0	21.366	100.0	OVER
ENSG00000116996	ZP4	57829	zona pellucida glycoprotein 4	protein_coding	0.2144	-2.214909845005242	-9.9334	0.3901	-9.966	287.0	19.786	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1407	-2.819088336631431	-9.9408	0.4273	-9.966	287.0	16.667	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.1423	-2.8028894852873036	-9.9405	0.4327	-9.966	287.0	16.496	100.0	OVER
ENSG00000123584	MAGEA9	4108	MAGE family member A9	protein_coding	2.3392	1.2266318318078906	-9.8752	0.6914	-9.966	287.0	16.057	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.2545	-1.9686048037244657	-9.8937	0.4959	-9.966	287.0	15.981	100.0	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.1507	-2.7207070093024157	-9.9276	0.4598	-9.966	287.0	15.674	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.0423	-4.529489164822724	-9.9354	0.366	-9.966	287.0	14.77	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.0763	-3.693387775624602	-9.9309	0.4228	-9.966	287.0	14.753	99.9	OVER
