ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	1.1335	0.18205660901025014	-9.9453	0.3501	-9.966	287.0	28.927	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	1.0145	0.022190239634065672	-9.9354	0.366	-9.966	287.0	27.207	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0856	-3.5294891648227247	-9.9507	0.2593	-9.966	287.0	24.764	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.5184	-0.9450820808710421	-9.9408	0.4273	-9.966	287.0	21.052	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.5704	-0.8074270586130774	-9.9402	0.4379	-9.966	287.0	20.856	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2928	-1.7670936989931696	-9.9408	0.4273	-9.966	287.0	19.129	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.2477	-2.0075215873325427	-9.9415	0.4152	-9.966	287.0	19.109	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.0802	-3.622376462364273	-9.9446	0.363	-9.966	287.0	17.417	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.4808	-1.0534937013109786	-9.9357	0.5125	-9.966	287.0	17.331	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.111	-3.158429362604483	-9.9423	0.4011	-9.966	287.0	16.913	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	1.7611	0.8172958002006254	-9.8885	0.6541	-9.966	287.0	16.367	99.9	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.112	-3.145605322246899	-9.9309	0.4228	-9.966	287.0	16.048	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	1.1785	0.2381754185773755	-9.8795	0.7304	-9.966	287.0	13.852	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	3.1618	1.6612023297627099	-9.8805	0.8416	-9.966	287.0	13.714	99.9	OVER
ENSG00000182070	OR52A1	23538	olfactory receptor family 52 subfamily A member 1	protein_coding	0.146	-2.7661119398257226	-9.9114	0.5365	-9.966	287.0	13.318	99.9	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0281	-5.102837036641166	-9.9439	0.3742	-9.966	287.0	12.937	99.9	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.0661	-3.8975434233492656	-9.9384	0.4671	-9.966	287.0	12.933	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0872	-3.5030775339919287	-9.8937	0.4959	-9.966	287.0	12.887	99.9	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	52.7294	5.720563035580597	-9.654	1.2021	-9.966	287.0	12.79	99.9	OVER
ENSG00000280709	LINC02203	727924	long intergenic non-protein coding RNA 2203	protein_coding	0.0426	-4.519528054772523	-9.9301	0.43	-9.966	287.0	12.583	99.9	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.3599	-1.4703289516522167	-9.8693	0.673	-9.966	287.0	12.48	99.9	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.0492	-4.316168825598678	-9.9276	0.4598	-9.966	287.0	12.204	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.1525	-2.7036894392919075	-9.9063	0.5927	-9.966	287.0	12.152	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	1.2283	0.29783703588664345	-9.8339	0.8384	-9.966	287.0	12.085	99.9	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0209	-5.512925319948276	-9.9439	0.3742	-9.966	287.0	11.841	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.1156	-3.100360306348953	-9.905	0.5987	-9.966	287.0	11.366	99.9	OVER
ENSG00000163530	DPPA2	151871	developmental pluripotency associated 2	protein_coding	9.3868	3.2307871066585148	-9.7063	1.1566	-9.966	287.0	11.185	99.9	OVER
ENSG00000182053	TRIM49B	283116	tripartite motif containing 49B	protein_coding	0.0901	-3.456405135747399	-9.8975	0.5786	-9.966	287.0	11.132	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.9015	0.9278964537288207	-9.8209	0.9975	-9.966	287.0	10.776	99.9	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.072	-3.77595972578207	-9.9182	0.5714	-9.966	287.0	10.749	99.8	OVER
ENSG00000189186	DCAF8L2	347442	DDB1 and CUL4 associated factor 8 like 2	protein_coding	0.5982	-0.7388904710906985	-9.805	0.854	-9.966	287.0	10.616	99.8	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	0.1093	-3.180495303958067	-9.9132	0.6361	-9.966	287.0	10.584	99.8	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0107	-6.417347659966045	-9.9462	0.3349	-9.966	287.0	10.537	99.8	OVER
ENSG00000181518	OR8D4	338662	olfactory receptor family 8 subfamily D member 4	protein_coding	0.0409	-4.576905945850098	-9.9128	0.5188	-9.966	287.0	10.285	99.8	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.062	-3.9885043611621707	-9.8895	0.5756	-9.966	287.0	10.252	99.8	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.1096	-3.1765767093147423	-9.8875	0.6628	-9.966	287.0	10.125	99.8	OVER
ENSG00000181961	OR4A16	81327	olfactory receptor family 4 subfamily A member 16	protein_coding	0.4203	-1.247080178987195	-9.842	0.8525	-9.966	287.0	10.082	99.8	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.0295	-5.035046947099201	-9.9162	0.4864	-9.966	287.0	10.035	99.8	OVER
ENSG00000227059	ANHX	647589	anomalous homeobox	protein_coding	0.1816	-2.4532413295652273	-9.8496	0.7393	-9.966	287.0	10.005	99.8	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	3.0474	1.6080522204669492	-9.8303	1.1477	-9.966	287.0	9.966	99.8	OVER
ENSG00000147381	MAGEA4	4103	MAGE family member A4	protein_coding	40.113	5.326033927717296	-9.5242	1.5136	-9.966	287.0	9.811	99.8	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.0315	-4.943416471633633	-9.923	0.5154	-9.966	287.0	9.662	99.8	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	4.0274	2.010206942869257	-9.6296	1.2076	-9.966	287.0	9.639	99.8	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	3.2395	1.6962164340563937	-9.6021	1.1741	-9.966	287.0	9.623	99.8	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	0.5635	-0.8249545138890862	-9.7382	0.9316	-9.966	287.0	9.568	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	2.9746	1.573180602789373	-9.7749	1.215	-9.966	287.0	9.34	99.8	OVER
ENSG00000176566	DCAF4L2	138009	DDB1 and CUL4 associated factor 4 like 2	protein_coding	7.1085	2.829748100929716	-9.5038	1.324	-9.966	287.0	9.315	99.8	OVER
ENSG00000176746	MAGEB6	158809	MAGE family member B6	protein_coding	0.2331	-2.0948031604374364	-9.8262	0.8314	-9.966	287.0	9.299	99.8	OVER
ENSG00000174564	IL20RB	53833	interleukin 20 receptor subunit beta	protein_coding	98.8658	6.62741423248882	0.0531	0.7212	0.0718	287.0	9.116	99.7	OVER
ENSG00000262085	OR1P1	8391	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene)	protein_coding	0.2612	-1.9312604093276948	-9.8365	0.896	-9.966	287.0	8.823	99.7	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.0709	-3.7978644191101516	-9.884	0.6921	-9.966	287.0	8.794	99.7	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.4975	-1.0043345902638912	-9.8325	1.006	-9.966	287.0	8.776	99.7	OVER
ENSG00000255223	OR5M11	219487	olfactory receptor family 5 subfamily M member 11	protein_coding	0.3818	-1.385337265063424	-9.8017	0.9735	-9.966	287.0	8.645	99.7	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	112.4796	6.813532385018968	3.0556	0.4353	3.052	287.0	8.633	99.7	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	1.8151	0.8608436440011057	-9.709	1.2335	-9.966	287.0	8.569	99.7	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1163	-3.091725081520941	-9.8844	0.7965	-9.966	287.0	8.528	99.7	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	0.374	-1.415037499278844	-9.7475	0.9772	-9.966	287.0	8.527	99.7	OVER
ENSG00000173852	DPY19L1	23333	dpy-19 like C-mannosyltransferase 1	protein_coding	168.9339	7.400323592844152	3.5226	0.4557	3.545	287.0	8.509	99.7	OVER
ENSG00000057019	DCBLD2	131566	discoidin, CUB and LCCL domain containing 2	protein_coding	109.7251	6.7777629230079635	3.1534	0.4262	3.183	287.0	8.504	99.7	OVER
