ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.9409	-0.08635419551878148	-9.9507	0.2593	-9.966	287.0	38.042	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.6753	-0.5642647411265316	-9.9408	0.4273	-9.966	287.0	21.944	100.0	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.409	-1.286304185156641	-9.9276	0.4598	-9.966	287.0	18.794	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.1024	-3.2736919092345147	-9.9439	0.3742	-9.966	287.0	17.825	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.176	-2.49817873457909	-9.9408	0.4273	-9.966	287.0	17.418	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.3313	-1.589441801857418	-9.8895	0.5756	-9.966	287.0	14.42	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0485	-4.3364276645824775	-9.9315	0.4128	-9.966	287.0	13.554	100.0	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0248	-5.276485124126196	-9.9439	0.3742	-9.966	287.0	12.473	100.0	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.3207	-1.636212158896711	-9.8693	0.673	-9.966	287.0	12.233	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.326	0.40816837070810624	-9.8805	0.8416	-9.966	287.0	12.225	100.0	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.1281	-2.953439094242259	-9.8955	0.594	-9.966	287.0	11.687	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	3.4918	1.8043840354413416	-9.8209	0.9975	-9.966	287.0	11.654	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.8299	-0.26725323784993865	-9.8339	0.8384	-9.966	287.0	11.411	99.9	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	10.1897	3.34918124863282	-9.654	1.2021	-9.966	287.0	10.817	99.9	OVER
ENSG00000113300	CNOT6	57472	CCR4-NOT transcription complex subunit 6	protein_coding	74.4637	6.218484772756878	2.9385	0.3142	2.911	287.0	10.439	99.9	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	2.0765	1.0548484769956197	-9.8093	1.0747	-9.966	287.0	10.109	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	649.1086	9.342318282832366	3.5934	0.5726	3.541	287.0	10.04	99.9	OVER
