ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.8426	-0.2453689997557579	-9.9423	0.4011	-9.966	287.0	24.176	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.3188	-1.6447581560691176	-9.9453	0.3501	-9.966	287.0	23.709	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.9481	-0.07536799299030335	-9.9384	0.4671	-9.966	287.0	21.115	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.9199	-0.11888359148809831	-9.9162	0.4864	-9.966	287.0	20.143	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0361	-4.752437002928646	-9.9507	0.2593	-9.966	287.0	20.047	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.247	-2.0115879742752116	-9.9408	0.4273	-9.966	287.0	18.557	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	8.4229	3.074488310252472	-9.8236	0.7189	-9.966	287.0	17.941	100.0	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.5471	-0.8674889602008046	-9.9182	0.5714	-9.966	287.0	15.84	100.0	OVER
ENSG00000204548	DEFB121	245934	defensin beta 121	protein_coding	0.0946	-3.386845571568701	-9.9408	0.4273	-9.966	287.0	15.338	100.0	OVER
ENSG00000249156	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12	protein_coding	0.7047	-0.5028730848963002	-9.9145	0.6167	-9.966	287.0	15.261	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.0963	-3.361416384768338	-9.9402	0.4379	-9.966	287.0	15.023	99.9	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.2028	-2.2947740433836357	-9.9357	0.5125	-9.966	287.0	14.909	99.9	OVER
ENSG00000237247	MBD3L5	284428	methyl-CpG binding domain protein 3 like 5	protein_coding	0.1408	-2.8180705623099334	-9.9061	0.5089	-9.966	287.0	13.928	99.9	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	0.3688	-1.4351828701452534	-9.9132	0.6361	-9.966	287.0	13.328	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	1.4124	0.4991698141152491	-9.8805	0.8416	-9.966	287.0	12.333	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.459	-1.1202942337177118	-9.8795	0.7304	-9.966	287.0	11.992	99.9	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0702	-3.8119789485830515	-9.9225	0.5205	-9.966	287.0	11.74	99.9	OVER
ENSG00000173572	NLRP13	126204	NLR family pyrin domain containing 13	protein_coding	3.2127	1.6842352592205208	-9.7168	1.0038	-9.966	287.0	11.358	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	2.5249	1.3367975241769874	-9.7475	0.9772	-9.966	287.0	11.343	99.9	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.6961	-0.5205624672645965	-9.7933	0.8383	-9.966	287.0	11.061	99.9	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	27.99	4.806891124108654	-9.5542	1.3409	-9.966	287.0	10.71	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	1.8407	0.8810380756740439	-9.8325	1.006	-9.966	287.0	10.65	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0577	-4.0904956864393975	-9.9187	0.567	-9.966	287.0	10.279	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.3847	-1.3744489489206877	-9.7845	0.8461	-9.966	287.0	9.94	99.9	OVER
ENSG00000182053	TRIM49B	283116	tripartite motif containing 49B	protein_coding	0.0507	-4.273691909234515	-9.8975	0.5786	-9.966	287.0	9.72	99.9	OVER
ENSG00000204505	PRAMEF9	343070	PRAME family member 9	protein_coding	0.0588	-4.063710705351345	-9.904	0.6043	-9.966	287.0	9.665	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	3.8596	1.948825083181327	-9.709	1.2335	-9.966	287.0	9.451	99.9	OVER
ENSG00000215262	KCNU1	157855	potassium calcium-activated channel subfamily U member 1	protein_coding	6.7805	2.7616044183780493	-9.4794	1.3395	-9.966	287.0	9.138	99.9	OVER
ENSG00000167104	BPIFB6	128859	BPI fold containing family B member 6	protein_coding	3.66	1.8722377736424585	-9.6945	1.2709	-9.966	287.0	9.101	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	164.1974	7.359296258892197	0.3222	0.7761	0.4125	287.0	9.067	99.8	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2032	-2.291945228671648	-9.8339	0.8384	-9.966	287.0	8.996	99.8	OVER
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	protein_coding	30.6652	4.938577501113843	0.1039	0.5391	0.1257	287.0	8.968	99.8	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0472	-4.374823043319488	-9.8885	0.6541	-9.966	287.0	8.429	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	4.2475	2.086953564887733	-9.4554	1.3777	-9.966	287.0	8.378	99.8	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.0982	-3.3335160691625743	-9.8844	0.7965	-9.966	287.0	8.225	99.8	OVER
ENSG00000258453	OR11H2	79334	olfactory receptor family 11 subfamily H member 2	protein_coding	0.0505	-4.2792837574788685	-9.8946	0.7	-9.966	287.0	8.022	99.8	OVER
ENSG00000229637	PRAC2	360205	PRAC2 small nuclear protein	protein_coding	3.0808	1.623773238111409	-9.6655	1.4451	-9.966	287.0	7.812	99.8	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	219.7158	7.779501375193844	0.6538	0.9122	0.6425	287.0	7.812	99.8	OVER
ENSG00000177689	MAGEB10	139422	MAGE family member B10	protein_coding	0.028	-5.107803289534515	-9.893	0.6158	-9.966	287.0	7.771	99.8	OVER
ENSG00000162482	AKR7A3	22977	aldo-keto reductase family 7 member A3	protein_coding	145.6898	7.1867659675653535	-0.2963	0.9642	-0.3022	287.0	7.761	99.8	OVER
ENSG00000120054	CPN1	1369	carboxypeptidase N subunit 1	protein_coding	4.926	2.300709471650097	-9.5328	1.5288	-9.966	287.0	7.74	99.8	OVER
ENSG00000214336	FOXI3	344167	forkhead box I3	protein_coding	28.7628	4.846182378418698	-9.1158	1.8231	-9.966	287.0	7.658	99.8	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	5.1002	2.3508366648108816	-9.2982	1.5632	-9.966	287.0	7.452	99.8	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.0374	-4.702749878828293	-9.8727	0.7042	-9.966	287.0	7.342	99.8	OVER
ENSG00000163053	SLC16A14	151473	solute carrier family 16 member 14	protein_coding	133.6353	7.062168134088627	0.6531	0.8742	0.7233	287.0	7.331	99.8	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	685.197	9.42037713017169	6.4366	0.4079	6.482	287.0	7.315	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	0.5378	-0.8921782440871464	-9.7749	1.215	-9.966	287.0	7.311	99.8	OVER
ENSG00000268799	H3Y2	340096	H3.Y histone 2	protein_coding	0.0493	-4.313297789743922	-9.8877	0.7633	-9.966	287.0	7.303	99.8	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.0134	-6.1177873781071375	-9.9351	0.5242	-9.966	287.0	7.282	99.7	OVER
ENSG00000128714	HOXD13	3239	homeobox D13	protein_coding	4.2165	2.0763880685128413	-9.3719	1.5842	-9.966	287.0	7.227	99.7	OVER
