ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	1.2128	0.2795307257299897	-9.9309	0.4228	-9.966	287.0	24.15	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.6756	-0.5636249177554612	-9.9423	0.4011	-9.966	287.0	23.382	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.424	-1.234465253637023	-9.9405	0.4327	-9.966	287.0	20.12	100.0	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.3981	-1.3251778160381777	-9.9259	0.4806	-9.966	287.0	17.896	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1748	-2.507993024406045	-9.9408	0.4273	-9.966	287.0	17.395	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	25.8567	4.692522050384956	-9.8805	0.8416	-9.966	287.0	17.316	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.0875	-3.49817873457909	-9.9439	0.3742	-9.966	287.0	17.225	100.0	OVER
ENSG00000181927	OR4P4	81300	olfactory receptor family 4 subfamily P member 4	protein_coding	0.0316	-4.938984225318372	-9.9453	0.3501	-9.966	287.0	14.3	100.0	OVER
ENSG00000231396	USP17L10	100287144	ubiquitin specific peptidase 17 like family member 10	protein_coding	0.0413	-4.5631985264295	-9.9233	0.4182	-9.966	287.0	12.817	100.0	OVER
ENSG00000196383	OR4Q2	390432	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)	protein_coding	0.0237	-5.339345147964772	-9.9446	0.363	-9.966	287.0	12.687	100.0	OVER
ENSG00000172324	OR5A2	219981	olfactory receptor family 5 subfamily A member 2	protein_coding	0.0558	-4.137965260044767	-9.9248	0.493	-9.966	287.0	11.738	99.9	OVER
ENSG00000169484	OR4K14	122740	olfactory receptor family 4 subfamily K member 14	protein_coding	0.0529	-4.213570916796944	-9.9248	0.493	-9.966	287.0	11.585	99.9	OVER
ENSG00000198104	OR2T6	254879	olfactory receptor family 2 subfamily T member 6	protein_coding	0.0141	-6.04930764022437	-9.9453	0.3501	-9.966	287.0	11.128	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	12.9674	3.6969285903246485	-9.709	1.2335	-9.966	287.0	10.868	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0109	-6.392894616241506	-9.9462	0.3349	-9.966	287.0	10.61	99.9	OVER
