ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.7179	-0.4761369911736502	-9.9423	0.4011	-9.966	287.0	23.601	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4457	-1.1626218402461934	-9.9408	0.4273	-9.966	287.0	20.543	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.1594	-2.640253953094529	-9.9439	0.3742	-9.966	287.0	19.518	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.4358	-1.194955238629597	-9.9162	0.4864	-9.966	287.0	17.93	100.0	OVER
ENSG00000228567	VN1R4	317703	vomeronasal 1 receptor 4	protein_coding	0.0573	-4.100360306348953	-9.9462	0.3349	-9.966	287.0	17.455	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0198	-5.587272661408357	-9.9507	0.2593	-9.966	287.0	16.828	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.1054	-3.23242994404826	-9.9402	0.4379	-9.966	287.0	15.318	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.069	-3.8365012677171206	-9.9309	0.4228	-9.966	287.0	14.414	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.7507	1.4603231909322487	-9.8805	0.8416	-9.966	287.0	13.475	100.0	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.026	-5.210896782498619	-9.9439	0.3742	-9.966	287.0	12.648	100.0	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	3.9279	1.9741254481885373	-9.7749	1.215	-9.966	287.0	9.67	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0775	-3.67116353577046	-9.8885	0.6541	-9.966	287.0	9.505	99.9	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.0523	-4.229720656790273	-9.9034	0.6108	-9.966	287.0	9.289	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0851	-3.5378429521526056	-9.8822	0.7085	-9.966	287.0	8.955	99.9	OVER
ENSG00000186103	ARGFX	503582	arginine-fifty homeobox	protein_coding	0.0476	-4.362899875943668	-9.9016	0.629	-9.966	287.0	8.806	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.1686	-2.5597919249862504	-9.7845	0.8461	-9.966	287.0	8.539	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0506	-4.276485124126196	-9.8875	0.6628	-9.966	287.0	8.466	99.9	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.5769	-0.7911082249738468	-9.8093	1.0747	-9.966	287.0	8.391	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0252	-5.2542893780119995	-9.908	0.566	-9.966	287.0	8.222	99.9	OVER
ENSG00000117148	ACTL8	81569	actin like 8	protein_coding	6.4424	2.6878221586432125	-9.511	1.4896	-9.966	287.0	8.189	99.9	OVER
ENSG00000204928	GRXCR2	643226	glutaredoxin and cysteine rich domain containing 2	protein_coding	0.1643	-2.5968413702571356	-9.836	0.8931	-9.966	287.0	8.106	99.9	OVER
ENSG00000179615	OR2AP1	121129	olfactory receptor family 2 subfamily AP member 1	protein_coding	0.0388	-4.651087759005801	-9.899	0.6537	-9.966	287.0	8.028	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.016	-5.878321443411748	-9.9225	0.5205	-9.966	287.0	7.77	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	439.7143	8.780425922120825	4.8475	0.5091	4.859	287.0	7.725	99.9	OVER
ENSG00000204887	KRTAP1-4	728255	keratin associated protein 1-4	protein_coding	0.1471	-2.7553564542606015	-9.8569	0.9194	-9.966	287.0	7.724	99.9	OVER
ENSG00000138068	SULT6B1	391365	sulfotransferase family 6B member 1	protein_coding	0.0906	-3.4485085914525055	-9.8452	0.8308	-9.966	287.0	7.699	99.9	OVER
ENSG00000185069	KRT76	51350	keratin 76	protein_coding	0.0949	-3.3823253745313187	-9.799	0.8406	-9.966	287.0	7.633	99.9	OVER
ENSG00000206102	KRTAP19-8	728299	keratin associated protein 19-8	protein_coding	0.1887	-2.3982084161379738	-9.8499	0.9805	-9.966	287.0	7.6	99.9	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.065	-3.9213901653036336	-9.8999	0.7903	-9.966	287.0	7.565	99.9	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.2123	-2.229044129208878	-9.7497	1.0005	-9.966	287.0	7.517	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.4297	-1.215244771307591	-9.83	1.1479	-9.966	287.0	7.505	99.8	OVER
ENSG00000165476	REEP3	221035	receptor accessory protein 3	protein_coding	130.6278	7.029329195668074	3.6409	0.4539	3.625	287.0	7.465	99.8	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	0.2326	-2.097887820669432	-9.8146	1.0421	-9.966	287.0	7.405	99.8	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.0277	-5.122805452873761	-9.8732	0.6551	-9.966	287.0	7.251	99.8	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0115	-6.321928094887363	-9.8937	0.4959	-9.966	287.0	7.203	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.0673	0.09531684153476941	-9.5576	1.3755	-9.966	287.0	7.018	99.8	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.2817	-1.822656211718274	-9.8303	1.1477	-9.966	287.0	6.977	99.8	OVER
ENSG00000204140	CLPSL1	340204	colipase like 1	protein_coding	2.977	1.5743437539200127	-9.574	1.6254	-9.966	287.0	6.859	99.8	OVER
ENSG00000182070	OR52A1	23538	olfactory receptor family 52 subfamily A member 1	protein_coding	0.0123	-6.23242994404826	-9.9114	0.5365	-9.966	287.0	6.857	99.8	OVER
ENSG00000173302	GPR148	344561	G protein-coupled receptor 148	protein_coding	0.0474	-4.368849142274855	-9.8498	0.8006	-9.966	287.0	6.846	99.8	OVER
ENSG00000123388	HOXC11	3227	homeobox C11	protein_coding	5.4945	2.4582507486365768	-9.2833	1.7255	-9.966	287.0	6.805	99.8	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	0.213	-2.22431729826094	-9.7483	1.1059	-9.966	287.0	6.803	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	0.9269	-0.10795876073902873	-9.4554	1.3777	-9.966	287.0	6.785	99.8	OVER
ENSG00000179456	ZBTB18	10472	zinc finger and BTB domain containing 18	protein_coding	62.7174	5.970816850426123	3.1724	0.4162	3.227	287.0	6.724	99.8	OVER
