ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2256	-2.141780233728934	-9.9408	0.4273	-9.966	287.0	18.252	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.624	1.3923174227787602	-9.8805	0.8416	-9.966	287.0	13.395	100.0	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0838	-3.5597919249862504	-9.9225	0.5205	-9.966	287.0	12.224	100.0	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	1.892	0.920674411041618	-9.7345	0.9741	-9.966	287.0	10.938	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0108	-6.405069330187608	-9.9462	0.3349	-9.966	287.0	10.574	100.0	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0264	-5.189680296588922	-9.9259	0.4806	-9.966	287.0	9.855	100.0	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	0.2162	-2.202903991745088	-9.872	0.7923	-9.966	287.0	9.68	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.2284	0.2979543901829532	-9.8303	1.1477	-9.966	287.0	8.825	100.0	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.0715	-3.7858751946471525	-9.884	0.6921	-9.966	287.0	8.811	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1456	-2.7700429914156373	-9.8339	0.8384	-9.966	287.0	8.425	100.0	OVER
ENSG00000181965	NEUROG1	4762	neurogenin 1	protein_coding	0.0389	-4.647467443327104	-9.8907	0.6355	-9.966	287.0	8.251	99.9	OVER
ENSG00000136839	OR13C9	286362	olfactory receptor family 13 subfamily C member 9	protein_coding	0.0684	-3.8489205269711886	-9.8676	0.7454	-9.966	287.0	8.074	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.5856	-0.7695510237924936	-9.83	1.1479	-9.966	287.0	7.893	99.9	OVER
ENSG00000235718	MFRP	83552	membrane frizzled-related protein	protein_coding	0.016	-5.878321443411748	-9.9351	0.5242	-9.966	287.0	7.739	99.9	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.0447	-4.451662024491379	-9.8727	0.7042	-9.966	287.0	7.698	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.2314	-2.1053180261449205	-9.8325	1.006	-9.966	287.0	7.681	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0126	-6.20024953829911	-9.8937	0.4959	-9.966	287.0	7.448	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.1742	-2.512925319948276	-9.8209	0.9975	-9.966	287.0	7.326	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0282	-5.097887820669432	-9.8885	0.6541	-9.966	287.0	7.324	99.9	OVER
ENSG00000163982	OTOP1	133060	otopetrin 1	protein_coding	0.033	-4.878321443411748	-9.8737	0.7068	-9.966	287.0	7.068	99.9	OVER
ENSG00000141946	ZIM3	114026	zinc finger imprinted 3	protein_coding	0.0249	-5.270904091862896	-9.8634	0.6548	-9.966	287.0	7.014	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	21.6475	4.436195160600026	1.5417	0.421	1.566	287.0	6.875	99.9	OVER
ENSG00000186458	DEFB132	400830	defensin beta 132	protein_coding	0.0307	-4.979373349410042	-9.8553	0.7143	-9.966	287.0	6.826	99.9	OVER
ENSG00000142538	PTH2	113091	parathyroid hormone 2	protein_coding	0.1441	-2.784880575482705	-9.8295	1.0329	-9.966	287.0	6.82	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	0.9499	-0.07263446472662155	-9.4554	1.3777	-9.966	287.0	6.81	99.9	OVER
ENSG00000204640	NMS	129521	neuromedin S	protein_coding	0.1349	-2.879382638782058	-9.8163	1.0269	-9.966	287.0	6.755	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	0.7555	-0.40258801244535	-9.5576	1.3755	-9.966	287.0	6.656	99.9	OVER
