ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	11.5716	3.532641124043912	-9.9162	0.4864	-9.966	287.0	27.65	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	6.5913	2.720781897658278	-9.9357	0.5125	-9.966	287.0	24.696	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.7019	-0.5086086399651578	-9.9408	0.4273	-9.966	287.0	22.074	100.0	OVER
ENSG00000116996	ZP4	57829	zona pellucida glycoprotein 4	protein_coding	0.2139	-2.218262612121666	-9.9334	0.3901	-9.966	287.0	19.777	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.2467	-2.0133342263030864	-9.9423	0.4011	-9.966	287.0	19.768	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.2607	-1.9340141705014147	-9.9408	0.4273	-9.966	287.0	18.738	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	2.4236	1.277746757355166	-9.8885	0.6541	-9.966	287.0	17.071	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.0639	-3.9456377115503107	-9.9439	0.3742	-9.966	287.0	16.03	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.0483	-4.342268543171538	-9.9453	0.3501	-9.966	287.0	16.004	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0159	-5.886832943267265	-9.9507	0.2593	-9.966	287.0	15.672	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.2549	-1.966347947510003	-9.9036	0.5342	-9.966	287.0	14.858	99.9	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0296	-5.0303245368567975	-9.9453	0.3501	-9.966	287.0	14.039	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	11.4002	3.511113773921053	-9.8209	0.9975	-9.966	287.0	13.365	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.0673	1.0484454589226904	-9.8805	0.8416	-9.966	287.0	12.986	99.9	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.4731	-1.076736701823054	-9.884	0.6921	-9.966	287.0	12.725	99.9	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.3333	-1.580784739932046	-9.8693	0.673	-9.966	287.0	12.316	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0159	-5.886832943267265	-9.9462	0.3349	-9.966	287.0	12.121	99.9	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.049	-4.321928094887363	-9.9384	0.4671	-9.966	287.0	12.024	99.9	OVER
ENSG00000182187	CRYGB	1419	crystallin gamma B	protein_coding	0.0762	-3.695255342281369	-9.9225	0.5205	-9.966	287.0	11.964	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	30.1535	4.914301408563139	-9.4554	1.3777	-9.966	287.0	10.43	99.9	OVER
ENSG00000230268	SSU72L6	136157	SSU72 like 6	protein_coding	0.0822	-3.5872726614083574	-9.915	0.6102	-9.966	287.0	10.37	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.4462	-1.1610079067062593	-9.8339	0.8384	-9.966	287.0	10.345	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	7.5986	2.925923485240019	-9.619	1.2528	-9.966	287.0	10.014	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	3.1614	1.6610198602701642	-9.8303	1.1477	-9.966	287.0	10.012	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0506	-4.276485124126196	-9.9187	0.567	-9.966	287.0	9.951	99.9	OVER
ENSG00000204021	LIPK	643414	lipase family member K	protein_coding	8.297	3.0527636572095633	-9.6277	1.3151	-9.966	287.0	9.642	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0277	-5.122805452873761	-9.8937	0.4959	-9.966	287.0	9.621	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.1344	-2.8847003559744526	-9.8795	0.7304	-9.966	287.0	9.577	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0812	-3.6047177958677667	-9.8875	0.6628	-9.966	287.0	9.479	99.9	OVER
ENSG00000154646	TMPRSS15	5651	transmembrane serine protease 15	protein_coding	0.8932	-0.16133054900680763	-9.6585	1.0276	-9.966	287.0	9.242	99.8	OVER
ENSG00000127515	OR7A10	390892	olfactory receptor family 7 subfamily A member 10	protein_coding	0.026	-5.210896782498619	-9.9232	0.5116	-9.966	287.0	9.211	99.8	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.0182	-5.702749878828293	-9.9276	0.4598	-9.966	287.0	9.188	99.8	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	41.6953	5.381847463965412	1.5417	0.421	1.566	287.0	9.121	99.8	OVER
ENSG00000165527	ARF6	382	ADP ribosylation factor 6	protein_coding	305.7578	8.256250211123172	4.8996	0.3716	4.928	287.0	9.033	99.8	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0256	-5.23242994404826	-9.9225	0.5205	-9.966	287.0	9.011	99.8	OVER
