ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	77.047	6.26768560285999	-9.9446	0.363	-9.966	287.0	44.662	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.8507	-0.23158274510390156	-9.9507	0.2593	-9.966	287.0	37.482	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	1.5516	0.6346861926698646	-9.9453	0.3501	-9.966	287.0	30.22	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	11.2258	3.488874866614148	-9.9384	0.4671	-9.966	287.0	28.746	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	6.0809	2.6045220954397172	-9.9357	0.5125	-9.966	287.0	24.469	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	3.8153	1.9321745863068012	-9.8937	0.4959	-9.966	287.0	23.847	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.2806	-1.828280760912152	-9.9354	0.366	-9.966	287.0	22.151	100.0	OVER
ENSG00000182053	TRIM49B	283116	tripartite motif containing 49B	protein_coding	2.0341	1.025099686854913	-9.8975	0.5786	-9.966	287.0	18.878	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2178	-2.1923153567568927	-9.9408	0.4273	-9.966	287.0	18.134	100.0	OVER
ENSG00000249156	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12	protein_coding	1.9402	0.9569487652147485	-9.9145	0.6167	-9.966	287.0	17.628	100.0	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	4.6766	2.225768496429597	-9.873	0.7006	-9.966	287.0	17.269	99.9	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0511	-4.262572817270941	-9.9462	0.3349	-9.966	287.0	16.971	99.9	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.781	-0.3547594873547347	-9.9182	0.5714	-9.966	287.0	16.737	99.9	OVER
ENSG00000184724	KRTAP6-1	337966	keratin associated protein 6-1	protein_coding	0.1173	-3.079478021209661	-9.9415	0.4152	-9.966	287.0	16.527	99.9	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	1.382	0.46780115648840687	-9.9132	0.6361	-9.966	287.0	16.32	99.9	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.0747	-3.7235628895637176	-9.9433	0.3842	-9.966	287.0	16.189	99.9	OVER
ENSG00000204548	DEFB121	245934	defensin beta 121	protein_coding	0.1013	-3.289121949804121	-9.9408	0.4273	-9.966	287.0	15.567	99.9	OVER
ENSG00000230268	SSU72L6	136157	SSU72 like 6	protein_coding	0.7016	-0.5092245183270782	-9.915	0.6102	-9.966	287.0	15.414	99.9	OVER
