ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3426	-1.5411980584109857	-9.9408	0.4273	-9.966	287.0	19.657	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.072	-3.77595972578207	-9.9453	0.3501	-9.966	287.0	17.622	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.6506	-0.6179414910239318	-9.8895	0.5756	-9.966	287.0	16.108	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.1945	2.847094940260557	-9.8805	0.8416	-9.966	287.0	15.123	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.1628	-2.6099927379084407	-9.9162	0.4864	-9.966	287.0	15.021	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0237	-5.339345147964772	-9.9462	0.3349	-9.966	287.0	13.756	100.0	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0311	-4.961282892427146	-9.9439	0.3742	-9.966	287.0	13.315	100.0	OVER
ENSG00000197674	OR51C1P	401661	olfactory receptor family 51 subfamily C member 1 pseudogene	protein_coding	0.0497	-4.301870442546109	-9.9205	0.5455	-9.966	287.0	10.3	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0205	-5.539519529959989	-9.9408	0.4273	-9.966	287.0	10.3	100.0	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.0995	-3.3147325934831584	-9.8732	0.6551	-9.966	287.0	10.011	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	2.3576	1.2379307695958008	-9.8303	1.1477	-9.966	287.0	9.644	99.9	OVER
ENSG00000204612	FOXB2	442425	forkhead box B2	protein_coding	0.0552	-4.153286059328523	-9.893	0.6158	-9.966	287.0	9.321	99.9	OVER
ENSG00000175325	PROP1	5626	PROP paired-like homeobox 1	protein_coding	0.098	-3.3364276645824775	-9.8727	0.7042	-9.966	287.0	9.282	99.9	OVER
ENSG00000115488	NEU2	4759	neuraminidase 2	protein_coding	0.0628	-3.97029976578458	-9.8885	0.6541	-9.966	287.0	9.048	99.9	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.0784	-3.6547171824064915	-9.884	0.6921	-9.966	287.0	9.001	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0605	-4.023269779322847	-9.8875	0.6628	-9.966	287.0	8.848	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1286	-2.947862376664825	-9.8844	0.7965	-9.966	287.0	8.709	99.9	OVER
ENSG00000184788	SATL1	340562	spermidine/spermine N1-acetyl transferase like 1	protein_coding	0.2668	-1.900772134225139	-9.7924	0.9241	-9.966	287.0	8.54	99.9	OVER
ENSG00000172457	OR9G4	283189	olfactory receptor family 9 subfamily G member 4	protein_coding	0.055	-4.158429362604483	-9.886	0.6739	-9.966	287.0	8.499	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.8992	-0.15168253016389796	-9.83	1.1479	-9.966	287.0	8.431	99.9	OVER
ENSG00000173302	GPR148	344561	G protein-coupled receptor 148	protein_coding	0.1132	-3.1303654441866064	-9.8498	0.8006	-9.966	287.0	8.393	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0281	-5.102837036641166	-9.9063	0.5927	-9.966	287.0	8.104	99.9	OVER
