ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.7938	-0.3313362222997793	-9.9408	0.4273	-9.966	287.0	22.489	100.0	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0811	-3.6064739677716444	-9.9439	0.3742	-9.966	287.0	16.936	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.0596	-4.044538396076498	-9.9354	0.366	-9.966	287.0	16.095	100.0	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.1797	-2.46833158868485	-9.9225	0.5205	-9.966	287.0	14.321	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.6789	1.4221791677741853	-9.8805	0.8416	-9.966	287.0	13.43	100.0	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0301	-5.006941609418847	-9.9439	0.3742	-9.966	287.0	13.193	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.0849	-3.541198058410986	-9.9162	0.4864	-9.966	287.0	13.107	100.0	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.3945	-1.3382504001892952	-9.8875	0.6628	-9.966	287.0	12.899	100.0	OVER
ENSG00000279301	OR2T11	127077	olfactory receptor family 2 subfamily T member 11	protein_coding	0.0248	-5.276485124126196	-9.9353	0.3759	-9.966	287.0	12.394	100.0	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.2161	-2.203568368934305	-9.8732	0.6551	-9.966	287.0	11.708	100.0	OVER
ENSG00000204279	PAGE3	139793	PAGE family member 3	protein_coding	1.355	0.4393571784742567	-9.8303	0.9314	-9.966	287.0	11.026	99.9	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0377	-4.69152262340504	-9.9259	0.4806	-9.966	287.0	10.891	99.9	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	5.3077	2.408358615610964	-9.7132	1.1408	-9.966	287.0	10.625	99.9	OVER
ENSG00000184814	PRR23B	389151	proline rich 23B	protein_coding	0.0493	-4.313297789743922	-9.9028	0.5331	-9.966	287.0	10.485	99.9	OVER
ENSG00000189023	MAGEB16	139604	MAGE family member B16	protein_coding	0.0942	-3.392894616241506	-9.8822	0.6323	-9.966	287.0	10.263	99.9	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.0833	-3.568323558607367	-9.8891	0.648	-9.966	287.0	9.754	99.9	OVER
ENSG00000204178	MACO1	55219	macoilin 1	protein_coding	82.2636	6.362199840341516	3.1803	0.3367	3.199	287.0	9.45	99.9	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	131.0884	7.034407222506767	3.8348	0.3454	3.88	287.0	9.263	99.9	OVER
ENSG00000236027	PATE3	100169851	prostate and testis expressed 3	protein_coding	0.1417	-2.808942760073686	-9.866	0.7737	-9.966	287.0	9.121	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	40.9585	5.356126199094337	1.5417	0.421	1.566	287.0	9.06	99.9	OVER
ENSG00000180269	GPR139	124274	G protein-coupled receptor 139	protein_coding	0.019	-5.643856189774724	-9.9259	0.4806	-9.966	287.0	8.91	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	121.2722	6.922116956235137	3.0556	0.4353	3.052	287.0	8.882	99.9	OVER
ENSG00000101577	LPIN2	9663	lipin 2	protein_coding	188.5984	7.559181276082531	4.0786	0.3925	4.074	287.0	8.868	99.9	OVER
ENSG00000166224	SGPL1	8879	sphingosine-1-phosphate lyase 1	protein_coding	84.7931	6.405891979995828	3.4319	0.3368	3.446	287.0	8.83	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.0388	-4.651087759005801	-9.8955	0.594	-9.966	287.0	8.829	99.9	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	34.135	5.093222110539024	2.6615	0.2775	2.678	287.0	8.763	99.9	OVER
ENSG00000152127	MGAT5	4249	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein_coding	68.1827	6.091354984579591	3.1757	0.3556	3.189	287.0	8.199	99.9	OVER
ENSG00000112238	PRDM13	59336	PR/SET domain 13	protein_coding	0.7232	-0.46553991807327183	-9.6705	1.1241	-9.966	287.0	8.189	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0403	-4.597714408130004	-9.8885	0.6541	-9.966	287.0	8.089	99.9	OVER
ENSG00000170540	ARL6IP1	23204	ADP ribosylation factor like GTPase 6 interacting protein 1	protein_coding	421.8324	8.720529519393468	5.7147	0.3753	5.744	287.0	8.009	99.8	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0278	-5.1177873781071375	-9.905	0.5987	-9.966	287.0	7.996	99.8	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	15.2018	3.926265153694165	-9.3977	1.7056	-9.966	287.0	7.812	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	2.2092	1.1441769243465265	-9.5576	1.3755	-9.966	287.0	7.78	99.8	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	49.0874	5.617310238782526	2.3781	0.4186	2.368	287.0	7.738	99.8	OVER
ENSG00000069018	TRPC7	57113	transient receptor potential cation channel subfamily C member 7	protein_coding	0.0496	-4.304718804855139	-9.8548	0.7175	-9.966	287.0	7.735	99.8	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	49.7167	5.635687652031083	-0.5099	0.7959	-0.4131	287.0	7.722	99.8	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	255.8144	7.998959306358908	3.5934	0.5726	3.541	287.0	7.694	99.8	OVER
ENSG00000156966	B3GNT7	93010	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	protein_coding	714.5875	9.480968886336488	3.8519	0.7318	3.948	287.0	7.692	99.8	OVER
ENSG00000214107	MAGEB1	4112	MAGE family member B1	protein_coding	0.9013	-0.14832090913019433	-9.6486	1.238	-9.966	287.0	7.674	99.8	OVER
ENSG00000123364	HOXC13	3229	homeobox C13	protein_coding	25.5059	4.672815665470585	-9.1998	1.8082	-9.966	287.0	7.672	99.8	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	92.5606	6.532341897665899	2.9104	0.4736	2.917	287.0	7.648	99.8	OVER
ENSG00000213064	SFT2D2	375035	SFT2 domain containing 2	protein_coding	55.2536	5.788022670177623	3.2057	0.3386	3.214	287.0	7.626	99.8	OVER
ENSG00000113583	C5orf15	56951	chromosome 5 open reading frame 15	protein_coding	252.612	7.980785074952986	4.7684	0.423	4.801	287.0	7.594	99.8	OVER
ENSG00000123388	HOXC11	3227	homeobox C11	protein_coding	13.6019	3.765842347069845	-9.2833	1.7255	-9.966	287.0	7.563	99.8	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	1.8921	0.9207506211280512	-9.4554	1.3777	-9.966	287.0	7.532	99.8	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	0.0459	-4.414268267034073	-9.8236	0.7189	-9.966	287.0	7.524	99.8	OVER
ENSG00000067177	PHKA1	5255	phosphorylase kinase regulatory subunit alpha 1	protein_coding	24.8535	4.635435175646213	0.7943	0.5123	0.8488	287.0	7.498	99.8	OVER
ENSG00000185305	ARL15	54622	ADP ribosylation factor like GTPase 15	protein_coding	72.0406	6.170758317864368	2.9908	0.4263	2.971	287.0	7.459	99.8	OVER
ENSG00000143320	CRABP2	1382	cellular retinoic acid binding protein 2	protein_coding	1898.5935	10.890716093620863	2.1308	1.1849	1.997	287.0	7.393	99.7	OVER
ENSG00000091844	RGS17	26575	regulator of G protein signaling 17	protein_coding	18.6118	4.218223197154738	-2.0021	0.8428	-2.053	287.0	7.381	99.7	OVER
ENSG00000011638	LDAF1	57146	lipid droplet assembly factor 1	protein_coding	392.8775	8.61793940925857	4.3552	0.5805	4.39	287.0	7.343	99.7	OVER
ENSG00000177888	ZBTB41	360023	zinc finger and BTB domain containing 41	protein_coding	19.6384	4.295678949680139	1.3324	0.4056	1.34	287.0	7.306	99.7	OVER
ENSG00000152332	UHMK1	127933	U2AF homology motif kinase 1	protein_coding	86.4285	6.4334519100504535	3.845	0.3549	3.851	287.0	7.293	99.7	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	167.1739	7.385214444108367	0.9907	0.887	1.112	287.0	7.209	99.7	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	78.6075	6.29661341557512	3.4078	0.4011	3.416	287.0	7.202	99.7	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	58.8414	5.87878418576096	3.2377	0.367	3.254	287.0	7.196	99.7	OVER
ENSG00000143776	CDC42BPA	8476	CDC42 binding protein kinase alpha	protein_coding	95.3712	6.575496891862979	3.7533	0.3939	3.76	287.0	7.165	99.7	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	295.5517	8.207271590058395	5.7393	0.3488	5.736	287.0	7.076	99.7	OVER
ENSG00000157064	NMNAT2	23057	nicotinamide nucleotide adenylyltransferase 2	protein_coding	47.5354	5.570960744932424	-1.0702	0.9407	-1.056	287.0	7.06	99.7	OVER
ENSG00000148943	LIN7C	55327	lin-7 homolog C, crumbs cell polarity complex component	protein_coding	33.8877	5.0827323897344785	2.7826	0.3265	2.808	287.0	7.045	99.7	OVER
ENSG00000112697	TMEM30A	55754	transmembrane protein 30A	protein_coding	367.4558	8.521430839480995	5.7928	0.3907	5.809	287.0	6.984	99.7	OVER
ENSG00000116711	PLA2G4A	5321	phospholipase A2 group IVA	protein_coding	135.8426	7.085802787239204	2.3367	0.6891	2.319	287.0	6.892	99.7	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.1245	-2.994240730711315	-9.8209	0.9975	-9.966	287.0	6.844	99.7	OVER
ENSG00000181333	HEPHL1	341208	hephaestin like 1	protein_coding	128.8719	7.009805108663782	-5.9403	1.8937	-5.574	287.0	6.839	99.7	OVER
ENSG00000206053	JPT2	90861	Jupiter microtubule associated homolog 2	protein_coding	237.4443	7.891451389500981	4.2063	0.539	4.218	287.0	6.837	99.7	OVER
ENSG00000125827	TMX4	56255	thioredoxin related transmembrane protein 4	protein_coding	76.0852	6.249562906080673	3.5697	0.3925	3.592	287.0	6.828	99.7	OVER
ENSG00000153779	TGIF2LX	90316	TGFB induced factor homeobox 2 like X-linked	protein_coding	0.0958	-3.368849142274855	-9.8169	0.9477	-9.966	287.0	6.804	99.7	OVER
ENSG00000183826	BTBD9	114781	BTB domain containing 9	protein_coding	50.7621	5.665708269229209	2.403	0.4812	2.452	287.0	6.78	99.7	OVER
ENSG00000166123	GPT2	84706	glutamic--pyruvic transaminase 2	protein_coding	112.5412	6.814322260682578	1.3252	0.8105	1.264	287.0	6.773	99.6	OVER
ENSG00000139263	LRIG3	121227	leucine rich repeats and immunoglobulin like domains 3	protein_coding	177.2034	7.469270616350332	3.4075	0.6006	3.424	287.0	6.763	99.6	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.0222	-5.429731384421877	-9.8422	0.6548	-9.966	287.0	6.739	99.6	OVER
ENSG00000141424	SLC39A6	25800	solute carrier family 39 member 6	protein_coding	103.8018	6.697701549574875	3.6193	0.457	3.65	287.0	6.736	99.6	OVER
ENSG00000188991	SLC15A5	729025	solute carrier family 15 member 5	protein_coding	1.1835	0.24427819857814406	-9.4207	1.4386	-9.966	287.0	6.718	99.6	OVER
ENSG00000186103	ARGFX	503582	arginine-fifty homeobox	protein_coding	0.0185	-5.680382065799838	-9.9016	0.629	-9.966	287.0	6.711	99.6	OVER
ENSG00000068697	LAPTM4A	9741	lysosomal protein transmembrane 4 alpha	protein_coding	1279.8451	10.321754622921949	7.8727	0.3662	7.903	287.0	6.688	99.6	OVER
ENSG00000164251	F2RL1	2150	F2R like trypsin receptor 1	protein_coding	66.7869	6.06151484741886	1.4425	0.7011	1.491	287.0	6.588	99.6	OVER
ENSG00000196341	OR8D1	283159	olfactory receptor family 8 subfamily D member 1	protein_coding	0.0769	-3.68223286148778	-9.8195	0.9368	-9.966	287.0	6.551	99.6	OVER
ENSG00000124767	GLO1	2739	glyoxalase I	protein_coding	349.139	8.447661841697755	5.7223	0.4165	5.761	287.0	6.543	99.6	OVER
ENSG00000168930	TRIM49	57093	tripartite motif containing 49	protein_coding	0.2593	-1.9417527831453374	-9.6844	1.1837	-9.966	287.0	6.541	99.6	OVER
ENSG00000143756	FBXO28	23219	F-box protein 28	protein_coding	41.9331	5.390051987807028	3.0018	0.3678	3.006	287.0	6.493	99.6	OVER
ENSG00000172057	ORMDL3	94103	ORMDL sphingolipid biosynthesis regulator 3	protein_coding	254.5454	7.991784851766661	5.272	0.4189	5.315	287.0	6.493	99.6	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.0475	-4.365871442474959	-9.7933	0.8383	-9.966	287.0	6.474	99.6	OVER
ENSG00000167977	KCTD5	54442	potassium channel tetramerization domain containing 5	protein_coding	138.9952	7.11890163160053	3.7449	0.5214	3.786	287.0	6.471	99.6	OVER
ENSG00000096696	DSP	1832	desmoplakin	protein_coding	146.5051	7.1948169244327405	2.2317	0.7675	2.281	287.0	6.467	99.6	OVER
ENSG00000169895	SYAP1	94056	synapse associated protein 1	protein_coding	64.2653	6.005990509454056	3.2997	0.4191	3.297	287.0	6.457	99.6	OVER
