ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.5124	-0.9618447989740312	-9.9446	0.363	-9.966	287.0	24.746	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.176	-2.49817873457909	-9.9433	0.3842	-9.966	287.0	19.378	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1466	-2.7602353734890532	-9.9408	0.4273	-9.966	287.0	16.805	100.0	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0299	-5.016249351645075	-9.9439	0.3742	-9.966	287.0	13.168	100.0	OVER
ENSG00000204279	PAGE3	139793	PAGE family member 3	protein_coding	1.7295	0.7911889415033605	-9.8303	0.9314	-9.966	287.0	11.404	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.3959	-1.3331525325496165	-9.8805	0.8416	-9.966	287.0	10.156	100.0	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.0404	-4.594225422050124	-9.9055	0.5914	-9.966	287.0	8.981	100.0	OVER
ENSG00000131264	CDX4	1046	caudal type homeobox 4	protein_coding	0.0456	-4.423526234895169	-9.8936	0.6128	-9.966	287.0	8.926	100.0	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.2975	0.37684601401632034	-9.8303	1.1477	-9.966	287.0	8.894	100.0	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0184	-5.687799537362322	-9.9225	0.5205	-9.966	287.0	8.136	100.0	OVER
ENSG00000253148	RGS21	431704	regulator of G protein signaling 21	protein_coding	0.0385	-4.662003536484984	-9.8797	0.6493	-9.966	287.0	8.036	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.6185	-0.6908238125214854	-9.83	1.1479	-9.966	287.0	7.962	99.9	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.0749	-3.719756304133983	-9.8999	0.7903	-9.966	287.0	7.82	99.9	OVER
ENSG00000206102	KRTAP19-8	728299	keratin associated protein 19-8	protein_coding	0.2173	-2.1956159645586584	-9.8499	0.9805	-9.966	287.0	7.807	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	26.5159	4.728840219657607	1.5417	0.421	1.566	287.0	7.57	99.9	OVER
ENSG00000236027	PATE3	100169851	prostate and testis expressed 3	protein_coding	0.0523	-4.229720656790273	-9.866	0.7737	-9.966	287.0	7.285	99.9	OVER
ENSG00000197746	PSAP	5660	prosaposin	protein_coding	7295.4012	12.832771801660678	9.7518	0.4248	9.764	287.0	7.253	99.9	OVER
ENSG00000100600	LGMN	5641	legumain	protein_coding	1486.1356	10.537351013651145	6.6755	0.5528	6.697	287.0	6.986	99.9	OVER
ENSG00000142538	PTH2	113091	parathyroid hormone 2	protein_coding	0.1522	-2.706511797624492	-9.8295	1.0329	-9.966	287.0	6.896	99.9	OVER
ENSG00000189186	DCAF8L2	347442	DDB1 and CUL4 associated factor 8 like 2	protein_coding	0.0621	-3.9862161845669	-9.805	0.854	-9.966	287.0	6.814	99.9	OVER
ENSG00000184735	DDX53	168400	DEAD-box helicase 53	protein_coding	0.2474	-2.009262921328968	-9.6065	1.1359	-9.966	287.0	6.688	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	0.7704	-0.3744489489206877	-9.5576	1.3755	-9.966	287.0	6.676	99.9	OVER
ENSG00000196743	GM2A	2760	ganglioside GM2 activator	protein_coding	398.0977	8.636982350059512	4.4258	0.6314	4.422	287.0	6.67	99.9	OVER
ENSG00000229924	FAM90A26	100287045	family with sequence similarity 90 member A26	protein_coding	0.1109	-3.1597180585730555	-9.7429	0.9929	-9.966	287.0	6.63	99.9	OVER
ENSG00000278889	OR2S2	56656	olfactory receptor family 2 subfamily S member 2	protein_coding	0.3299	-1.5955328032369105	-9.7069	1.2503	-9.966	287.0	6.488	99.9	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	111.9436	6.806641126709151	3.8461	0.4636	3.897	287.0	6.386	99.9	OVER
ENSG00000152034	MCHR2	84539	melanin concentrating hormone receptor 2	protein_coding	0.1826	-2.4453620361356414	-9.6972	1.1615	-9.966	287.0	6.244	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	0.2318	-2.1028370366411653	-9.709	1.2335	-9.966	287.0	6.166	99.9	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.0815	-3.599462070416271	-9.7497	1.0005	-9.966	287.0	6.147	99.9	OVER
ENSG00000182415	CDY2A	9426	chromodomain Y-linked 2A	protein_coding	0.0287	-5.073393258748683	-9.805	0.782	-9.966	287.0	6.051	99.8	OVER
ENSG00000077585	GPR137B	7107	G protein-coupled receptor 137B	protein_coding	91.9395	6.522628606871522	3.7291	0.466	3.77	287.0	5.995	99.8	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	0.592	-0.7538959901160834	-9.623	1.5205	-9.966	287.0	5.833	99.8	OVER
ENSG00000101160	CTSZ	1522	cathepsin Z	protein_coding	3110.7471	11.603045858706809	7.9942	0.6199	7.962	287.0	5.822	99.8	OVER
ENSG00000177504	VCX2	51480	variable charge X-linked 2	protein_coding	0.0848	-3.5428785420499036	-9.7831	1.0856	-9.966	287.0	5.748	99.8	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	0.1856	-2.4219791086976907	-9.619	1.2528	-9.966	287.0	5.745	99.8	OVER
ENSG00000204021	LIPK	643414	lipase family member K	protein_coding	0.2303	-2.112162828913259	-9.6277	1.3151	-9.966	287.0	5.715	99.8	OVER
ENSG00000087086	FTL	2512	ferritin light chain	protein_coding	84183.44	16.36124886062514	12.8994	0.6059	12.9	287.0	5.714	99.8	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.0256	-5.23242994404826	-9.8339	0.8384	-9.966	287.0	5.488	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	0.1131	-3.131629303260768	-9.7749	1.215	-9.966	287.0	5.468	99.8	OVER
ENSG00000179163	FUCA1	2517	alpha-L-fucosidase 1	protein_coding	372.7041	8.541890750441615	4.4044	0.7717	4.454	287.0	5.362	99.8	OVER
ENSG00000151176	PLBD2	196463	phospholipase B domain containing 2	protein_coding	118.9246	6.8939154937367775	4.5405	0.4413	4.538	287.0	5.333	99.8	OVER
ENSG00000170340	B3GNT2	10678	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein_coding	99.1514	6.6315757884326905	3.8461	0.5234	3.888	287.0	5.322	99.8	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0131	-6.148161027150656	-9.8822	0.7085	-9.966	287.0	5.27	99.8	OVER
ENSG00000135677	GNS	2799	glucosamine (N-acetyl)-6-sulfatase	protein_coding	221.4764	7.791015680557715	5.8185	0.3761	5.83	287.0	5.245	99.8	OVER
ENSG00000064419	TNPO3	23534	transportin 3	protein_coding	41.3118	5.368516937923808	3.7777	0.3035	3.793	287.0	5.242	99.8	OVER
ENSG00000169575	VPREB1	7441	V-set pre-B cell surrogate light chain 1	protein_coding	0.1063	-3.220278018792927	-9.7313	1.2434	-9.966	287.0	5.236	99.8	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.0407	-4.583808806104786	-9.8325	1.006	-9.966	287.0	5.217	99.8	OVER
ENSG00000197172	MAGEA6	4105	MAGE family member A6	protein_coding	1.9655	0.9756301862808237	-9.1835	1.9474	-9.966	287.0	5.217	99.8	OVER
ENSG00000152127	MGAT5	4249	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein_coding	32.4362	5.01957738545187	3.1757	0.3556	3.189	287.0	5.185	99.7	OVER
ENSG00000131238	PPT1	5538	palmitoyl-protein thioesterase 1	protein_coding	413.4506	8.691574642443642	5.9793	0.5266	6.004	287.0	5.151	99.7	OVER
ENSG00000189348	FAM90A27P	646508	family with sequence similarity 90 member A27, pseudogene	protein_coding	0.05	-4.293358942690591	-9.7848	1.0828	-9.966	287.0	5.072	99.7	OVER
ENSG00000177885	GRB2	2885	growth factor receptor bound protein 2	protein_coding	199.7968	7.642396887286616	5.844	0.355	5.856	287.0	5.066	99.7	OVER
ENSG00000196800	SPINK14	408187	serine peptidase inhibitor Kazal type 14 (putative)	protein_coding	1.645	0.7189643357595386	-9.4789	2.014	-9.966	287.0	5.063	99.7	OVER
ENSG00000146409	SLC18B1	116843	solute carrier family 18 member B1	protein_coding	55.3396	5.790266380547048	2.5531	0.64	2.595	287.0	5.058	99.7	OVER
ENSG00000109851	DBX1	120237	developing brain homeobox 1	protein_coding	0.0556	-4.143054136717567	-9.7473	1.1089	-9.966	287.0	5.054	99.7	OVER
ENSG00000125356	NDUFA1	4694	NADH:ubiquinone oxidoreductase subunit A1	protein_coding	360.3809	8.493382744111582	6.4366	0.4079	6.482	287.0	5.042	99.7	OVER
ENSG00000106410	NOBOX	135935	NOBOX oogenesis homeobox	protein_coding	0.0327	-4.891107598367591	-9.765	0.9695	-9.966	287.0	5.027	99.7	OVER
ENSG00000057252	SOAT1	6646	sterol O-acyltransferase 1	protein_coding	73.3107	6.195971554978825	3.6552	0.5054	3.661	287.0	5.027	99.7	OVER
ENSG00000213401	MAGEA12	4111	MAGE family member A12	protein_coding	1.6525	0.7255230455290277	-9.1014	1.9549	-9.966	287.0	5.027	99.7	OVER
ENSG00000121351	IAPP	3375	islet amyloid polypeptide	protein_coding	0.0964	-3.359934417467107	-9.647	1.2618	-9.966	287.0	4.983	99.7	OVER
ENSG00000236980	C3orf84	646498	chromosome 3 open reading frame 84	protein_coding	0.7842	-0.3488679220832783	-9.455	1.8313	-9.966	287.0	4.972	99.7	OVER
ENSG00000106038	EVX1	2128	even-skipped homeobox 1	protein_coding	0.1029	-3.2667324406452374	-9.6083	1.2904	-9.966	287.0	4.914	99.7	OVER
ENSG00000110031	LPXN	9404	leupaxin	protein_coding	115.8865	6.85658115076482	4.3846	0.5062	4.4	287.0	4.883	99.7	OVER
ENSG00000198443	KRTAP4-1	85285	keratin associated protein 4-1	protein_coding	0.5011	-0.9939533698815852	-9.458	1.7368	-9.966	287.0	4.873	99.7	OVER
ENSG00000144959	NCEH1	57552	neutral cholesterol ester hydrolase 1	protein_coding	68.5434	6.098966899152311	2.6265	0.7142	2.642	287.0	4.862	99.7	OVER
ENSG00000155252	PI4K2A	55361	phosphatidylinositol 4-kinase type 2 alpha	protein_coding	58.2205	5.86348010395787	3.8913	0.4061	3.907	287.0	4.856	99.7	OVER
ENSG00000137714	FDX1	2230	ferredoxin 1	protein_coding	41.7305	5.383064872753675	3.1681	0.4567	3.188	287.0	4.85	99.7	OVER
ENSG00000107798	LIPA	3988	lipase A, lysosomal acid type	protein_coding	533.6031	9.059625941430175	5.5541	0.7283	5.526	287.0	4.813	99.7	OVER
ENSG00000111802	TDP2	51567	tyrosyl-DNA phosphodiesterase 2	protein_coding	91.949	6.522777669524576	4.6677	0.3865	4.689	287.0	4.8	99.6	OVER
ENSG00000170915	PAQR8	85315	progestin and adipoQ receptor family member 8	protein_coding	20.9162	4.386617838610289	1.5469	0.5932	1.609	287.0	4.787	99.6	OVER
ENSG00000158966	CACHD1	57685	cache domain containing 1	protein_coding	39.3658	5.298907540131053	2.5957	0.5648	2.649	287.0	4.786	99.6	OVER
ENSG00000165527	ARF6	382	ADP ribosylation factor 6	protein_coding	102.0384	6.672982510688102	4.8996	0.3716	4.928	287.0	4.772	99.6	OVER
ENSG00000264364	DYNLL2	140735	dynein light chain LC8-type 2	protein_coding	59.8531	5.903378169910322	4.2313	0.3521	4.264	287.0	4.749	99.6	OVER
ENSG00000104808	DHDH	27294	dihydrodiol dehydrogenase	protein_coding	54.1547	5.759041287364639	0.2635	1.1578	0.3907	287.0	4.747	99.6	OVER
ENSG00000112308	C6orf62	81688	chromosome 6 open reading frame 62	protein_coding	229.5603	7.842735639262237	5.7905	0.4333	5.823	287.0	4.736	99.6	OVER
ENSG00000180113	TDRD6	221400	tudor domain containing 6	protein_coding	8.7728	3.133201820296419	-0.5478	0.7799	-0.5125	287.0	4.72	99.6	OVER
ENSG00000214107	MAGEB1	4112	MAGE family member B1	protein_coding	0.0701	-3.8140066299300344	-9.6486	1.238	-9.966	287.0	4.713	99.6	OVER
ENSG00000186645	SPDYE17	102723849	speedy/RINGO cell cycle regulator family member E17	protein_coding	0.0957	-3.370340300072608	-9.7117	1.3454	-9.966	287.0	4.713	99.6	OVER
ENSG00000213699	SLC35F6	54978	solute carrier family 35 member F6	protein_coding	106.2901	6.731876991503481	3.9132	0.5985	4.052	287.0	4.71	99.6	OVER
ENSG00000138071	ACTR2	10097	actin related protein 2	protein_coding	204.272	7.674354716702927	5.7912	0.4009	5.82	287.0	4.697	99.6	OVER
ENSG00000259916	AQP7B	100509620	aquaporin 7B	protein_coding	0.2647	-1.9121298670589428	-9.47	1.6146	-9.966	287.0	4.681	99.6	OVER
ENSG00000143412	ANXA9	8416	annexin A9	protein_coding	13.0897	3.710470339575197	0.1371	0.7636	0.2522	287.0	4.68	99.6	OVER
ENSG00000173376	NDNF	79625	neuron derived neurotrophic factor	protein_coding	204.1744	7.673665243865376	4.7279	0.6307	4.775	287.0	4.671	99.6	OVER
ENSG00000126821	SGPP1	81537	sphingosine-1-phosphate phosphatase 1	protein_coding	28.5387	4.834898264641928	2.9068	0.4139	2.951	287.0	4.658	99.6	OVER
ENSG00000146072	TNFRSF21	27242	TNF receptor superfamily member 21	protein_coding	119.076	6.895750969976557	4.0284	0.6167	3.991	287.0	4.65	99.6	OVER
ENSG00000113300	CNOT6	57472	CCR4-NOT transcription complex subunit 6	protein_coding	21.0674	4.39700885044204	2.9385	0.3142	2.911	287.0	4.642	99.6	OVER
ENSG00000213064	SFT2D2	375035	SFT2 domain containing 2	protein_coding	27.2613	4.768835375982033	3.2057	0.3386	3.214	287.0	4.616	99.6	OVER
ENSG00000204287	HLA-DRA	3122	major histocompatibility complex, class II, DR alpha	protein_coding	9702.4544	13.244134180944213	9.866	0.7327	9.962	287.0	4.611	99.5	OVER
ENSG00000266412	NCOA4	8031	nuclear receptor coactivator 4	protein_coding	229.5754	7.842830533212898	5.6953	0.4716	5.732	287.0	4.554	99.5	OVER
ENSG00000198246	SLC29A3	55315	solute carrier family 29 member 3	protein_coding	53.005	5.728083769286037	2.1187	0.7927	2.254	287.0	4.553	99.5	OVER
ENSG00000120457	KCNJ5	3762	potassium inwardly rectifying channel subfamily J member 5	protein_coding	64.5145	6.011573907929989	0.0352	1.3154	0.2029	287.0	4.543	99.5	OVER
ENSG00000070748	CHAT	1103	choline O-acetyltransferase	protein_coding	0.0419	-4.542878542049904	-9.7132	1.1408	-9.966	287.0	4.532	99.5	OVER
