ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.294	-1.7612131404128835	-9.9423	0.4011	-9.966	287.0	20.397	100.0	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	1.3533	0.4375473552877845	-9.9036	0.5342	-9.966	287.0	19.358	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.3042	-1.7121731327149188	-9.9408	0.4273	-9.966	287.0	19.257	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.1561	-2.670244914255253	-9.9162	0.4864	-9.966	287.0	14.897	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	18.1241	4.179917049689754	-9.7475	0.9772	-9.966	287.0	14.252	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.4638	1.3014705874899017	-9.8805	0.8416	-9.966	287.0	13.287	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0222	-5.429731384421877	-9.9453	0.3501	-9.966	287.0	12.898	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	4.2744	2.096059402693328	-9.8209	0.9975	-9.966	287.0	11.947	100.0	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.15	-2.727379545337008	-9.8422	0.6548	-9.966	287.0	10.866	100.0	OVER
ENSG00000182447	OTOL1	131149	otolin 1	protein_coding	0.3598	-1.4707287562940683	-9.8528	0.7797	-9.966	287.0	10.75	100.0	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.1277	-2.9579160413287475	-9.8891	0.648	-9.966	287.0	10.696	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1234	-3.006941609418847	-9.8885	0.6541	-9.966	287.0	10.521	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0603	-4.027969115858668	-9.9187	0.567	-9.966	287.0	10.389	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.3616	-1.4635491698052914	-9.8339	0.8384	-9.966	287.0	9.984	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0547	-4.166178862209418	-9.8895	0.5756	-9.966	287.0	9.943	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.1916	-2.37632039170599	-9.8195	0.7757	-9.966	287.0	9.595	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.2055	-2.2757863132426417	-9.8844	0.7965	-9.966	287.0	9.553	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	3.3775	1.7563828551197653	-9.7749	1.215	-9.966	287.0	9.491	99.9	OVER
ENSG00000205409	OR52E6	390078	olfactory receptor family 52 subfamily E member 6	protein_coding	0.2919	-1.7715199016700827	-9.8403	0.8656	-9.966	287.0	9.322	99.9	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	0.7948	-0.32952219585571196	-9.7782	1.0515	-9.966	287.0	8.986	99.9	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.4732	-1.0764324320674414	-9.7497	1.0005	-9.966	287.0	8.669	99.9	OVER
ENSG00000008513	ST3GAL1	6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein_coding	238.9554	7.900603597763427	4.4749	0.3958	4.478	287.0	8.655	99.9	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.053	-4.210896782498619	-9.8732	0.6551	-9.966	287.0	8.643	99.9	OVER
ENSG00000106436	MYL10	93408	myosin light chain 10	protein_coding	0.1092	-3.1818038709782916	-9.8634	0.7734	-9.966	287.0	8.639	99.9	OVER
ENSG00000244020	MT1HL1	645745	metallothionein 1H like 1	protein_coding	1.691	0.7587295684578627	-9.788	1.222	-9.966	287.0	8.631	99.9	OVER
ENSG00000224586	GPX5	2880	glutathione peroxidase 5	protein_coding	0.5595	-0.8352137218566603	-9.7344	1.0711	-9.966	287.0	8.308	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.8074	-0.30685877316971405	-9.8303	1.1477	-9.966	287.0	8.298	99.9	OVER
ENSG00000143369	ECM1	1893	extracellular matrix protein 1	protein_coding	1233.6299	10.268695092121096	4.884	0.6537	4.934	287.0	8.237	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0241	-5.316168825598678	-9.908	0.566	-9.966	287.0	8.113	99.9	OVER
ENSG00000069188	SDK2	54549	sidekick cell adhesion molecule 2	protein_coding	152.8272	7.255766965127428	0.1277	0.8804	0.1648	287.0	8.096	99.8	OVER
ENSG00000125255	SLC10A2	6555	solute carrier family 10 member 2	protein_coding	127.0355	6.989099260027228	-8.837	1.9588	-9.966	287.0	8.079	99.8	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	168.6922	7.398258009730958	1.2184	0.7739	1.299	287.0	7.985	99.8	OVER
ENSG00000183269	OR52E8	390079	olfactory receptor family 52 subfamily E member 8	protein_coding	0.054	-4.184424571137427	-9.8813	0.7144	-9.966	287.0	7.974	99.8	OVER
ENSG00000105438	KDELR1	10945	KDEL endoplasmic reticulum protein retention receptor 1	protein_coding	566.9497	9.147079478808529	6.8414	0.2969	6.869	287.0	7.766	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.5132	-0.9595984847157933	-9.83	1.1479	-9.966	287.0	7.728	99.8	OVER
ENSG00000165376	CLDN2	9075	claudin 2	protein_coding	1536.8382	10.585750507922063	-3.4033	1.8561	-3.171	287.0	7.537	99.8	OVER
ENSG00000158966	CACHD1	57685	cache domain containing 1	protein_coding	115.4223	6.850790673735487	2.5957	0.5648	2.649	287.0	7.534	99.8	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.2028	-2.2947740433836357	-9.8325	1.006	-9.966	287.0	7.493	99.8	OVER
ENSG00000105131	EPHX3	79852	epoxide hydrolase 3	protein_coding	72.563	6.181182079710621	0.8536	0.7253	0.8805	287.0	7.345	99.8	OVER
ENSG00000123388	HOXC11	3227	homeobox C11	protein_coding	9.9548	3.315537248608788	-9.2833	1.7255	-9.966	287.0	7.302	99.8	OVER
ENSG00000249581	CLRN2	645104	clarin 2	protein_coding	0.9751	-0.03489913755643652	-9.6676	1.3234	-9.966	287.0	7.279	99.8	OVER
ENSG00000167346	MMP26	56547	matrix metallopeptidase 26	protein_coding	0.0438	-4.480357457491845	-9.8782	0.7453	-9.966	287.0	7.243	99.8	OVER
ENSG00000054793	ATP9A	10079	ATPase phospholipid transporting 9A (putative)	protein_coding	92.0171	6.523845762707818	2.8305	0.5108	2.876	287.0	7.231	99.8	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	37.5013	5.228907173078284	-0.5099	0.7959	-0.4131	287.0	7.21	99.8	OVER
ENSG00000183049	CAMK1D	57118	calcium/calmodulin dependent protein kinase ID	protein_coding	89.6069	6.485554023469405	2.4847	0.5562	2.478	287.0	7.193	99.8	OVER
ENSG00000123584	MAGEA9	4108	MAGE family member A9	protein_coding	0.0316	-4.938984225318372	-9.8752	0.6914	-9.966	287.0	7.139	99.8	OVER
ENSG00000169840	GSX1	219409	GS homeobox 1	protein_coding	0.0629	-3.968040258602455	-9.8276	0.8211	-9.966	287.0	7.136	99.8	OVER
ENSG00000164300	SERINC5	256987	serine incorporator 5	protein_coding	66.5357	6.05607840998558	3.0776	0.4177	3.072	287.0	7.131	99.8	OVER
ENSG00000112699	GMDS	2762	GDP-mannose 4,6-dehydratase	protein_coding	183.0624	7.5161995706610405	3.6429	0.5445	3.603	287.0	7.113	99.7	OVER
ENSG00000164603	BMT2	154743	base methyltransferase of 25S rRNA 2 homolog	protein_coding	27.9131	4.802922136713327	1.4961	0.4663	1.465	287.0	7.092	99.7	OVER
