ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.2031	-2.2926519125167304	-9.9507	0.2593	-9.966	287.0	29.534	100.0	OVER
ENSG00000176774	MAGEB18	286514	MAGE family member B18	protein_coding	0.204	-2.286304185156641	-9.9487	0.2924	-9.966	287.0	26.205	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.3163	-1.6560805736318116	-9.9408	0.4273	-9.966	287.0	19.389	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.2106	-2.2405884674354235	-9.9423	0.4011	-9.966	287.0	19.201	100.0	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.0983	-3.3320624720210756	-9.9354	0.366	-9.966	287.0	18.042	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.2282	-2.1253210507925444	-9.9357	0.5125	-9.966	287.0	15.24	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	6.5316	2.7076573042601613	-9.8805	0.8416	-9.966	287.0	14.957	100.0	OVER
ENSG00000198573	SPANXC	64663	SPANX family member C	protein_coding	59.7968	5.902020502597119	-9.7767	1.2009	-9.966	287.0	13.056	100.0	OVER
ENSG00000120242	IFNA8	3445	interferon alpha 8	protein_coding	0.0576	-4.092955525127201	-9.9267	0.471	-9.966	287.0	12.386	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	3.7869	1.9213982443732411	-9.7475	0.9772	-9.966	287.0	11.941	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0327	-4.891107598367591	-9.9408	0.4273	-9.966	287.0	11.818	99.9	OVER
ENSG00000176746	MAGEB6	158809	MAGE family member B6	protein_coding	0.8219	-0.281210971980016	-9.8262	0.8314	-9.966	287.0	11.481	99.9	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	127.329	6.992428559934366	-0.6859	0.674	-0.6643	287.0	11.392	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.1592	-2.6420539471407394	-9.8885	0.6541	-9.966	287.0	11.078	99.9	OVER
ENSG00000054796	SPO11	23626	SPO11 initiator of meiotic double strand breaks	protein_coding	0.0338	-4.844768883700721	-9.9276	0.4598	-9.966	287.0	11.054	99.9	OVER
