ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.4176	-1.2563557832937402	-9.9439	0.3742	-9.966	287.0	23.216	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.6175	-0.6931544996857172	-9.9408	0.4273	-9.966	287.0	21.642	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	1.142	0.19282540355239092	-9.9162	0.4864	-9.966	287.0	20.783	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.3225	-1.6281623826695795	-9.9423	0.4011	-9.966	287.0	20.728	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.2332	-2.0941870190482343	-9.9408	0.4273	-9.966	287.0	18.363	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	20.0044	4.322317569971632	-9.8805	0.8416	-9.966	287.0	16.876	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	0.135	-2.8783214434117474	-9.9405	0.4327	-9.966	287.0	16.321	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.6149	-0.6992319667196912	-9.8795	0.7304	-9.966	287.0	12.569	100.0	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.4434	-1.1700692781603574	-9.8339	0.8384	-9.966	287.0	10.334	100.0	OVER
ENSG00000254466	OR4D10	390197	olfactory receptor family 4 subfamily D member 10	protein_coding	0.0253	-5.248793390257147	-9.9259	0.4806	-9.966	287.0	9.732	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0542	-4.1791879227712805	-9.8885	0.6541	-9.966	287.0	8.729	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	0.4188	-1.2522259282572952	-9.8209	0.9975	-9.966	287.0	8.59	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	2.1968	1.1360601068802663	-9.619	1.2528	-9.966	287.0	8.585	99.9	OVER
ENSG00000276380	UBE2NL	389898	ubiquitin conjugating enzyme E2 N like (gene/pseudogene)	protein_coding	0.0531	-4.208227595722634	-9.8875	0.6628	-9.966	287.0	8.569	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.5441	0.6277002134276267	-9.7749	1.215	-9.966	287.0	8.562	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1127	-3.1366958406572016	-9.8844	0.7965	-9.966	287.0	8.472	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0265	-5.184424571137427	-9.908	0.566	-9.966	287.0	8.346	99.9	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.1137	-3.1240627035336246	-9.8689	0.8183	-9.966	287.0	8.242	99.9	OVER
ENSG00000163235	TGFA	7039	transforming growth factor alpha	protein_coding	99.1611	6.631716919231576	1.2391	0.659	1.299	287.0	8.183	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	1.196	0.2594231522814147	-9.709	1.2335	-9.966	287.0	8.081	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	29.8766	4.900992359240734	1.5417	0.421	1.566	287.0	7.979	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.5906	-0.7573060424503817	-9.8303	1.1477	-9.966	287.0	7.905	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0246	-5.28771237954945	-9.9063	0.5927	-9.966	287.0	7.792	99.9	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	2.0289	1.0214086569387069	-9.5576	1.3755	-9.966	287.0	7.691	99.9	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0252	-5.2542893780119995	-9.9039	0.6087	-9.966	287.0	7.639	99.9	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.4505	-1.1472021071812288	-9.83	1.1479	-9.966	287.0	7.564	99.9	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	9.4848	3.245769450744031	-9.3977	1.7056	-9.966	287.0	7.413	99.9	OVER
