ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	7.2597	2.8601086443430317	-9.9402	0.4379	-9.966	287.0	29.231	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0552	-4.153286059328523	-9.9507	0.2593	-9.966	287.0	22.358	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.5095	-0.9700171337842857	-9.9408	0.4273	-9.966	287.0	20.994	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.3409	-1.548353672116055	-9.9415	0.4152	-9.966	287.0	20.215	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0486	-4.333516069162574	-9.9462	0.3349	-9.966	287.0	16.759	100.0	OVER
ENSG00000188324	OR6C6	283365	olfactory receptor family 6 subfamily C member 6	protein_coding	0.0367	-4.729291666280785	-9.9462	0.3349	-9.966	287.0	15.578	100.0	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	1.5412	0.6249898730984709	-9.8822	0.7085	-9.966	287.0	14.83	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.0344	-4.820106829466452	-9.9453	0.3501	-9.966	287.0	14.639	100.0	OVER
ENSG00000224902	GAGE12H	729442	G antigen 12H	protein_coding	1.2711	0.34721208558564465	-9.8936	0.7064	-9.966	287.0	14.497	100.0	OVER
ENSG00000176979	TRIM60	166655	tripartite motif containing 60	protein_coding	1.3331	0.4158668105232147	-9.8596	0.7327	-9.966	287.0	14.024	100.0	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	1.9179	0.9402795300516903	-9.8689	0.8183	-9.966	287.0	13.209	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	504.701	8.979287993439725	4.2061	0.3668	4.212	287.0	13.013	99.9	OVER
