ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.1406	-2.820106829466452	-9.9507	0.2593	-9.966	287.0	27.499	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.5698	-0.808942760073686	-9.9315	0.4128	-9.966	287.0	22.099	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.1415	-2.810966175609983	-9.9439	0.3742	-9.966	287.0	19.062	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2121	-2.230397501766746	-9.9408	0.4273	-9.966	287.0	18.044	100.0	OVER
ENSG00000212938	KRTAP6-3	337968	keratin associated protein 6-3	protein_coding	0.0838	-3.5597919249862504	-9.9423	0.4011	-9.966	287.0	15.913	100.0	OVER
ENSG00000188784	PLA2G2E	30814	phospholipase A2 group IIE	protein_coding	0.0679	-3.859352206845158	-9.9433	0.3842	-9.966	287.0	15.835	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	10.8418	3.4386654553145446	-9.8805	0.8416	-9.966	287.0	15.826	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	0.0937	-3.4004917640810643	-9.9402	0.4379	-9.966	287.0	14.934	100.0	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	17.0122	4.088582616837217	-9.7345	0.9741	-9.966	287.0	14.191	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0456	-4.423526234895169	-9.9408	0.4273	-9.966	287.0	12.912	100.0	OVER
ENSG00000177468	OLIG3	167826	oligodendrocyte transcription factor 3	protein_coding	7.5474	2.9161708753397906	-9.75	0.9957	-9.966	287.0	12.721	99.9	OVER
ENSG00000187754	SSX7	280658	SSX family member 7	protein_coding	0.0795	-3.63486740654747	-9.9123	0.5267	-9.966	287.0	11.918	99.9	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.7675	-0.3798828349713158	-9.7845	0.8461	-9.966	287.0	11.115	99.9	OVER
ENSG00000147381	MAGEA4	4103	MAGE family member A4	protein_coding	106.0841	6.729078229009105	-9.5242	1.5136	-9.966	287.0	10.738	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	1.845	0.8844025529836871	-9.8209	0.9975	-9.966	287.0	10.732	99.9	OVER
ENSG00000123569	H2BW1	158983	H2B.W histone 1	protein_coding	3.3383	1.7395457097742246	-9.7806	1.1011	-9.966	287.0	10.462	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0561	-4.130365444186607	-9.9187	0.567	-9.966	287.0	10.209	99.9	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	6.4146	2.6815841954078863	-9.619	1.2528	-9.966	287.0	9.818	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0088	-6.673002535434241	-9.9462	0.3349	-9.966	287.0	9.774	99.9	OVER
