ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	2.3352	1.2241637873416638	-9.9507	0.2593	-9.966	287.0	43.096	100.0	OVER
ENSG00000146047	H2BC1	255626	H2B clustered histone 1	protein_coding	26.8364	4.746173005292869	-9.9402	0.4379	-9.966	287.0	33.538	100.0	OVER
ENSG00000280090	OR8B4	283162	olfactory receptor family 8 subfamily B member 4	protein_coding	0.2625	-1.9241251330248723	-9.9473	0.3163	-9.966	287.0	25.366	100.0	OVER
ENSG00000187026	KRTAP21-2	337978	keratin associated protein 21-2	protein_coding	1.5338	0.6180506700533437	-9.9405	0.4327	-9.966	287.0	24.402	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	2.3821	1.2528394913842968	-9.9384	0.4671	-9.966	287.0	23.959	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.4448	-1.165531478289697	-9.9408	0.4273	-9.966	287.0	20.537	100.0	OVER
ENSG00000220948	TRIM51G	120824	tripartite motif-containing 51G	protein_coding	0.12	-3.0469210473874924	-9.9453	0.3501	-9.966	287.0	19.704	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2931	-1.7656213106623853	-9.9408	0.4273	-9.966	287.0	19.132	100.0	OVER
ENSG00000212938	KRTAP6-3	337968	keratin associated protein 6-3	protein_coding	0.2043	-2.284194467440847	-9.9423	0.4011	-9.966	287.0	19.093	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.2617	-1.9285118944158177	-9.9309	0.4228	-9.966	287.0	18.927	100.0	OVER
ENSG00000228567	VN1R4	317703	vomeronasal 1 receptor 4	protein_coding	0.062	-3.9885043611621707	-9.9462	0.3349	-9.966	287.0	17.789	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	1.3222	0.40403113962182524	-9.8955	0.594	-9.966	287.0	17.339	99.9	OVER
ENSG00000186924	KRTAP22-1	337979	keratin associated protein 22-1	protein_coding	0.439	-1.1844245711374275	-9.9355	0.5166	-9.966	287.0	16.94	99.9	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.1111	-3.1571418167440224	-9.9423	0.4011	-9.966	287.0	16.916	99.9	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0429	-4.5096352500140915	-9.9462	0.3349	-9.966	287.0	16.233	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.2245	-2.148800661406706	-9.8937	0.4959	-9.966	287.0	15.618	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	1.9965	0.998195503153252	-9.8795	0.7304	-9.966	287.0	14.893	99.9	OVER
ENSG00000205884	DEFB136	613210	defensin beta 136	protein_coding	0.5483	-0.8643338030309561	-9.9296	0.617	-9.966	287.0	14.692	99.9	OVER
ENSG00000116996	ZP4	57829	zona pellucida glycoprotein 4	protein_coding	0.0525	-4.2243172982609405	-9.9334	0.3901	-9.966	287.0	14.635	99.9	OVER
ENSG00000250782	TAF11L14	112488740	TATA-box binding protein associated factor 11 like 14	protein_coding	0.547	-0.8677522017015602	-9.9132	0.6361	-9.966	287.0	14.22	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.5877	-0.764395467236701	-9.8885	0.6541	-9.966	287.0	13.949	99.9	OVER
ENSG00000260734	TLE7	102723796	TLE family member 7	protein_coding	4.9369	2.3038976200033927	-9.8495	0.8779	-9.966	287.0	13.844	99.9	OVER
ENSG00000187754	SSX7	280658	SSX family member 7	protein_coding	0.1455	-2.7710274302398394	-9.9123	0.5267	-9.966	287.0	13.559	99.9	OVER
ENSG00000184571	PIWIL3	440822	piwi like RNA-mediated gene silencing 3	protein_coding	10.713	3.4214252960575524	-9.7345	0.9741	-9.966	287.0	13.506	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.048	1.0349199843491597	-9.8805	0.8416	-9.966	287.0	12.97	99.9	OVER
ENSG00000206260	PRR23A	729627	proline rich 23A	protein_coding	0.0282	-5.097887820669432	-9.9439	0.3742	-9.966	287.0	12.95	99.9	OVER
ENSG00000182053	TRIM49B	283116	tripartite motif containing 49B	protein_coding	0.1803	-2.4635491698052916	-9.8975	0.5786	-9.966	287.0	12.848	99.9	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	0.2988	-1.7379277116015897	-9.9005	0.639	-9.966	287.0	12.774	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	7.1814	2.8444660013660954	-9.8209	0.9975	-9.966	287.0	12.697	99.9	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0482	-4.34519787421021	-9.929	0.4438	-9.966	287.0	12.582	99.8	OVER
ENSG00000187857	OR6C75	390323	olfactory receptor family 6 subfamily C member 75	protein_coding	0.0711	-3.793856930308627	-9.9247	0.4942	-9.966	287.0	12.406	99.8	OVER
ENSG00000186925	KRTAP19-6	337973	keratin associated protein 19-6	protein_coding	0.5907	-0.7570621997994355	-9.9023	0.7636	-9.966	287.0	11.976	99.8	OVER
ENSG00000227059	ANHX	647589	anomalous homeobox	protein_coding	0.4544	-1.1347938034128269	-9.8496	0.7393	-9.966	287.0	11.788	99.8	OVER
ENSG00000251608	OR12D1	26530	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	protein_coding	0.1139	-3.121549296903336	-9.9055	0.5914	-9.966	287.0	11.471	99.8	OVER
ENSG00000176566	DCAF4L2	138009	DDB1 and CUL4 associated factor 4 like 2	protein_coding	51.2631	5.679876961989822	-9.5038	1.324	-9.966	287.0	11.468	99.8	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0911	-3.4406550334581136	-9.908	0.566	-9.966	287.0	11.426	99.8	OVER
ENSG00000182898	TCHHL1	126637	trichohyalin like 1	protein_coding	1.8019	0.8503193781873066	-9.7432	0.9281	-9.966	287.0	11.414	99.8	OVER
ENSG00000181518	OR8D4	338662	olfactory receptor family 8 subfamily D member 4	protein_coding	0.0614	-4.002310160687201	-9.9128	0.5188	-9.966	287.0	11.393	99.8	OVER
ENSG00000054796	SPO11	23626	SPO11 initiator of meiotic double strand breaks	protein_coding	0.0356	-4.772012541265407	-9.9276	0.4598	-9.966	287.0	11.213	99.8	OVER
ENSG00000206102	KRTAP19-8	728299	keratin associated protein 19-8	protein_coding	1.6347	0.7099081711402665	-9.8499	0.9805	-9.966	287.0	10.77	99.8	OVER
ENSG00000213921	LEUTX	342900	leucine twenty homeobox	protein_coding	0.0721	-3.773984783597012	-9.9182	0.5714	-9.966	287.0	10.753	99.8	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.47	-1.0862010350493039	-9.8689	0.8183	-9.966	287.0	10.733	99.8	OVER
ENSG00000275663	H4C7	8369	H4 clustered histone 7	protein_coding	0.1683	-2.5623461216538077	-9.9088	0.6848	-9.966	287.0	10.728	99.8	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0763	-3.693387775624602	-9.9063	0.5927	-9.966	287.0	10.482	99.8	OVER
ENSG00000234828	IQCM	285423	IQ motif containing M	protein_coding	0.1351	-2.8772610280454547	-9.8693	0.673	-9.966	287.0	10.389	99.8	OVER
ENSG00000230522	MBD3L2	125997	methyl-CpG binding domain protein 3 like 2	protein_coding	0.1639	-2.6003366961119823	-9.8647	0.7059	-9.966	287.0	10.291	99.8	OVER
ENSG00000174667	OR7D4	125958	olfactory receptor family 7 subfamily D member 4	protein_coding	0.0782	-3.6583557594698397	-9.9039	0.6087	-9.966	287.0	10.26	99.8	OVER
ENSG00000164508	H2AC1	221613	H2A clustered histone 1	protein_coding	0.7797	-0.3571598252133146	-9.8564	0.9268	-9.966	287.0	10.25	99.8	OVER
ENSG00000239620	PRR20G	100419008	proline rich 20G	protein_coding	55.8154	5.80261717254048	-9.626	1.5112	-9.966	287.0	10.21	99.7	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.1187	-3.0625049426059476	-9.8864	0.6718	-9.966	287.0	10.158	99.7	OVER
ENSG00000204703	OR2B3	442184	olfactory receptor family 2 subfamily B member 3	protein_coding	0.1175	-3.077041035763828	-9.8864	0.6718	-9.966	287.0	10.136	99.7	OVER
ENSG00000221826	PSG3	5671	pregnancy specific beta-1-glycoprotein 3	protein_coding	8.4904	3.0860024344079227	-9.6514	1.2619	-9.966	287.0	10.094	99.7	OVER
ENSG00000117148	ACTL8	81569	actin like 8	protein_coding	44.5757	5.478217913148232	-9.511	1.4896	-9.966	287.0	10.063	99.7	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	7.6116	2.9283892745534876	-9.619	1.2528	-9.966	287.0	10.015	99.7	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	46.3676	5.53507626318815	-9.623	1.5205	-9.966	287.0	9.969	99.7	OVER
ENSG00000153779	TGIF2LX	90316	TGFB induced factor homeobox 2 like X-linked	protein_coding	0.7323	-0.4475245555089671	-9.8169	0.9477	-9.966	287.0	9.886	99.7	OVER
ENSG00000187005	KRTAP21-1	337977	keratin associated protein 21-1	protein_coding	0.6278	-0.6693268772908428	-9.8279	0.9474	-9.966	287.0	9.667	99.7	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	3.6983	1.8872523026144308	-9.654	1.2021	-9.966	287.0	9.601	99.7	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	0.5641	-0.823421905698683	-9.7382	0.9316	-9.966	287.0	9.569	99.7	OVER
ENSG00000249156	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12	protein_coding	0.0597	-4.042159673293767	-9.9145	0.6167	-9.966	287.0	9.522	99.7	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	430.7951	8.750861378988025	5.5015	0.3448	5.526	287.0	9.424	99.7	OVER
ENSG00000174564	IL20RB	53833	interleukin 20 receptor subunit beta	protein_coding	110.088	6.782526513007032	0.0531	0.7212	0.0718	287.0	9.331	99.7	OVER
ENSG00000204363	SPANXN5	494197	SPANX family member N5	protein_coding	0.9109	-0.13305246941640167	-9.7582	1.0444	-9.966	287.0	9.216	99.7	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	0.0886	-3.4803574574918454	-9.873	0.7006	-9.966	287.0	9.125	99.7	OVER
ENSG00000256229	ZNF486	90649	zinc finger protein 486	protein_coding	53.6493	5.7455143331068514	0.8526	0.5448	0.8726	287.0	8.981	99.7	OVER
ENSG00000123584	MAGEA9	4108	MAGE family member A9	protein_coding	0.0716	-3.783886641553699	-9.8752	0.6914	-9.966	287.0	8.81	99.7	OVER
