ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.1942	-2.356975041986563	-9.9462	0.3349	-9.966	287.0	22.661	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0476	-4.362899875943668	-9.9507	0.2593	-9.966	287.0	21.55	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.5935	-0.7502512849164311	-9.9408	0.4273	-9.966	287.0	21.508	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	1.5512	0.6343144598564476	-9.8937	0.4959	-9.966	287.0	21.23	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	1.2447	0.31695666818183027	-9.9162	0.4864	-9.966	287.0	21.039	100.0	OVER
ENSG00000132446	FTHL17	53940	ferritin heavy chain like 17	protein_coding	0.1784	-2.4787482046301883	-9.9446	0.363	-9.966	287.0	20.567	100.0	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.1653	-2.5881399262621803	-9.9415	0.4152	-9.966	287.0	17.71	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.0725	-3.7661119398257226	-9.9453	0.3501	-9.966	287.0	17.65	100.0	OVER
ENSG00000225396	FAM236D	105373251	family with sequence similarity 236 member D	protein_coding	0.1559	-2.6720827425813516	-9.9415	0.4152	-9.966	287.0	17.508	100.0	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.1246	-2.9930916306578226	-9.9309	0.4228	-9.966	287.0	16.409	100.0	OVER
ENSG00000150244	TRIM48	79097	tripartite motif containing 48	protein_coding	2.5087	1.3275149202001995	-9.873	0.7006	-9.966	287.0	15.987	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	2.5196	1.333767191658224	-9.8795	0.7304	-9.966	287.0	15.352	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.857	2.9741621677966	-9.8805	0.8416	-9.966	287.0	15.274	99.9	OVER
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	0.046	-4.411195432984449	-9.9354	0.366	-9.966	287.0	15.093	99.9	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0454	-4.429731384421877	-9.9315	0.4128	-9.966	287.0	13.328	99.9	OVER
ENSG00000235608	NKX1-1	54729	NK1 homeobox 1	protein_coding	0.0536	-4.194955238629597	-9.929	0.4438	-9.966	287.0	12.92	99.9	OVER
ENSG00000203733	GJE1	100126572	gap junction protein epsilon 1	protein_coding	0.0788	-3.6474674433271037	-9.9247	0.4942	-9.966	287.0	12.702	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	3.4375	1.7817793455930309	-9.7475	0.9772	-9.966	287.0	11.798	99.9	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.1977	-2.3313362222997793	-9.8864	0.6718	-9.966	287.0	11.246	99.9	OVER
ENSG00000181214	OR8G2P	26492	olfactory receptor family 8 subfamily G member 2 pseudogene	protein_coding	0.1544	-2.6859415911417392	-9.8994	0.651	-9.966	287.0	11.081	99.9	OVER
ENSG00000215474	SKOR2	652991	SKI family transcriptional corepressor 2	protein_coding	0.0522	-4.23242994404826	-9.9036	0.5342	-9.966	287.0	10.616	99.9	OVER
ENSG00000149651	SPINT4	391253	serine peptidase inhibitor, Kunitz type 4	protein_coding	2.2375	1.162532318241457	-9.8146	1.0421	-9.966	287.0	10.534	99.9	OVER
ENSG00000233701	PRR23C	389152	proline rich 23C	protein_coding	0.0259	-5.216250016992825	-9.9201	0.4475	-9.966	287.0	10.511	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	6.9681	2.8009723563270557	-9.7749	1.215	-9.966	287.0	10.351	99.9	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	243.0245	7.924963889586872	4.2061	0.3668	4.212	287.0	10.139	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0932	-3.408129129936666	-9.8885	0.6541	-9.966	287.0	9.907	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.0599	-4.037413961643117	-9.8955	0.594	-9.966	287.0	9.862	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	16.4655	4.041462033725733	-9.4554	1.3777	-9.966	287.0	9.797	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0565	-4.120294233717712	-9.9063	0.5927	-9.966	287.0	9.762	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	885.6333	9.790567287550966	4.8475	0.5091	4.859	287.0	9.709	99.8	OVER
ENSG00000189023	MAGEB16	139604	MAGE family member B16	protein_coding	0.0727	-3.76219157045438	-9.8822	0.6323	-9.966	287.0	9.679	99.8	OVER
ENSG00000198876	DCAF12	25853	DDB1 and CUL4 associated factor 12	protein_coding	142.2645	7.152442034256798	3.8348	0.3454	3.88	287.0	9.605	99.8	OVER
ENSG00000073711	PPP2R3A	5523	protein phosphatase 2 regulatory subunit B''alpha	protein_coding	41.1645	5.363363844189877	1.0325	0.4575	1.064	287.0	9.466	99.8	OVER
ENSG00000124089	MC3R	4159	melanocortin 3 receptor	protein_coding	0.1997	-2.3168874781868323	-9.8605	0.8169	-9.966	287.0	9.234	99.8	OVER
ENSG00000170279	C7orf33	202865	chromosome 7 open reading frame 33	protein_coding	0.3129	-1.6716230659673341	-9.8387	0.8852	-9.966	287.0	9.226	99.8	OVER
