ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	10.3888	3.3770959780240686	-9.9162	0.4864	-9.966	287.0	27.33	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.0604	-4.02561753417927	-9.9507	0.2593	-9.966	287.0	22.85	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.5216	-0.9362209702294287	-9.9423	0.4011	-9.966	287.0	22.453	100.0	OVER
ENSG00000240542	KRTAP9-1	728318	keratin associated protein 9-1	protein_coding	0.3242	-1.6206008374744216	-9.9439	0.3742	-9.966	287.0	22.243	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4372	-1.190338610559227	-9.9408	0.4273	-9.966	287.0	20.478	100.0	OVER
ENSG00000236396	SLC35G4	646000	solute carrier family 35 member G4	protein_coding	0.12	-3.0469210473874924	-9.9423	0.4011	-9.966	287.0	17.191	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.1044	-3.2460532279122347	-9.9408	0.4273	-9.966	287.0	15.668	100.0	OVER
ENSG00000131068	DEFB118	117285	defensin beta 118	protein_coding	0.1039	-3.2529134169721816	-9.9301	0.43	-9.966	287.0	15.528	100.0	OVER
ENSG00000204007	GLT6D1	360203	glycosyltransferase 6 domain containing 1	protein_coding	0.1591	-2.6429547870331924	-9.9267	0.471	-9.966	287.0	15.464	100.0	OVER
ENSG00000171487	NLRP5	126206	NLR family pyrin domain containing 5	protein_coding	2.1706	1.1187583889798345	-9.8236	0.7189	-9.966	287.0	15.221	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.3447	2.876899977290624	-9.8805	0.8416	-9.966	287.0	15.159	99.9	OVER
ENSG00000186190	BPIFB3	359710	BPI fold containing family B member 3	protein_coding	0.1679	-2.5657587667480635	-9.8975	0.5786	-9.966	287.0	12.672	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.1993	-2.319765673736742	-9.905	0.5987	-9.966	287.0	12.67	99.9	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	4.876	2.285993972373781	-9.8209	0.9975	-9.966	287.0	12.137	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	4.4622	2.1580784564986266	-9.8325	1.006	-9.966	287.0	11.919	99.9	OVER
