ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.2977	-1.7432308572386588	-9.9453	0.3501	-9.966	287.0	23.428	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	2.5767	1.3660843685494368	-9.9162	0.4864	-9.966	287.0	23.195	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.4071	-1.2930053842913487	-9.9408	0.4273	-9.966	287.0	20.238	100.0	OVER
ENSG00000185962	LCE3A	353142	late cornified envelope 3A	protein_coding	0.8523	-0.22887504687163332	-9.9357	0.5125	-9.966	287.0	18.94	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0668	-3.8825709164131057	-9.9462	0.3349	-9.966	287.0	18.106	100.0	OVER
ENSG00000205884	DEFB136	613210	defensin beta 136	protein_coding	1.942	0.9582859009232574	-9.9296	0.617	-9.966	287.0	17.646	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	2.0482	1.0350607969051142	-9.8885	0.6541	-9.966	287.0	16.7	100.0	OVER
ENSG00000198104	OR2T6	254879	olfactory receptor family 2 subfamily T member 6	protein_coding	0.0329	-4.882570916413106	-9.9453	0.3501	-9.966	287.0	14.461	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0438	-4.480357457491845	-9.9408	0.4273	-9.966	287.0	12.779	100.0	OVER
ENSG00000125861	GFRA4	64096	GDNF family receptor alpha 4	protein_coding	0.0983	-3.3320624720210756	-9.9225	0.5205	-9.966	287.0	12.662	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	6.6392	2.7312266955876816	-9.8209	0.9975	-9.966	287.0	12.584	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.8824	-0.17886126250929635	-9.8339	0.8384	-9.966	287.0	11.516	99.9	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	7.4289	2.8933427934724913	-9.7483	1.1059	-9.966	287.0	11.431	99.9	OVER
ENSG00000185385	OR7A17	26333	olfactory receptor family 7 subfamily A member 17	protein_coding	0.0613	-4.004624026525447	-9.9225	0.5205	-9.966	287.0	11.37	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	225.0918	7.81437610009668	3.0556	0.4353	3.052	287.0	10.932	99.9	OVER
ENSG00000069206	ADAM7	8756	ADAM metallopeptidase domain 7	protein_coding	0.2567	-1.9562355576898298	-9.8515	0.7321	-9.966	287.0	10.784	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.4396	-1.1824585998485664	-9.8805	0.8416	-9.966	287.0	10.335	99.9	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	54.7242	5.774133416810367	1.5417	0.421	1.566	287.0	10.053	99.9	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.0637	-3.950090477556942	-9.8955	0.594	-9.966	287.0	10.009	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	1.0403	0.058385771000352735	-9.8325	1.006	-9.966	287.0	9.832	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0294	-5.0397848661058635	-9.8937	0.4959	-9.966	287.0	9.788	99.9	OVER
ENSG00000113300	CNOT6	57472	CCR4-NOT transcription complex subunit 6	protein_coding	64.5232	6.011768444136672	2.9385	0.3142	2.911	287.0	9.781	99.9	OVER
ENSG00000204612	FOXB2	442425	forkhead box B2	protein_coding	0.0591	-4.056491198838264	-9.893	0.6158	-9.966	287.0	9.478	99.9	OVER
ENSG00000124209	RAB22A	57403	RAB22A, member RAS oncogene family	protein_coding	38.7435	5.275919621122118	2.6615	0.2775	2.678	287.0	9.421	99.9	OVER
ENSG00000204449	TRIM49C	642612	tripartite motif containing 49C	protein_coding	0.0709	-3.7978644191101516	-9.8732	0.6551	-9.966	287.0	9.274	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	741.0549	9.533438563089915	4.8475	0.5091	4.859	287.0	9.204	99.9	OVER
ENSG00000124227	ANKRD60	140731	ankyrin repeat domain 60	protein_coding	0.0739	-3.7388904710906985	-9.8862	0.6727	-9.966	287.0	9.138	99.9	OVER
ENSG00000173852	DPY19L1	23333	dpy-19 like C-mannosyltransferase 1	protein_coding	196.3958	7.617627613002987	3.5226	0.4557	3.545	287.0	8.986	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0366	-4.733123527871812	-9.8895	0.5756	-9.966	287.0	8.958	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.1375	-2.8520421186128986	-9.8844	0.7965	-9.966	287.0	8.829	99.8	OVER
ENSG00000113194	FAF2	23197	Fas associated factor family member 2	protein_coding	150.7761	7.236273518744759	3.8183	0.3879	3.855	287.0	8.811	99.8	OVER
ENSG00000085365	SCAMP1	9522	secretory carrier membrane protein 1	protein_coding	110.5035	6.787961310481884	3.0407	0.4292	3.064	287.0	8.731	99.8	OVER
ENSG00000163235	TGFA	7039	transforming growth factor alpha	protein_coding	124.2599	6.957228598393039	1.2391	0.659	1.299	287.0	8.677	99.8	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	1.0804	0.1129002615325498	-9.8303	1.1477	-9.966	287.0	8.664	99.8	OVER
ENSG00000100994	PYGB	5834	glycogen phosphorylase B	protein_coding	749.2711	9.549345921853837	5.2017	0.5187	5.289	287.0	8.382	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	3.7779	1.9179663414576378	-9.5576	1.3755	-9.966	287.0	8.343	99.8	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	1.2555	0.3294106712185684	-9.7749	1.215	-9.966	287.0	8.316	99.8	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.03	-5.011587974275212	-9.9063	0.5927	-9.966	287.0	8.258	99.8	OVER
ENSG00000145715	RASA1	5921	RAS p21 protein activator 1	protein_coding	121.5301	6.925181738786106	3.7701	0.3845	3.82	287.0	8.206	99.8	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	1.2053	0.2705887419720672	-9.6296	1.2076	-9.966	287.0	8.198	99.8	OVER
ENSG00000184349	EFNA5	1946	ephrin A5	protein_coding	97.2446	6.603561069903558	1.3493	0.6413	1.379	287.0	8.193	99.8	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	102.3201	6.676959868841223	3.4078	0.4011	3.416	287.0	8.15	99.8	OVER
ENSG00000176018	LYSMD3	116068	LysM domain containing 3	protein_coding	84.6395	6.4032762448509954	2.8376	0.4382	2.84	287.0	8.137	99.8	OVER
ENSG00000205882	DEFB134	613211	defensin beta 134	protein_coding	0.1436	-2.7898605425983316	-9.8684	0.875	-9.966	287.0	8.09	99.8	OVER
