ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000254658	OR8J2	81169	olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	protein_coding	0.0851	-3.5378429521526056	-9.9462	0.3349	-9.966	287.0	19.135	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2442	-2.0279691158586677	-9.9408	0.4273	-9.966	287.0	18.518	100.0	OVER
ENSG00000228567	VN1R4	317703	vomeronasal 1 receptor 4	protein_coding	0.0585	-4.070966521354143	-9.9462	0.3349	-9.966	287.0	17.543	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	20.0791	4.327694548894416	-9.8007	0.8388	-9.966	287.0	16.844	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	47.0535	5.5562607948282245	-9.8209	0.9975	-9.966	287.0	15.416	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0875	-3.49817873457909	-9.9408	0.4273	-9.966	287.0	15.078	100.0	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.2928	-1.7670936989931696	-9.8895	0.5756	-9.966	287.0	14.111	100.0	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.2038	-2.287712379549449	-9.8955	0.594	-9.966	287.0	12.808	100.0	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.0386	-4.658355759469839	-9.9315	0.4128	-9.966	287.0	12.774	100.0	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	1.6734	0.7436442167062597	-9.7475	0.9772	-9.966	287.0	10.736	100.0	OVER
ENSG00000094661	OR1I1	126370	olfactory receptor family 1 subfamily I member 1	protein_coding	0.0101	-6.493296513199343	-9.9462	0.3349	-9.966	287.0	10.31	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	295.3593	8.20633211322957	0.3222	0.7761	0.4125	287.0	10.159	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	0.3516	-1.5038956202292677	-9.8805	0.8416	-9.966	287.0	9.953	99.9	OVER
ENSG00000257046	SLCO1B3-SLCO1B7	115072896	SLCO1B3-SLCO1B7 readthrough	protein_coding	0.8778	-0.18639322512617287	-9.7748	0.9806	-9.966	287.0	9.778	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.2732	-1.8666995237702235	-9.8339	0.8384	-9.966	287.0	9.503	99.9	OVER
ENSG00000088992	TESC	54997	tescalcin	protein_coding	1629.3215	10.670056476678443	3.5002	0.7739	3.51	287.0	9.265	99.9	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	1.0618	0.08787013294105718	-9.8093	1.0747	-9.966	287.0	9.209	99.9	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	44.7379	5.483457880027035	-0.6859	0.674	-0.6643	287.0	9.153	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.5426	-0.8793826387820582	-9.8325	1.006	-9.966	287.0	8.9	99.9	OVER
ENSG00000196228	SULT1C3	442038	sulfotransferase family 1C member 3	protein_coding	0.067	-3.8783214434117474	-9.884	0.6921	-9.966	287.0	8.677	99.9	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.0528	-4.216250016992825	-9.8885	0.6541	-9.966	287.0	8.672	99.9	OVER
ENSG00000152332	UHMK1	127933	U2AF homology motif kinase 1	protein_coding	115.5207	6.852020067752366	3.845	0.3549	3.851	287.0	8.473	99.9	OVER
ENSG00000148704	VAX1	11023	ventral anterior homeobox 1	protein_coding	2.6392	1.400647220522828	-9.5713	1.2995	-9.966	287.0	8.443	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.8641	-0.2090611862241806	-9.8303	1.1477	-9.966	287.0	8.383	99.9	OVER
ENSG00000145839	IL9	3578	interleukin 9	protein_coding	0.1014	-3.287712379549449	-9.872	0.7923	-9.966	287.0	8.31	99.9	OVER
ENSG00000206474	OR10C1	442194	olfactory receptor family 10 subfamily C member 1	protein_coding	0.0367	-4.729291666280785	-9.8822	0.6357	-9.966	287.0	8.106	99.9	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	5.5979	2.4851434128081022	-9.5635	1.498	-9.966	287.0	8.043	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	1.0293	0.04306447866493742	-9.709	1.2335	-9.966	287.0	7.906	99.9	OVER
ENSG00000187545	PRAMEF10	343071	PRAME family member 10	protein_coding	0.0402	-4.601211852366231	-9.8863	0.6808	-9.966	287.0	7.763	99.9	OVER
ENSG00000123684	LPGAT1	9926	lysophosphatidylglycerol acyltransferase 1	protein_coding	67.7354	6.081859408554978	3.2377	0.367	3.254	287.0	7.75	99.8	OVER
ENSG00000143401	ANP32E	81611	acidic nuclear phosphoprotein 32 family member E	protein_coding	130.1692	7.02425539839363	4.2061	0.3668	4.212	287.0	7.683	99.8	OVER
ENSG00000248109	MARCOL	105378220	MARCO like	protein_coding	0.0665	-3.888968687611256	-9.8999	0.7903	-9.966	287.0	7.606	99.8	OVER
ENSG00000101213	PTK6	5753	protein tyrosine kinase 6	protein_coding	120.2469	6.909867888875733	1.2556	0.7439	1.373	287.0	7.601	99.8	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	0.7168	-0.47834617173337196	-9.6296	1.2076	-9.966	287.0	7.578	99.8	OVER
ENSG00000198681	MAGEA1	4100	MAGE family member A1	protein_coding	2.6175	1.388740604787264	-9.5408	1.4554	-9.966	287.0	7.51	99.8	OVER
ENSG00000128298	BAIAP2L2	80115	BAR/IMD domain containing adaptor protein 2 like 2	protein_coding	86.6996	6.437970072348652	-0.1524	0.897	-0.1504	287.0	7.347	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.4496	0.5366497540200342	-9.5576	1.3755	-9.966	287.0	7.339	99.8	OVER
ENSG00000111432	FZD10	11211	frizzled class receptor 10	protein_coding	88.117	6.46136484568165	-0.5008	0.9509	-0.4719	287.0	7.322	99.8	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0172	-5.779917739350753	-9.908	0.566	-9.966	287.0	7.293	99.8	OVER
ENSG00000166123	GPT2	84706	glutamic--pyruvic transaminase 2	protein_coding	148.9372	7.218570016780488	1.3252	0.8105	1.264	287.0	7.271	99.8	OVER
ENSG00000100994	PYGB	5834	glycogen phosphorylase B	protein_coding	487.751	8.930003978312083	5.2017	0.5187	5.289	287.0	7.188	99.8	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	205.0191	7.679621547060554	3.5934	0.5726	3.541	287.0	7.136	99.8	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	138.9741	7.118682609957496	3.8461	0.4636	3.897	287.0	7.059	99.8	OVER
ENSG00000105438	KDELR1	10945	KDEL endoplasmic reticulum protein retention receptor 1	protein_coding	489.536	8.93527409495446	6.8414	0.2969	6.869	287.0	7.052	99.8	OVER
ENSG00000101849	TBL1X	6907	transducin beta like 1 X-linked	protein_coding	48.3518	5.595527530176899	2.7443	0.405	2.747	287.0	7.04	99.8	OVER
ENSG00000173726	TOMM20	9804	translocase of outer mitochondrial membrane 20	protein_coding	290.4362	8.182082439314948	5.7393	0.3488	5.736	287.0	7.003	99.8	OVER
ENSG00000102743	SLC25A15	10166	solute carrier family 25 member 15	protein_coding	69.4246	6.117395835253904	0.7054	0.776	0.8164	287.0	6.974	99.8	OVER
ENSG00000184502	GAST	2520	gastrin	protein_coding	1.3193	0.4008657775662527	-9.678	1.4476	-9.966	287.0	6.962	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.2746	-1.859352206845158	-9.83	1.1479	-9.966	287.0	6.944	99.7	OVER
ENSG00000179709	NLRP8	126205	NLR family pyrin domain containing 8	protein_coding	0.0624	-3.979373349410042	-9.7933	0.8383	-9.966	287.0	6.935	99.7	OVER
ENSG00000198087	CD2AP	23607	CD2 associated protein	protein_coding	71.7816	6.1655622740900276	3.4078	0.4011	3.416	287.0	6.875	99.7	OVER
ENSG00000135002	RFK	55312	riboflavin kinase	protein_coding	83.3321	6.380817744389161	2.9938	0.494	3.027	287.0	6.856	99.7	OVER
ENSG00000186458	DEFB132	400830	defensin beta 132	protein_coding	0.0288	-5.0685438590872876	-9.8553	0.7143	-9.966	287.0	6.701	99.7	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	4.0831	2.0300181913229234	-9.3977	1.7056	-9.966	287.0	6.7	99.7	OVER
ENSG00000165983	PTER	9317	phosphotriesterase related	protein_coding	50.5598	5.659947385674962	2.0216	0.5451	2.095	287.0	6.675	99.7	OVER
ENSG00000163053	SLC16A14	151473	solute carrier family 16 member 14	protein_coding	89.4241	6.482607921408656	0.6531	0.8742	0.7233	287.0	6.668	99.7	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	0.1773	-2.4876213919244545	-9.7483	1.1059	-9.966	287.0	6.565	99.7	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.1085	-3.1909972250609138	-9.7497	1.0005	-9.966	287.0	6.555	99.7	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	98.4914	6.621940500620561	0.6538	0.9122	0.6425	287.0	6.543	99.7	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	34.2653	5.098718516104468	2.3781	0.4186	2.368	287.0	6.499	99.7	OVER
ENSG00000143368	SF3B4	10262	splicing factor 3b subunit 4	protein_coding	244.7848	7.935376059636285	5.0091	0.4521	5.098	287.0	6.473	99.7	OVER
ENSG00000183709	IFNL2	282616	interferon lambda 2	protein_coding	0.258	-1.9489759969755331	-9.7358	1.2156	-9.966	287.0	6.406	99.7	OVER
ENSG00000123999	INHA	3623	inhibin subunit alpha	protein_coding	503.056	8.974578066859847	-0.3835	1.4663	-0.1187	287.0	6.382	99.7	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	0.1148	-3.110292841560213	-9.7503	1.0434	-9.966	287.0	6.364	99.7	OVER
