ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000224960	PPP4R3C	139420	protein phosphatase 4 regulatory subunit 3C	protein_coding	6.958	2.798880007411259	-9.9354	0.366	-9.966	287.0	34.793	100.0	OVER
ENSG00000268964	ERVV-2	100271846	endogenous retrovirus group V member 2, envelope	protein_coding	0.4508	-1.146243824156365	-9.9507	0.2593	-9.966	287.0	33.955	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	1.1368	0.18624698614531154	-9.9462	0.3349	-9.966	287.0	30.255	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	1.1817	0.24208417055001238	-9.9453	0.3501	-9.966	287.0	29.098	100.0	OVER
ENSG00000189023	MAGEB16	139604	MAGE family member B16	protein_coding	62.2405	5.9598049241138575	-9.8822	0.6323	-9.966	287.0	25.055	100.0	OVER
ENSG00000171405	XAGE5	170627	X antigen family member 5	protein_coding	0.3344	-1.5760454059851032	-9.9462	0.3349	-9.966	287.0	24.993	100.0	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	1.4195	0.506398831527454	-9.8937	0.4959	-9.966	287.0	20.972	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.8227	-0.2798091061674033	-9.9384	0.4671	-9.966	287.0	20.678	100.0	OVER
ENSG00000205857	NANOGNB	360030	NANOG neighbor homeobox	protein_coding	0.1248	-2.9907961726701604	-9.9453	0.3501	-9.966	287.0	19.864	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.2638	-1.9170249727422317	-9.9408	0.4273	-9.966	287.0	18.778	100.0	OVER
ENSG00000181371	OR5M8	219484	olfactory receptor family 5 subfamily M member 8	protein_coding	0.0594	-4.04930764022437	-9.9462	0.3349	-9.966	287.0	17.608	99.9	OVER
ENSG00000183304	FAM9A	171482	family with sequence similarity 9 member A	protein_coding	0.1563	-2.668409424133763	-9.9315	0.4128	-9.966	287.0	17.595	99.9	OVER
ENSG00000125816	NKX2-4	644524	NK2 homeobox 4	protein_coding	0.143	-2.795859283219775	-9.9309	0.4228	-9.966	287.0	16.876	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.9247	-0.11138337293185396	-9.9063	0.5927	-9.966	287.0	16.526	99.9	OVER
ENSG00000230268	SSU72L6	136157	SSU72 like 6	protein_coding	0.7436	-0.4254624786979365	-9.915	0.6102	-9.966	287.0	15.552	99.9	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	2.5171	1.3323355771948966	-9.8795	0.7304	-9.966	287.0	15.35	99.9	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	7.3009	2.868271911104765	-9.8805	0.8416	-9.966	287.0	15.148	99.9	OVER
ENSG00000182070	OR52A1	23538	olfactory receptor family 52 subfamily A member 1	protein_coding	0.1969	-2.3371564825019373	-9.9114	0.5365	-9.966	287.0	14.118	99.9	OVER
ENSG00000189299	FOXR2	139628	forkhead box R2	protein_coding	0.356	-1.4860040206329874	-9.895	0.6009	-9.966	287.0	13.994	99.9	OVER
ENSG00000204979	MS4A13	503497	membrane spanning 4-domains A13	protein_coding	0.0474	-4.368849142274855	-9.9415	0.4152	-9.966	287.0	13.422	99.9	OVER
ENSG00000124260	MAGEA10	4109	MAGE family member A10	protein_coding	78.9105	6.302163658547959	-9.654	1.2021	-9.966	287.0	13.274	99.9	OVER
ENSG00000189186	DCAF8L2	347442	DDB1 and CUL4 associated factor 8 like 2	protein_coding	2.7379	1.4535965927545837	-9.805	0.854	-9.966	287.0	13.183	99.9	OVER
ENSG00000170279	C7orf33	202865	chromosome 7 open reading frame 33	protein_coding	2.5872	1.3719491041386278	-9.8387	0.8852	-9.966	287.0	12.665	99.9	OVER
ENSG00000164256	PRDM9	56979	PR/SET domain 9	protein_coding	3.861	1.9493481642885633	-9.7382	0.9316	-9.966	287.0	12.546	99.9	OVER
ENSG00000176566	DCAF4L2	138009	DDB1 and CUL4 associated factor 4 like 2	protein_coding	115.7003	6.8542612641857	-9.5038	1.324	-9.966	287.0	12.355	99.9	OVER
ENSG00000261949	GFY	100507003	golgi associated olfactory signaling regulator	protein_coding	8.1389	3.0250110708563533	-9.7503	1.0434	-9.966	287.0	12.244	99.9	OVER
ENSG00000153779	TGIF2LX	90316	TGFB induced factor homeobox 2 like X-linked	protein_coding	3.1837	1.6711574764385637	-9.8169	0.9477	-9.966	287.0	12.122	99.9	OVER
ENSG00000277932	OR52E5	390082	olfactory receptor family 52 subfamily E member 5	protein_coding	0.2216	-2.16747450220749	-9.8891	0.648	-9.966	287.0	11.916	99.9	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.2218	-2.1661788622094176	-9.8422	0.6548	-9.966	287.0	11.723	99.9	OVER
ENSG00000196406	SPANXD	64648	SPANX family member D	protein_coding	6.8343	2.7730046588282904	-9.7839	1.0794	-9.966	287.0	11.633	99.8	OVER
ENSG00000184478	OR56A3	390083	olfactory receptor family 56 subfamily A member 3	protein_coding	5.4275	2.440553608431608	-9.7782	1.0515	-9.966	287.0	11.62	99.8	OVER
ENSG00000147381	MAGEA4	4103	MAGE family member A4	protein_coding	263.7347	8.0429490614206	-9.5242	1.5136	-9.966	287.0	11.606	99.8	OVER
ENSG00000198681	MAGEA1	4100	MAGE family member A1	protein_coding	127.9254	6.999170211764502	-9.5408	1.4554	-9.966	287.0	11.365	99.8	OVER
ENSG00000253148	RGS21	431704	regulator of G protein signaling 21	protein_coding	0.1732	-2.521183470950585	-9.8797	0.6493	-9.966	287.0	11.333	99.8	OVER
ENSG00000184735	DDX53	168400	DEAD-box helicase 53	protein_coding	9.3477	3.2247657624390076	-9.6065	1.1359	-9.966	287.0	11.296	99.8	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	2.3875	1.2561048768091785	-9.7475	0.9772	-9.966	287.0	11.26	99.8	OVER
ENSG00000135355	GJA10	84694	gap junction protein alpha 10	protein_coding	0.1032	-3.262572817270941	-9.8955	0.594	-9.966	287.0	11.167	99.8	OVER
ENSG00000054796	SPO11	23626	SPO11 initiator of meiotic double strand breaks	protein_coding	0.0341	-4.832385159244889	-9.9276	0.4598	-9.966	287.0	11.081	99.8	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	404.9286	8.661527296390894	0.3222	0.7761	0.4125	287.0	10.745	99.8	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	9.315	3.219710639548779	-9.709	1.2335	-9.966	287.0	10.481	99.8	OVER
ENSG00000187170	LCE4A	199834	late cornified envelope 4A	protein_coding	0.0925	-3.4188898247744506	-9.9136	0.6303	-9.966	287.0	10.304	99.8	OVER
ENSG00000170516	COX7B2	170712	cytochrome c oxidase subunit 7B2	protein_coding	63.8201	5.9959615695476565	-9.623	1.5205	-9.966	287.0	10.272	99.8	OVER
ENSG00000223614	ZNF735	730291	zinc finger protein 735	protein_coding	0.0396	-4.622376462364273	-9.9134	0.5152	-9.966	287.0	10.27	99.8	OVER
ENSG00000181961	OR4A16	81327	olfactory receptor family 4 subfamily A member 16	protein_coding	0.4599	-1.1174743272128007	-9.842	0.8525	-9.966	287.0	10.234	99.8	OVER
ENSG00000233701	PRR23C	389152	proline rich 23C	protein_coding	0.0223	-5.423526234895169	-9.9201	0.4475	-9.966	287.0	10.048	99.8	OVER
ENSG00000163254	CRYGC	1420	crystallin gamma C	protein_coding	0.4956	-1.0098438333726085	-9.8495	0.8816	-9.966	287.0	10.027	99.8	OVER
ENSG00000169208	OR10G3	26533	olfactory receptor family 10 subfamily G member 3	protein_coding	0.0235	-5.351074440546879	-9.9276	0.4598	-9.966	287.0	9.953	99.8	OVER
ENSG00000156735	BAG4	9530	BAG cochaperone 4	protein_coding	67.7681	6.0825557069156035	2.0538	0.4093	2.029	287.0	9.843	99.8	OVER
ENSG00000181718	OR5T2	219464	olfactory receptor family 5 subfamily T member 2	protein_coding	0.0301	-5.006941609418847	-9.923	0.5154	-9.966	287.0	9.538	99.7	OVER
ENSG00000198573	SPANXC	64663	SPANX family member C	protein_coding	3.0464	1.6075788797885047	-9.7767	1.2009	-9.966	287.0	9.48	99.7	OVER
ENSG00000279116	OR8D2	283160	olfactory receptor family 8 subfamily D member 2	protein_coding	0.2365	-2.074000581443777	-9.8373	0.8217	-9.966	287.0	9.448	99.7	OVER
ENSG00000069018	TRPC7	57113	transient receptor potential cation channel subfamily C member 7	protein_coding	0.1155	-3.1015981400078068	-9.8548	0.7175	-9.966	287.0	9.412	99.7	OVER
