ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	0.6544	-0.6095524220066896	-9.9162	0.4864	-9.966	287.0	19.134	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1007	-3.297608415691949	-9.9408	0.4273	-9.966	287.0	15.547	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	1.2091	0.27512627356835534	-9.8885	0.6541	-9.966	287.0	15.538	100.0	OVER
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.0294	-5.0397848661058635	-9.9453	0.3501	-9.966	287.0	14.012	100.0	OVER
ENSG00000269466	H3Y1	391769	H3.Y histone 1	protein_coding	0.0773	-3.6748438822584086	-9.9384	0.4671	-9.966	287.0	13.409	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	2.1741	1.1210817302430442	-9.8805	0.8416	-9.966	287.0	13.072	100.0	OVER
ENSG00000164651	SP8	221833	Sp8 transcription factor	protein_coding	20.692	4.371070912215399	-9.619	1.2528	-9.966	287.0	11.167	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	2.2228	1.153027043464823	-9.8209	0.9975	-9.966	287.0	11.001	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	0.2119	-2.2317521450971554	-9.8795	0.7304	-9.966	287.0	10.471	100.0	OVER
ENSG00000065135	GNAI3	2773	G protein subunit alpha i3	protein_coding	59.2656	5.889147390391272	1.5417	0.421	1.566	287.0	10.326	100.0	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0676	-3.865647613376637	-9.905	0.5987	-9.966	287.0	10.087	99.9	OVER
ENSG00000137674	MMP20	9313	matrix metallopeptidase 20	protein_coding	0.0594	-4.04930764022437	-9.9063	0.5927	-9.966	287.0	9.882	99.9	OVER
ENSG00000189023	MAGEB16	139604	MAGE family member B16	protein_coding	0.0764	-3.691522623405039	-9.8822	0.6323	-9.966	287.0	9.791	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.3097	-1.6864058534276087	-9.8339	0.8384	-9.966	287.0	9.718	99.9	OVER
ENSG00000135052	GOLM1	51280	golgi membrane protein 1	protein_coding	499.6831	8.964872501872732	3.5934	0.5726	3.541	287.0	9.381	99.9	OVER
ENSG00000230301	OR5H6	79295	olfactory receptor family 5 subfamily H member 6	protein_coding	0.1268	-2.968040258602455	-9.8195	0.7757	-9.966	287.0	8.833	99.9	OVER
ENSG00000096395	MLN	4295	motilin	protein_coding	0.136	-2.86775220170156	-9.8844	0.7965	-9.966	287.0	8.809	99.9	OVER
ENSG00000113384	GOLPH3	64083	golgi phosphoprotein 3	protein_coding	354.0392	8.467769372252151	5.5015	0.3448	5.526	287.0	8.603	99.9	OVER
ENSG00000198648	STK39	27347	serine/threonine kinase 39	protein_coding	118.5418	6.889264229484222	2.9104	0.4736	2.917	287.0	8.401	99.9	OVER
ENSG00000075429	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	protein_coding	0.0574	-4.097887820669432	-9.8822	0.7085	-9.966	287.0	8.164	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.7125	-0.4870146651863235	-9.8303	1.1477	-9.966	287.0	8.141	99.9	OVER
ENSG00000138068	SULT6B1	391365	sulfotransferase family 6B member 1	protein_coding	0.1145	-3.1140352432460294	-9.8452	0.8308	-9.966	287.0	8.102	99.9	OVER
ENSG00000143324	XPR1	9213	xenotropic and polytropic retrovirus receptor 1	protein_coding	91.7969	6.5203892453212235	3.0556	0.4353	3.052	287.0	7.96	99.9	OVER
ENSG00000152558	TMEM123	114908	transmembrane protein 123	protein_coding	969.649	9.921320283070116	5.9624	0.5026	5.966	287.0	7.877	99.9	OVER
ENSG00000182111	ZNF716	441234	zinc finger protein 716	protein_coding	0.0146	-6.002310160687201	-9.8937	0.4959	-9.966	287.0	7.847	99.9	OVER
