ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	0.1986	-2.324816374212189	-9.9453	0.3501	-9.966	287.0	21.767	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	1.5491	0.6323612895965669	-9.9162	0.4864	-9.966	287.0	21.687	100.0	OVER
ENSG00000125831	CST11	140880	cystatin 11	protein_coding	0.3889	-1.3588239401518134	-9.9423	0.4011	-9.966	287.0	21.4	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.1358	-2.8698598646635514	-9.9408	0.4273	-9.966	287.0	16.548	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	8.8008	3.1377985902866135	-9.8805	0.8416	-9.966	287.0	15.469	100.0	OVER
ENSG00000101441	CST4	1472	cystatin S	protein_coding	29.3863	4.877120910305769	-9.8209	0.9975	-9.966	287.0	14.735	100.0	OVER
ENSG00000159224	GIP	2695	gastric inhibitory polypeptide	protein_coding	1.4299	0.5169228512782864	-9.8795	0.7304	-9.966	287.0	14.234	100.0	OVER
ENSG00000242120	MDFIC2	107986096	MyoD family inhibitor domain containing 2	protein_coding	0.0366	-4.733123527871812	-9.9439	0.3742	-9.966	287.0	13.925	100.0	OVER
ENSG00000203740	NTMT2	149281	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein_coding	0.2205	-2.1746213961070686	-9.8885	0.6541	-9.966	287.0	11.793	100.0	OVER
ENSG00000261873	SMIM36	101927367	small integral membrane protein 36	protein_coding	0.0324	-4.904008087075397	-9.9408	0.4273	-9.966	287.0	11.787	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	0.9995	0.0007211672436540515	-9.8007	0.8388	-9.966	287.0	11.685	99.9	OVER
ENSG00000125533	BHLHE23	128408	basic helix-loop-helix family member e23	protein_coding	0.0513	-4.257045243302508	-9.9248	0.493	-9.966	287.0	11.496	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	31.291	4.967721964967356	-9.4554	1.3777	-9.966	287.0	10.469	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0599	-4.037413961643117	-9.9187	0.567	-9.966	287.0	10.373	99.9	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	189.4494	7.56567637568842	0.3222	0.7761	0.4125	287.0	9.333	99.9	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	6.7136	2.747301458445753	-9.5542	1.3409	-9.966	287.0	9.174	99.9	OVER
ENSG00000277535	CT47C1	727838	cancer/testis antigen family 47 member C1	protein_coding	0.0496	-4.304718804855139	-9.9034	0.6108	-9.966	287.0	9.166	99.9	OVER
ENSG00000196748	CLPSL2	389383	colipase like 2	protein_coding	2.5135	1.3302715534166973	-9.7749	1.215	-9.966	287.0	9.14	99.9	OVER
ENSG00000185662	SMIM23	644994	small integral membrane protein 23	protein_coding	0.4695	-1.0877333719335505	-9.8325	1.006	-9.966	287.0	8.693	99.9	OVER
ENSG00000188585	CLEC20A	400797	C-type lectin domain containing 20A	protein_coding	0.0338	-4.844768883700721	-9.905	0.5987	-9.966	287.0	8.452	99.9	OVER
ENSG00000187258	NPSR1	387129	neuropeptide S receptor 1	protein_coding	0.1477	-2.749523447497031	-9.8339	0.8384	-9.966	287.0	8.45	99.9	OVER
ENSG00000203972	GLYATL3	389396	glycine-N-acyltransferase like 3	protein_coding	0.0519	-4.2405884674354235	-9.8864	0.6718	-9.966	287.0	8.404	99.9	OVER
ENSG00000164363	SLC6A18	348932	solute carrier family 6 member 18	protein_coding	0.0271	-5.153286059328523	-9.8895	0.5756	-9.966	287.0	8.228	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	1.3361	0.41910736678436106	-9.709	1.2335	-9.966	287.0	8.211	99.9	OVER
ENSG00000172519	OR10H5	284433	olfactory receptor family 10 subfamily H member 5	protein_coding	0.0239	-5.327710447481368	-9.908	0.566	-9.966	287.0	8.092	99.9	OVER
ENSG00000137251	TINAG	27283	tubulointerstitial nephritis antigen	protein_coding	5.269	2.39780296186249	-9.5635	1.498	-9.966	287.0	7.985	99.9	OVER
ENSG00000225805	DEFB131B	100129216	defensin beta 131B	protein_coding	0.5341	-0.9021195659480868	-9.8303	1.1477	-9.966	287.0	7.779	99.9	OVER
ENSG00000146618	FERD3L	222894	Fer3 like bHLH transcription factor	protein_coding	0.1777	-2.484388460507959	-9.8233	0.9787	-9.966	287.0	7.499	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	388.6538	8.602345523827946	4.8475	0.5091	4.859	287.0	7.375	99.9	OVER
ENSG00000188162	OTOG	340990	otogelin	protein_coding	0.1104	-3.1661788622094176	-9.7597	0.9048	-9.966	287.0	7.287	99.8	OVER
ENSG00000109132	PHOX2B	8929	paired like homeobox 2B	protein_coding	0.0799	-3.627716487119472	-9.7845	0.8461	-9.966	287.0	7.277	99.8	OVER
ENSG00000197753	LHFPL5	222662	LHFPL tetraspan subfamily member 5	protein_coding	1.3138	0.3948433615308607	-9.5576	1.3755	-9.966	287.0	7.236	99.8	OVER
ENSG00000282757	DUXB	100033411	double homeobox B	protein_coding	0.3055	-1.7060410209713055	-9.83	1.1479	-9.966	287.0	7.077	99.8	OVER
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	protein_coding	16.6566	4.058108649401174	-0.6859	0.674	-0.6643	287.0	7.039	99.8	OVER
ENSG00000105767	CADM4	199731	cell adhesion molecule 4	protein_coding	60.0294	5.907621375980504	2.0439	0.552	2.064	287.0	6.999	99.8	OVER
ENSG00000149305	HTR3B	9177	5-hydroxytryptamine receptor 3B	protein_coding	3.2876	1.7174735405203514	-9.4631	1.6162	-9.966	287.0	6.918	99.8	OVER
ENSG00000123364	HOXC13	3229	homeobox C13	protein_coding	9.4356	3.2382671512506507	-9.1998	1.8082	-9.966	287.0	6.879	99.8	OVER
ENSG00000166123	GPT2	84706	glutamic--pyruvic transaminase 2	protein_coding	117.7906	6.880092850586242	1.3252	0.8105	1.264	287.0	6.854	99.8	OVER
ENSG00000163982	OTOP1	133060	otopetrin 1	protein_coding	0.0287	-5.073393258748683	-9.8737	0.7068	-9.966	287.0	6.792	99.8	OVER
ENSG00000116711	PLA2G4A	5321	phospholipase A2 group IVA	protein_coding	128.1214	7.001378917942733	2.3367	0.6891	2.319	287.0	6.769	99.8	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	0.2961	-1.7509794897140352	-9.6021	1.1741	-9.966	287.0	6.687	99.8	OVER
ENSG00000125820	NKX2-2	4821	NK2 homeobox 2	protein_coding	6.5908	2.720672470769709	-9.1965	1.7984	-9.966	287.0	6.627	99.8	OVER
ENSG00000175832	ETV4	2118	ETS variant transcription factor 4	protein_coding	80.5209	6.331309309474454	1.2184	0.7739	1.299	287.0	6.607	99.8	OVER
ENSG00000106331	PAX4	5078	paired box 4	protein_coding	0.0379	-4.684086034563257	-9.8424	0.7868	-9.966	287.0	6.556	99.8	OVER
ENSG00000188322	SBK1	388228	SH3 domain binding kinase 1	protein_coding	25.5701	4.676442317665243	-0.5099	0.7959	-0.4131	287.0	6.516	99.8	OVER
ENSG00000108176	DNAJC12	56521	DnaJ heat shock protein family (Hsp40) member C12	protein_coding	94.9848	6.569639947269766	0.6538	0.9122	0.6425	287.0	6.485	99.8	OVER
ENSG00000143653	SCCPDH	51097	saccharopine dehydrogenase (putative)	protein_coding	114.9008	6.84425758854842	3.8461	0.4636	3.897	287.0	6.467	99.8	OVER
ENSG00000205667	ARSH	347527	arylsulfatase family member H	protein_coding	0.275	-1.8572598278839179	-9.6296	1.2076	-9.966	287.0	6.436	99.8	OVER
ENSG00000104827	CGB3	1082	chorionic gonadotropin subunit beta 3	protein_coding	0.1297	-2.935668953754016	-9.7861	1.066	-9.966	287.0	6.426	99.7	OVER
ENSG00000256762	STH	246744	saitohin	protein_coding	0.2556	-1.9624069244597668	-9.7611	1.214	-9.966	287.0	6.424	99.7	OVER
ENSG00000198732	SMOC1	64093	SPARC related modular calcium binding 1	protein_coding	33.2631	5.055894095296067	-0.7254	0.9015	-0.7346	287.0	6.413	99.7	OVER
ENSG00000204140	CLPSL1	340204	colipase like 1	protein_coding	1.7368	0.7972620547580462	-9.574	1.6254	-9.966	287.0	6.381	99.7	OVER
ENSG00000165731	RET	5979	ret proto-oncogene	protein_coding	19.6686	4.297895714228054	-1.6063	0.9289	-1.595	287.0	6.356	99.7	OVER
ENSG00000134588	USP26	83844	ubiquitin specific peptidase 26	protein_coding	0.0961	-3.364384894130257	-9.7101	1.0035	-9.966	287.0	6.324	99.7	OVER
ENSG00000198443	KRTAP4-1	85285	keratin associated protein 4-1	protein_coding	2.75	1.4599561396541234	-9.458	1.7368	-9.966	287.0	6.286	99.7	OVER
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	protein_coding	11.1082	3.473683023442587	0.1039	0.5391	0.1257	287.0	6.251	99.7	OVER
ENSG00000229637	PRAC2	360205	PRAC2 small nuclear protein	protein_coding	0.6221	-0.6824643779836456	-9.6655	1.4451	-9.966	287.0	6.216	99.7	OVER
ENSG00000173237	C11orf86	254439	chromosome 11 open reading frame 86	protein_coding	2.2522	1.1719753766900989	-9.3977	1.7056	-9.966	287.0	6.197	99.7	OVER
ENSG00000136487	GH2	2689	growth hormone 2	protein_coding	0.3936	-1.3415371388258908	-9.686	1.3492	-9.966	287.0	6.185	99.7	OVER
ENSG00000145358	DDIT4L	115265	DNA damage inducible transcript 4 like	protein_coding	27.3757	4.77487664884024	-0.9621	0.9295	-0.9686	287.0	6.172	99.7	OVER
ENSG00000214686	IQCF6	440956	IQ motif containing F6	protein_coding	0.1094	-3.1791879227712805	-9.8093	1.0747	-9.966	287.0	6.169	99.7	OVER
ENSG00000114631	PODXL2	50512	podocalyxin like 2	protein_coding	87.4763	6.450836786961481	0.9907	0.887	1.112	287.0	6.156	99.7	OVER
ENSG00000101577	LPIN2	9663	lipin 2	protein_coding	89.1499	6.478177457168175	4.0786	0.3925	4.074	287.0	6.114	99.7	OVER
ENSG00000169297	NR0B1	190	nuclear receptor subfamily 0 group B member 1	protein_coding	39.3165	5.29709968583679	-8.6806	2.3077	-9.966	287.0	6.057	99.7	OVER
ENSG00000162702	ZNF281	23528	zinc finger protein 281	protein_coding	29.3518	4.875426225256411	2.3781	0.4186	2.368	287.0	5.966	99.7	OVER
ENSG00000256394	ASIC5	51802	acid sensing ion channel subunit family member 5	protein_coding	0.0671	-3.876201391537378	-9.7497	1.0005	-9.966	287.0	5.871	99.7	OVER
ENSG00000159184	HOXB13	10481	homeobox B13	protein_coding	0.9171	-0.12327679348483311	-9.2982	1.5632	-9.966	287.0	5.869	99.7	OVER
ENSG00000091844	RGS17	26575	regulator of G protein signaling 17	protein_coding	7.68	2.941294149634398	-2.0021	0.8428	-2.053	287.0	5.865	99.7	OVER
ENSG00000185942	NKAIN3	286183	sodium/potassium transporting ATPase interacting 3	protein_coding	0.103	-3.265344566520995	-9.7483	1.1059	-9.966	287.0	5.862	99.6	OVER
ENSG00000162482	AKR7A3	22977	aldo-keto reductase family 7 member A3	protein_coding	39.9793	5.321217392554906	-0.2963	0.9642	-0.3022	287.0	5.826	99.6	OVER
ENSG00000003989	SLC7A2	6542	solute carrier family 7 member 2	protein_coding	166.9536	7.3833120334348905	2.8124	0.7849	2.85	287.0	5.824	99.6	OVER
ENSG00000067177	PHKA1	5255	phosphorylase kinase regulatory subunit alpha 1	protein_coding	13.5166	3.756767124062625	0.7943	0.5123	0.8488	287.0	5.783	99.6	OVER
ENSG00000155265	GOLGA7B	401647	golgin A7 family member B	protein_coding	36.1574	5.176258935164363	-0.3677	0.9594	-0.3022	287.0	5.779	99.6	OVER
