ENSEMBL_GENE_ID	SYMBOL	ENTREZGENE	GENENAME	BIOTYPE	TPM_GENE	TPM_LOG2_GENE	gtex_mean_log2tpm	gtex_std_log2tpm	gtex_median_log2tpm	gtex_n_samples	GTEX_ZSCORE	GTEX_PERCENTILE	GTEX_DIRECTION
ENSG00000170178	HOXD12	3238	homeobox D12	protein_coding	1.1136	0.1565260585286558	-9.9453	0.3501	-9.966	287.0	28.854	100.0	OVER
ENSG00000008197	TFAP2D	83741	transcription factor AP-2 delta	protein_coding	3.1844	1.671474547295438	-9.9162	0.4864	-9.966	287.0	23.823	100.0	OVER
ENSG00000277058	HNRNPCL3	649330	heterogeneous nuclear ribonucleoprotein C like 3	protein_coding	0.0463	-4.402016006210054	-9.9462	0.3349	-9.966	287.0	16.555	100.0	OVER
ENSG00000162344	FGF19	9965	fibroblast growth factor 19	protein_coding	13.4251	3.746968387904994	-9.8007	0.8388	-9.966	287.0	16.151	100.0	OVER
ENSG00000182170	MRGPRG	386746	MAS related GPR family member G	protein_coding	1.2217	0.2900704696015407	-9.9005	0.639	-9.966	287.0	15.948	100.0	OVER
ENSG00000255274	SMIM35	100526771	small integral membrane protein 35	protein_coding	0.0987	-3.3262626851512533	-9.9408	0.4273	-9.966	287.0	15.48	100.0	OVER
ENSG00000259680	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	protein_coding	5.9389	2.570438643026295	-9.8805	0.8416	-9.966	287.0	14.794	100.0	OVER
ENSG00000236396	SLC35G4	646000	solute carrier family 35 member G4	protein_coding	0.0523	-4.229720656790273	-9.9423	0.4011	-9.966	287.0	14.242	100.0	OVER
ENSG00000167346	MMP26	56547	matrix metallopeptidase 26	protein_coding	1.0158	0.024035935455509406	-9.8782	0.7453	-9.966	287.0	13.286	100.0	OVER
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1	protein_coding	763.4655	9.576421044446894	0.3222	0.7761	0.4125	287.0	11.924	100.0	OVER
ENSG00000174279	EVX2	344191	even-skipped homeobox 2	protein_coding	0.2276	-2.129102691334971	-9.8422	0.6548	-9.966	287.0	11.779	99.9	OVER
ENSG00000009709	PAX7	5081	paired box 7	protein_coding	78.8279	6.300652737803882	-9.4554	1.3777	-9.966	287.0	11.436	99.9	OVER
ENSG00000123407	HOXC12	3228	homeobox C12	protein_coding	13.9292	3.800144066174471	-9.6021	1.1741	-9.966	287.0	11.415	99.9	OVER
ENSG00000176925	OR51F2	119694	olfactory receptor family 51 subfamily F member 2	protein_coding	0.0468	-4.386845571568701	-9.9248	0.493	-9.966	287.0	11.233	99.9	OVER
ENSG00000139515	PDX1	3651	pancreatic and duodenal homeobox 1	protein_coding	1.4905	0.5767639776731253	-9.7475	0.9772	-9.966	287.0	10.565	99.9	OVER
ENSG00000111701	APOBEC1	339	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein_coding	9.6899	3.276630655861423	-9.709	1.2335	-9.966	287.0	10.527	99.9	OVER
ENSG00000229544	NKX1-2	390010	NK1 homeobox 2	protein_coding	20.4241	4.352271236619443	-9.5542	1.3409	-9.966	287.0	10.371	99.9	OVER
ENSG00000104341	LAPTM4B	55353	lysosomal protein transmembrane 4 beta	protein_coding	1105.0734	10.109927788122869	4.8475	0.5091	4.859	287.0	10.337	99.9	OVER
ENSG00000197487	GALP	85569	galanin like peptide	protein_coding	0.0559	-4.135427537242868	-9.9187	0.567	-9.966	287.0	10.2	99.9	OVER
ENSG00000165731	RET	5979	ret proto-oncogene	protein_coding	199.347	7.639145321046483	-1.6063	0.9289	-1.595	287.0	9.953	99.9	OVER
ENSG00000177468	OLIG3	167826	oligodendrocyte transcription factor 3	protein_coding	0.9922	-0.009843833372608583	-9.75	0.9957	-9.966	287.0	9.782	99.9	OVER
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	protein_coding	41.0254	5.358480660523854	0.1039	0.5391	0.1257	287.0	9.747	99.9	OVER
ENSG00000196570	PFN3	345456	profilin 3	protein_coding	0.1922	-2.3718330007136763	-9.8689	0.8183	-9.966	287.0	9.162	99.9	OVER
